pclass,survived
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,no
1st class,no
1st class,no
1st class,no
1st class,no
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,no
1st class,yes
1st class,no
1st class,no
1st class,yes
1st class,no
1st class,yes
1st class,no
1st class,yes
1st class,no
1st class,no
1st class,yes
1st class,no
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,no
1st class,no
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,no
1st class,no
1st class,no
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,no
1st class,no
1st class,yes
1st class,no
1st class,yes
1st class,no
1st class,no
1st class,no
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,no
1st class,no
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,no
1st class,yes
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,yes
2nd class,yes
2nd class,no
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,yes
2nd class,no
2nd class,yes
2nd class,yes
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,yes
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,yes
2nd class,yes
2nd class,no
2nd class,yes
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,no
2nd class,yes
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,yes
2nd class,yes
2nd class,no
2nd class,yes
2nd class,no
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,yes
2nd class,no
2nd class,yes
2nd class,no
2nd class,yes
2nd class,no
2nd class,yes
2nd class,no
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,no
2nd class,yes
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,yes
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,no
2nd class,yes
2nd class,no
2nd class,yes
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,yes
2nd class,no
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,yes
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,yes
2nd class,no
2nd class,yes
2nd class,yes
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,yes
2nd class,no
2nd class,yes
2nd class,no
2nd class,yes
2nd class,no
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,no
2nd class,no
2nd class,yes
2nd class,yes
2nd class,no
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,no
2nd class,yes
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,no
2nd class,yes
2nd class,yes
2nd class,no
2nd class,no
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,yes
2nd class,no
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,no
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,no
2nd class,yes
2nd class,no
2nd class,no
2nd class,yes
2nd class,yes
2nd class,yes
2nd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,yes
3rd class,no
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,no
3rd class,yes
3rd class,yes
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,no
3rd class,yes
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,yes
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,yes
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,no
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,yes
3rd class,yes
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,no
3rd class,yes
3rd class,yes
3rd class,no
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,yes
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,yes
3rd class,yes
3rd class,yes
3rd class,no
3rd class,yes
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,yes
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
3rd class,no
NA,NA
