"","year","month","day","breed","gender","spayneuter","zipcode","age"
"101",2018,3,3,"terrier","M",FALSE,"11234",5
"102",2018,2,21,"german shepherd","U",FALSE,"11219",NA
"103",2018,3,4,NA,"U",FALSE,"11236",NA
"104",2018,2,22,NA,"U",FALSE,"11212",NA
"105",2018,3,11,"pit bull","F",TRUE,"11234",2
"106",2018,3,12,"siberian husky","M",FALSE,"11219",2
"107",2018,3,11,"pit bull","F",FALSE,"11231",0.33
"108",2018,3,9,"labrador retriever","M",FALSE,"11222",0.19
"109",2018,3,15,"beagle","M",TRUE,"11220",7
"110",2018,3,17,"jack russ","U",FALSE,"11229",NA
"111",2018,3,17,"rottweiler","M",TRUE,"11206",4
"112",2018,3,17,"labrador retriever","M",TRUE,"11223",2
"113",2018,3,18,"pit bull","M",FALSE,"11216",3
"114",2018,3,18,"mixed","F",FALSE,"11211",11
"115",2018,3,18,"mixed","U",FALSE,"11208",9
"116",2018,3,17,"mixed","F",FALSE,"11203",2
"117",2018,3,11,"mixed","F",TRUE,"11206",6
"118",2018,3,20,NA,"U",FALSE,"11209",NA
"119",2018,3,22,NA,"U",FALSE,"11215",NA
"120",2018,3,17,NA,"U",FALSE,"11238",NA
"121",2018,3,21,"maltese","F",FALSE,"11216",0.62
"122",2018,3,11,"lhasa apso","M",FALSE,"11226",1
"123",2018,3,26,"corgi-chihuahua","M",TRUE,"11225",11
"124",2018,3,22,"puggle","M",FALSE,"11204",9
"125",2018,3,25,"english staffordshire terrier","M",TRUE,"11215",1
"126",2018,3,23,"mixed","M",TRUE,"11218",8
"127",2018,3,26,"pit bull","U",FALSE,"11207",NA
"128",2018,3,27,NA,"U",FALSE,NA,NA
"129",2018,3,23,"shih tzu","F",FALSE,"11209",13
"130",2018,3,27,"bichon frise","U",FALSE,NA,NA
"131",2018,3,26,"pit bull","U",FALSE,"11207",NA
"132",2018,3,23,"pit bull","U",FALSE,NA,NA
"133",2018,3,25,NA,"U",FALSE,NA,NA
"134",2018,3,28,"pit bull","F",TRUE,"11221",4
"135",2018,3,29,"shih tzu","F",FALSE,"11237",2
"136",2018,3,30,"bichon / poodle","M",FALSE,"11226",11
"137",2018,4,1,NA,"U",FALSE,NA,NA
"138",2018,3,31,"maltese","M",TRUE,"11215",11
"139",2018,4,4,"mixed","F",FALSE,"11208",4
"140",2018,3,31,"maltese/ shih tzu","M",FALSE,"11234",3
"141",2018,3,31,"siberian husky","M",FALSE,"11214",4
"142",2018,4,4,"mixed","M",FALSE,"11207",10
"143",2018,4,4,"mixed","M",FALSE,"11207",10
"144",2018,4,3,"mixed","M",FALSE,"11237",3
"145",2018,4,4,"mixed","M",FALSE,"11237",3
"146",2018,3,29,"mixed","M",FALSE,"11216",4
"147",2018,4,4,"mixed","M",FALSE,"11216",4
"148",2018,4,8,"mixed","M",FALSE,"11249",2
"149",2018,4,8,"mixed","M",FALSE,"11249",2
"150",2018,4,7,"akita","M",FALSE,"11207",4
"151",2018,4,8,"shih tzu","M",FALSE,NA,3
"152",2018,4,8,"rat terrier","U",TRUE,"11211",1
"153",2018,4,9,"boston terrier/chihuahua","F",TRUE,"11201",6
"154",2018,4,9,"german shepherd","M",TRUE,"11221",3
"155",2018,3,31,"pit bull","U",FALSE,"11218",NA
"156",2018,4,7,"sheperd","U",FALSE,NA,NA
"157",2018,4,8,"mixed","M",TRUE,"11238",3
"158",2018,4,9,"siberian husky","M",TRUE,"11238",1
"159",2018,4,10,"shih tzu","M",TRUE,NA,6
"160",2018,4,10,"pit bull","U",FALSE,"11236",NA
"161",2018,4,10,"maltese","F",TRUE,"11223",10
"162",2018,4,2,"mixed","F",TRUE,"11218",6
"163",2018,4,8,"yorkshire terrier","M",FALSE,"11221",6
"164",2018,4,7,"border collie","M",FALSE,NA,NA
"165",2018,4,7,"pit bull","M",FALSE,"11230",1
"166",2018,4,14,"cane corso","F",FALSE,"11234",9
"167",2018,4,16,"dachshund smooth coat","F",TRUE,"11249",12
"168",2018,4,16,"rottweiler","M",TRUE,"11208",2
"169",2018,4,15,"hound","U",FALSE,"11231",NA
"170",2018,4,12,"pit bull","U",FALSE,"11217",NA
"171",2018,4,10,"maltese/ shih tzu","M",TRUE,"11201",1
"172",2018,4,18,"pit bull","U",FALSE,"11207",NA
"173",2018,4,18,"pit bull","U",FALSE,"11236",NA
"174",2018,4,18,"mixed","M",FALSE,"11236",2
"175",2018,4,18,NA,"U",FALSE,NA,NA
"176",2018,4,19,"pit bull","M",FALSE,"11206",5
"177",2018,4,21,"pit bull","M",FALSE,"11231",3
"178",2018,4,23,"shih tzu","M",FALSE,"11229",7
"179",2018,4,19,"german shepherd","U",FALSE,"11233",NA
"180",2018,4,23,"mixed","M",FALSE,"11208",8
"181",2018,4,21,"pit bull","U",FALSE,"11220",NA
"182",2018,4,21,NA,"U",FALSE,"11238",NA
"183",2018,4,23,"german shepherd","M",TRUE,"11230",2
"184",2018,4,24,"german shepherd","M",TRUE,"11226",8
"185",2018,4,24,"pit bull","U",FALSE,"11209",NA
"186",2018,4,18,NA,"U",FALSE,"11214",NA
"187",2018,4,23,NA,"U",FALSE,NA,NA
"188",2018,4,24,"pit bull","U",FALSE,"11206",NA
"189",2018,4,24,"pit bull","U",FALSE,NA,NA
"190",2018,4,18,"chihuahua","U",FALSE,"11221",NA
"191",2018,4,25,"shih tzu","U",FALSE,"11233",NA
"192",2018,4,26,"pit bull","U",FALSE,"11238",NA
"193",2018,4,2,"lhasa apso/poodle","F",TRUE,"11210",5
"194",2018,4,29,"pit bull","U",FALSE,"11233",NA
"195",2018,4,27,"mixed","M",FALSE,"11203",5
"196",2018,4,25,"asian sheperd","M",TRUE,"11204",2
"197",2018,5,1,"german shepherd","M",TRUE,"11230",0.75
"198",2018,4,29,"mixed","F",TRUE,"11232",2
"199",2018,5,1,"mixed","U",FALSE,NA,NA
"200",2018,4,14,"mixed","M",FALSE,NA,4
"201",2018,5,1,"golden retriever","M",FALSE,"11230",1
"202",2018,5,2,"pit bull","F",FALSE,"11220",4
"203",2018,5,2,"pit bull","U",FALSE,"11213",NA
"204",2018,5,2,"labrador retriever","M",TRUE,"11222",5
"205",2018,4,27,"pit bull","U",FALSE,"11215",NA
"206",2018,5,3,NA,"U",FALSE,"11234",NA
"207",2018,5,7,"pit bull","M",FALSE,"11224",NA
"208",2018,5,5,NA,"U",FALSE,"11204",NA
"209",2018,5,5,NA,"M",FALSE,"11220",NA
"210",2018,5,4,"yorkshire terrier","M",TRUE,"11214",15
"211",2018,5,7,"pit bull","F",FALSE,"11203",8
"212",2018,4,27,"shiba inu","M",FALSE,NA,NA
"213",2018,5,7,"yorkshire terrier","F",FALSE,"11207",1
"214",2018,5,9,"bull dog","U",FALSE,NA,NA
"215",2018,5,7,"pit bull","U",FALSE,"11214",NA
"216",2018,5,8,"rottweiler","M",TRUE,"11236",1
"217",2018,5,1,"german shepherd","M",TRUE,"11238",15
"218",2018,3,4,NA,"U",FALSE,"11206",NA
"219",2018,5,10,"siberian husky","U",FALSE,"11205",NA
"220",2018,5,7,NA,"U",FALSE,NA,NA
"221",2018,5,9,"australian cattledog","F",TRUE,"11226",6
"222",2018,5,10,"yorkshire terrier","F",FALSE,"11205",7
"223",2018,5,12,"pit bull","F",FALSE,"11230",NA
"224",2018,5,12,"pit bull","U",FALSE,"11221",NA
"225",2018,5,14,"beagle","M",TRUE,"11225",4
"226",2018,5,12,"bull dog","M",TRUE,"11235",2
"227",2018,5,15,"mixed","M",FALSE,"11208",8
"228",2018,5,9,NA,"U",FALSE,"11223",NA
"229",2018,5,14,NA,"U",FALSE,"11210",NA
"230",2018,5,14,"great dane","U",FALSE,"11213",NA
"231",2018,5,13,"pit bull","U",FALSE,"11221",NA
"232",2018,4,17,"cane corso","F",FALSE,"11236",1
"233",2018,5,17,"labrador retriever","M",TRUE,"11201",3
"234",2018,5,18,"pit bull","U",FALSE,"11213",NA
"235",2018,5,20,"mixed","M",FALSE,"11236",1
"236",2018,5,19,"spaniel","U",FALSE,"11218",NA
"237",2018,5,19,"mixed","U",FALSE,"11226",NA
"238",2018,5,20,"pit bull","F",FALSE,"11221",4
"239",2018,5,18,"husky","U",FALSE,"11221",NA
"240",2018,5,22,"pit bull","U",FALSE,"11213",NA
"241",2018,5,22,"pit bull","U",FALSE,"11226",NA
"242",2018,5,20,NA,"U",FALSE,"11212",NA
"243",2018,5,23,"cocker spaniel","F",FALSE,"11224",6
"244",2018,5,23,"pit bull","U",FALSE,"11208",NA
"245",2018,5,24,"chow chow","F",TRUE,"11217",4
"246",2018,5,24,"chow chow","F",TRUE,"11217",4
"247",2018,5,28,NA,"F",FALSE,"11216",6
"248",2018,5,20,"mixed","U",FALSE,"11220",NA
"249",2018,5,28,"pit bull","U",FALSE,NA,NA
"250",2018,5,26,"american bully","M",FALSE,"11208",1
"251",2018,5,26,"shih tzu","U",FALSE,"11221",NA
"252",2018,5,26,"mixed","F",FALSE,"11213",NA
"253",2018,5,24,"mixed","M",FALSE,"11216",1
"254",2018,5,27,"golden retriever","F",FALSE,NA,8
"255",2018,5,26,NA,"U",FALSE,NA,NA
"256",2018,5,24,"pit bull","M",TRUE,"11212",5
"257",2018,6,1,"pit bull","F",FALSE,"11223",3
"258",2018,6,2,NA,"U",FALSE,"11221",NA
"259",2018,6,2,NA,"U",FALSE,NA,NA
"260",2018,6,2,"pit bull","M",FALSE,"11233",3
"261",2018,6,5,"mixed","U",FALSE,"11209",NA
"262",2018,6,1,"zuchon","M",FALSE,"11217",4
"263",2018,6,1,"hound","M",TRUE,NA,2
"264",2018,6,2,NA,"U",FALSE,NA,NA
"265",2018,6,2,"dachshund smooth coat","M",TRUE,"11236",11
"266",2018,6,4,NA,"F",FALSE,"11208",8
"267",2018,6,4,"pit bull","U",FALSE,"11222",NA
"268",2018,6,1,"pit bull","U",FALSE,"11230",NA
"269",2018,5,25,"beagle","U",FALSE,"11223",NA
"270",2018,5,26,"bull dog","M",TRUE,"11220",6
"271",2018,5,25,"mixed","U",FALSE,"11222",NA
"272",2018,5,30,NA,"F",FALSE,"11208",5
"273",2018,6,8,NA,"M",FALSE,"11208",3
"274",2018,5,31,"boxer","U",FALSE,"11207",NA
"275",2018,5,26,"shih tzu","M",FALSE,"11204",2
"276",2018,5,21,"pit bull","U",FALSE,"11220",NA
"277",2018,5,30,"shih tzu","U",FALSE,"11238",NA
"278",2018,6,6,"yorkshire terrier","U",FALSE,"11234",NA
"279",2018,6,12,"pit bull","M",FALSE,"11231",3
"280",2018,6,6,"maltese bighon white","U",FALSE,NA,NA
"281",2018,6,1,"border collie","M",TRUE,"11217",6
"282",2018,6,10,"yorkshire terrier","U",FALSE,"11201",NA
"283",2018,6,2,"pit bull","U",FALSE,"11225",NA
"284",2018,6,14,"terrier/maltese","F",TRUE,"11205",4
"285",2018,6,7,"poodle, standard","U",FALSE,"11207",NA
"286",2018,5,31,"mixed","U",FALSE,"11201",NA
"287",2018,6,9,"pit bull","U",FALSE,"11205",NA
"288",2018,5,23,"german shepherd","M",FALSE,"11234",4
"289",2018,5,30,"shih poo","F",FALSE,"11203",2
"290",2018,6,14,"pit bull","U",FALSE,"11205",NA
"291",2018,6,14,"pit bull","U",FALSE,"11205",NA
"292",2018,6,7,NA,"U",FALSE,NA,NA
"293",2018,6,9,"mixed","F",FALSE,"11238",5
"294",2018,6,14,NA,"U",FALSE,"11205",NA
"295",2018,6,10,NA,"U",FALSE,"11234",NA
"296",2018,6,2,"maltese","F",FALSE,"11224",6
"297",2018,6,16,"pit bull","U",FALSE,"11236",NA
"298",2018,6,4,"pit bull","U",FALSE,"11224",NA
"299",2018,6,12,"mixed","U",FALSE,"11220",NA
"300",2018,6,10,"maltese","M",FALSE,"11206",NA
"301",2018,6,19,NA,"M",FALSE,"11208",NA
"302",2018,6,11,"shih tzu","U",FALSE,"11218",NA
"303",2018,6,6,"shih tzu","U",FALSE,"11216",NA
"304",2018,5,28,"boston terrier","U",FALSE,"11215",NA
"305",2018,6,13,"pit bull","U",FALSE,"11203",NA
"306",2018,6,11,"bernedoodle","U",FALSE,"11238",NA
"307",2018,6,20,NA,"M",FALSE,"11212",2
"308",2018,6,20,NA,"F",FALSE,NA,2
"309",2018,6,18,"pit bull","U",FALSE,"11249",NA
"310",2018,6,17,"pit bull","U",FALSE,"11236",NA
"311",2018,6,13,"hound","U",FALSE,"11231",NA
"312",2018,6,18,NA,"U",FALSE,"11221",NA
"313",2018,6,16,"australian shepard - poodle","M",FALSE,NA,4
"314",2018,6,16,NA,"U",FALSE,NA,NA
"315",2018,6,19,"pit bull","U",FALSE,"11226",NA
"316",2018,6,24,"maltese","F",TRUE,"11212",9
"317",2018,6,18,NA,"M",TRUE,"11215",4
"318",2018,5,28,"australian cattle dog","M",TRUE,"11238",6
"319",2018,6,24,NA,"M",FALSE,"11210",1
"320",2018,6,23,NA,"M",FALSE,"11212",1
"321",2018,6,17,"pit bull","U",FALSE,NA,NA
"322",2018,6,19,NA,"U",FALSE,NA,NA
"323",2018,6,21,"shih tzu/maltese","M",TRUE,"11236",7
"324",2018,6,23,"cocker spaniel","U",FALSE,NA,NA
"325",2018,6,21,"boston terrier","M",TRUE,"11233",5
"326",2018,6,21,"cane corso","M",FALSE,"11223",7
"327",2018,6,24,"mixed","F",FALSE,"11219",1
"328",2018,6,27,"chihuahua","M",FALSE,"11219",2
"329",2018,6,22,NA,"U",FALSE,"11219",NA
"330",2018,6,22,NA,"U",FALSE,"11205",NA
"331",2018,6,25,"siberian husky","U",FALSE,"11229",NA
"332",2018,6,16,"german shepherd","M",FALSE,"11224",4
"333",2018,6,30,NA,"U",FALSE,"11220",NA
"334",2018,6,22,"labrador retriever","M",TRUE,"11209",1
"335",2018,6,27,"chorkie","U",FALSE,"11204",NA
"336",2018,6,21,"shiba inu","F",TRUE,"11223",3
"337",2018,6,22,"german shepherd","M",FALSE,"11220",5
"338",2018,6,22,"german shepherd","M",FALSE,NA,5
"339",2018,6,23,NA,"U",FALSE,"11237",NA
"340",2018,6,23,"petite golden doodle","M",TRUE,"11201",4
"341",2018,6,21,"pit bull","U",FALSE,"11226",NA
"342",2018,6,23,"yorkshire terrier","M",FALSE,"11235",4
"343",2018,6,23,NA,"U",FALSE,"112",NA
"344",2018,6,22,"golden retriever","U",FALSE,"11215",NA
"345",2018,6,16,NA,"U",FALSE,"11224",NA
"346",2018,7,4,"yorkshire terrier","M",FALSE,"11236",8
"347",2018,7,4,"pit bull","U",FALSE,"11233",NA
"348",2018,7,4,"german shepherd","U",FALSE,"11216",NA
"349",2018,7,3,"hound","M",TRUE,"11209",2
"350",2018,7,5,"bull dog","M",TRUE,"11234",11
"351",2018,7,4,"small dog","U",FALSE,"11236",NA
"352",2018,7,6,NA,"M",FALSE,"11208",2
"353",2018,7,6,NA,"F",TRUE,"11203",2
"354",2018,6,22,"pit bull","U",FALSE,"11233",NA
"355",2018,6,26,NA,"U",FALSE,"11234",NA
"356",2018,6,24,"poodle, standard","U",FALSE,"11230",NA
"357",2018,6,21,"sheperd","U",FALSE,"11229",NA
"358",2018,6,25,NA,"M",FALSE,"11207",NA
"359",2018,6,27,NA,"U",FALSE,"11237",NA
"360",2018,6,25,"pit bull","U",FALSE,"11223",NA
"361",2018,6,27,"labrador","U",FALSE,"11219",NA
"362",2018,6,29,"dachshund smooth coat","F",TRUE,"11236",2
"363",2018,7,9,NA,"M",FALSE,"11208",5
"364",2018,6,28,NA,"U",FALSE,"11226",NA
"365",2018,7,4,"pomeranian","M",FALSE,"11223",8
"366",2018,7,5,"spaniel/poodle","M",TRUE,"11217",12
"367",2018,7,3,"jack russ","U",FALSE,"11216",NA
"368",2018,6,28,"jack russ","M",TRUE,"11234",1
"369",2018,7,3,NA,"U",FALSE,"11210",NA
"370",2018,5,21,"pit bull","U",FALSE,"11207",NA
"371",2018,6,30,NA,"U",FALSE,"11220",NA
"372",2018,7,7,"mixed","U",FALSE,"11215",NA
"373",2018,6,11,"retreiver","U",FALSE,"11230",NA
"374",2018,7,7,"pit bull","U",FALSE,"11203",NA
"375",2018,7,5,"pit bull","U",FALSE,"11203",NA
"376",2018,7,9,"pit bull","U",FALSE,"11214",NA
"377",2018,7,14,"alaskan klee kai","M",TRUE,"11225",4
"378",2018,7,10,"bull dog","M",TRUE,"11249",8
"379",2018,7,12,"bull terrier","F",TRUE,"11234",8
"380",2018,7,10,"pit bull","U",FALSE,NA,NA
"381",2018,7,14,"cocker spaniel","U",FALSE,"11214",NA
"382",2018,7,10,"small dog","U",FALSE,"11223",NA
"383",2018,7,17,NA,"U",FALSE,"11223",NA
"384",2018,7,1,"chow chow/golden retriever","F",FALSE,"11220",3
"385",2018,7,4,"german shepherd","U",FALSE,"11209",NA
"386",2018,7,17,"golden retriever","M",TRUE,"11209",3
"387",2018,7,18,"shih tzu","M",TRUE,"11229",7
"388",2018,7,15,"yorkshire terrier","U",FALSE,"11204",NA
"389",2018,7,16,"pit bull","U",FALSE,NA,NA
"390",2018,7,19,"australian terrier","M",FALSE,"11222",12
"391",2018,6,23,"american staffordshire terrier","U",FALSE,"11221",NA
"392",2018,7,17,"german shepherd/golden retriever","U",FALSE,NA,NA
"393",2018,7,15,"corgi","U",FALSE,NA,NA
"394",2018,7,19,"pit bull","U",FALSE,"11209",NA
"395",2018,7,19,"shih tzu","M",TRUE,NA,10
"396",2018,7,20,"german shepherd","M",FALSE,"11226",10
"397",2018,7,7,NA,"U",FALSE,"11216",NA
"398",2018,6,21,"pit bull","U",FALSE,"11212",NA
"399",2018,7,22,"husky","U",FALSE,"11219",NA
"400",2018,7,21,"labrador retriever","U",FALSE,"11234",NA
"401",2018,7,13,"golden retriever","M",TRUE,"11232",1
"402",2018,7,14,NA,"U",FALSE,"11204",NA
"403",2018,7,25,"collie","M",TRUE,"11237",9
"404",2018,7,24,"pit bull","U",FALSE,"11229",NA
"405",2018,7,4,"rottweiler","M",TRUE,"11221",7
"406",2018,7,22,"shih tzu","M",FALSE,"11216",4
"407",2018,7,20,"golden doodle","F",TRUE,NA,5
"408",2018,7,12,NA,"U",FALSE,NA,NA
"409",2018,7,16,NA,"U",FALSE,"11218",NA
"410",2018,7,28,"large terrier","M",FALSE,"11213",4
"411",2018,7,28,"large terrier","M",FALSE,"11213",4
"412",2018,7,27,NA,"U",FALSE,NA,NA
"413",2018,7,26,NA,"U",FALSE,"11223",NA
"414",2018,7,28,"morkie","U",FALSE,"11207",NA
"415",2018,7,29,NA,"U",FALSE,"11235",NA
"416",2018,7,28,NA,"U",FALSE,"11215",NA
"417",2018,7,24,"borzoi","U",TRUE,"11235",NA
"418",2018,7,24,"borzoi","U",FALSE,"11235",NA
"419",2018,7,18,"labrador retriever","M",TRUE,"11220",3
"420",2018,7,23,NA,"U",FALSE,"11226",NA
"421",2018,7,31,"shih tzu","M",TRUE,"11223",10
"422",2018,7,28,"pit bull","U",FALSE,"11207",NA
"423",2018,7,21,"terrier","M",TRUE,"11210",4
"424",2018,7,21,"chihuahua","U",FALSE,"11238",NA
"425",2018,7,25,"shih tzu","U",FALSE,"11214",NA
"426",2018,7,24,NA,"U",FALSE,"11210",NA
"427",2018,7,24,NA,"U",FALSE,"11210",NA
"428",2018,7,24,NA,"U",FALSE,"11210",NA
"429",2018,7,23,NA,"U",FALSE,"11209",NA
"430",2018,7,18,"pit bull","U",FALSE,"11214",NA
"431",2018,7,28,NA,"U",FALSE,NA,NA
"432",2018,7,20,"shar-pei","U",FALSE,"11226",NA
"433",2018,7,26,"maltese","M",TRUE,"11236",4
"434",2018,7,26,NA,"U",FALSE,"11205",NA
"435",2018,7,27,"shih tzu","F",TRUE,"11209",7
"436",2018,7,31,"pit bull","U",FALSE,"11209",NA
"437",2018,8,4,"bichon frise","U",FALSE,"11234",NA
"438",2018,8,6,"pit bull","U",FALSE,"11207",NA
"439",2018,7,25,"shih tzu","U",FALSE,"11209",NA
"440",2018,7,29,"hound","F",TRUE,"11208",2
"441",2018,8,3,"poodle, standard","U",FALSE,"11220",NA
"442",2018,8,3,"shih tzu","U",FALSE,"11236",NA
"443",2018,7,26,"mixed","M",TRUE,"11238",0.92
"444",2018,8,4,"greyhound","F",TRUE,"11209",9
"445",2018,7,1,NA,"U",FALSE,NA,NA
"446",2018,8,4,"beagle","U",FALSE,"11223",NA
"447",2018,8,1,"pit bull","U",FALSE,"11207",NA
"448",2018,8,10,"staffordshire bull terrier","M",FALSE,"11211",3
"449",2018,8,5,"labrador / shepherd","F",TRUE,"11220",8
"450",2018,8,13,"chihuahua","M",TRUE,"11220",6
"451",2018,8,6,NA,"U",FALSE,"11215",NA
"452",2018,8,3,"terrier","U",FALSE,"11209",NA
"453",2018,8,15,"chihuahua","U",FALSE,"11233",NA
"454",2018,8,10,NA,"U",FALSE,NA,NA
"455",2018,8,11,"pit bull","U",FALSE,"11226",NA
"456",2018,8,5,NA,"U",FALSE,NA,NA
"457",2018,8,10,"pit bull","U",FALSE,"11231",NA
"458",2018,8,10,"pit bull","U",FALSE,"11231",NA
"459",2018,6,21,NA,"U",FALSE,"11211",NA
"460",2018,7,30,"bull dog","F",FALSE,"11237",2
"461",2018,7,28,"pit bull","U",FALSE,"11236",NA
"462",2018,8,18,"beagle","M",TRUE,"11215",5
"463",2018,8,16,NA,"U",FALSE,"11224",NA
"464",2018,8,19,NA,"M",FALSE,"11206",7
"465",2018,8,14,"chihuahua","U",FALSE,"11228",NA
"466",2018,8,15,"miniature pinscher","U",FALSE,"11209",NA
"467",2018,8,16,"english pointer","M",FALSE,"11207",5
"468",2018,8,18,"shih tzu","U",FALSE,"11210",NA
"469",2018,8,19,"pit bull","U",FALSE,"11226",NA
"470",2018,8,17,"shih tzu","U",FALSE,"11204",NA
"471",2018,7,28,"shar-pei, chinese","M",TRUE,"11216",4
"472",2018,8,19,NA,"U",FALSE,"11216",2
