class,age,sex,survived
2nd,0.83,male,TRUE
2nd,31,female,TRUE
2nd,19,male,FALSE
2nd,54,male,FALSE
2nd,44,female,FALSE
2nd,52,male,FALSE
2nd,30,male,FALSE
2nd,30,female,FALSE
2nd,29,male,FALSE
2nd,29,male,FALSE
2nd,27,male,FALSE
2nd,24,male,TRUE
2nd,35,male,FALSE
2nd,31,female,TRUE
2nd,8,female,TRUE
2nd,22,female,FALSE
2nd,30,female,FALSE
2nd,20,male,FALSE
2nd,21,male,FALSE
2nd,49,female,TRUE
2nd,8,male,TRUE
2nd,28,female,TRUE
2nd,18,male,FALSE
2nd,28,male,FALSE
2nd,22,female,TRUE
2nd,25,male,FALSE
2nd,18,male,FALSE
2nd,32,female,TRUE
2nd,18,female,TRUE
2nd,42,male,FALSE
2nd,34,female,TRUE
2nd,8,male,TRUE
2nd,23,male,FALSE
2nd,21,male,FALSE
2nd,19,male,FALSE
2nd,38,male,FALSE
2nd,38,female,FALSE
2nd,35,male,FALSE
2nd,35,male,FALSE
2nd,38,male,FALSE
2nd,24,female,TRUE
2nd,16,male,FALSE
2nd,26,male,FALSE
2nd,45,male,FALSE
2nd,24,male,FALSE
2nd,21,male,FALSE
2nd,22,male,FALSE
2nd,34,male,FALSE
2nd,30,male,FALSE
2nd,50,male,FALSE
2nd,30,male,FALSE
2nd,23,female,TRUE
2nd,1,male,TRUE
2nd,44,male,FALSE
2nd,28,male,FALSE
2nd,6,female,TRUE
2nd,30,male,TRUE
2nd,43,male,FALSE
2nd,45,female,TRUE
2nd,7,female,TRUE
2nd,24,female,TRUE
2nd,24,female,TRUE
2nd,49,male,FALSE
2nd,48,female,TRUE
2nd,34,male,FALSE
2nd,32,male,FALSE
2nd,21,male,FALSE
2nd,18,female,FALSE
2nd,53,female,TRUE
2nd,23,male,FALSE
2nd,21,female,TRUE
2nd,52,male,FALSE
2nd,42,male,FALSE
2nd,36,female,TRUE
2nd,21,male,FALSE
2nd,41,male,TRUE
2nd,33,male,FALSE
2nd,17,female,TRUE
2nd,23,female,TRUE
2nd,34,male,FALSE
2nd,22,female,FALSE
2nd,45,female,TRUE
2nd,31,male,FALSE
2nd,30,male,FALSE
2nd,26,female,FALSE
2nd,34,female,TRUE
2nd,26,male,FALSE
2nd,22,female,TRUE
2nd,1,female,TRUE
2nd,3,female,TRUE
2nd,25,male,FALSE
2nd,48,male,FALSE
2nd,57,female,FALSE
2nd,2,male,TRUE
2nd,27,male,FALSE
2nd,19,female,TRUE
2nd,30,male,FALSE
2nd,20,male,FALSE
2nd,45,male,FALSE
2nd,46,male,FALSE
2nd,41,female,TRUE
2nd,13,female,TRUE
2nd,19,male,TRUE
2nd,30,male,FALSE
2nd,48,male,FALSE
2nd,71,male,FALSE
2nd,54,male,FALSE
2nd,64,male,FALSE
2nd,32,male,FALSE
2nd,18,female,TRUE
2nd,2,male,TRUE
2nd,32,male,FALSE
2nd,3,male,TRUE
2nd,26,male,FALSE
2nd,19,male,FALSE
2nd,20,male,TRUE
2nd,29,female,TRUE
2nd,39,male,FALSE
2nd,22,male,TRUE
2nd,24,male,FALSE
2nd,28,male,FALSE
2nd,50,female,TRUE
2nd,20,male,FALSE
2nd,40,male,FALSE
2nd,42,female,TRUE
2nd,21,male,FALSE
2nd,32,female,TRUE
2nd,34,male,FALSE
2nd,33,female,TRUE
2nd,2,female,TRUE
2nd,8,female,TRUE
2nd,36,male,FALSE
2nd,34,male,FALSE
2nd,30,female,TRUE
2nd,28,female,TRUE
2nd,23,male,FALSE
2nd,0.8,male,TRUE
2nd,25,female,TRUE
2nd,3,male,TRUE
2nd,50,female,TRUE
2nd,21,female,TRUE
2nd,25,female,TRUE
2nd,18,female,TRUE
2nd,20,female,TRUE
2nd,30,female,TRUE
2nd,59,male,FALSE
2nd,30,female,TRUE
2nd,35,male,FALSE
2nd,22,male,FALSE
2nd,25,male,FALSE
2nd,41,male,FALSE
2nd,25,male,FALSE
2nd,14,male,FALSE
2nd,50,female,TRUE
2nd,22,male,FALSE
2nd,27,female,TRUE
2nd,29,male,FALSE
2nd,27,female,FALSE
2nd,30,male,FALSE
2nd,22,male,FALSE
2nd,35,female,TRUE
2nd,30,male,FALSE
2nd,28,female,TRUE
2nd,23,male,FALSE
2nd,12,female,TRUE
2nd,40,female,TRUE
2nd,36,female,TRUE
2nd,28,male,FALSE
2nd,32,female,TRUE
2nd,29,female,TRUE
2nd,4,female,TRUE
2nd,2,male,TRUE
2nd,36,male,FALSE
2nd,33,female,TRUE
2nd,32,male,TRUE
2nd,26,female,TRUE
2nd,30,male,FALSE
2nd,24,female,TRUE
2nd,18,male,FALSE
3rd,42,male,FALSE
3rd,13,male,FALSE
3rd,16,male,FALSE
3rd,35,female,TRUE
3rd,16,female,TRUE
3rd,25,male,TRUE
3rd,18,female,TRUE
3rd,20,male,TRUE
3rd,30,male,FALSE
3rd,26,male,FALSE
3rd,40,female,FALSE
3rd,24,male,FALSE
3rd,41,male,FALSE
3rd,18,female,TRUE
3rd,0.83,male,TRUE
3rd,23,male,FALSE
3rd,20,male,FALSE
3rd,25,male,FALSE
3rd,35,male,FALSE
3rd,17,male,FALSE
3rd,32,male,FALSE
3rd,20,male,FALSE
3rd,39,male,FALSE
3rd,39,female,FALSE
3rd,6,female,FALSE
3rd,2,female,FALSE
3rd,17,female,TRUE
3rd,38,female,FALSE
3rd,9,female,FALSE
3rd,26,male,FALSE
3rd,11,female,FALSE
3rd,4,male,FALSE
3rd,20,male,FALSE
3rd,26,male,FALSE
3rd,25,male,FALSE
3rd,18,female,FALSE
3rd,24,male,FALSE
3rd,35,male,FALSE
3rd,40,male,FALSE
3rd,38,female,TRUE
3rd,5,male,FALSE
3rd,9,male,FALSE
3rd,3,male,TRUE
3rd,13,male,FALSE
3rd,23,male,TRUE
3rd,5,female,TRUE
3rd,45,female,TRUE
3rd,23,male,FALSE
3rd,17,female,FALSE
3rd,27,male,FALSE
3rd,23,male,FALSE
3rd,20,male,FALSE
3rd,32,male,FALSE
3rd,33,female,TRUE
3rd,3,female,TRUE
3rd,18,female,TRUE
3rd,40,male,FALSE
3rd,26,male,FALSE
3rd,15,female,TRUE
3rd,45,female,FALSE
3rd,18,female,FALSE
3rd,27,female,FALSE
3rd,22,male,FALSE
3rd,19,male,FALSE
3rd,26,male,FALSE
3rd,22,male,FALSE
3rd,20,male,FALSE
3rd,32,male,TRUE
3rd,21,male,FALSE
3rd,18,male,FALSE
3rd,26,male,FALSE
3rd,6,male,FALSE
3rd,9,female,FALSE
3rd,40,male,FALSE
3rd,32,female,FALSE
3rd,26,male,FALSE
3rd,18,female,TRUE
3rd,20,female,FALSE
3rd,29,male,FALSE
3rd,22,male,FALSE
3rd,22,male,FALSE
3rd,35,male,FALSE
3rd,21,male,TRUE
3rd,20,female,FALSE
3rd,19,male,FALSE
3rd,18,female,FALSE
3rd,18,male,FALSE
3rd,38,male,FALSE
3rd,30,male,FALSE
3rd,17,male,FALSE
3rd,21,female,FALSE
3rd,21,male,FALSE
3rd,21,male,FALSE
3rd,24,male,FALSE
3rd,33,male,FALSE
3rd,33,male,FALSE
3rd,28,male,FALSE
3rd,16,female,TRUE
3rd,37,female,FALSE
3rd,28,male,FALSE
3rd,24,male,FALSE
3rd,21,male,FALSE
3rd,32,male,FALSE
3rd,29,male,FALSE
3rd,26,male,FALSE
3rd,18,male,FALSE
3rd,20,male,FALSE
3rd,19,male,TRUE
3rd,24,male,FALSE
3rd,24,male,FALSE
3rd,36,male,FALSE
3rd,31,male,FALSE
3rd,31,male,FALSE
3rd,30,female,FALSE
3rd,22,female,TRUE
3rd,43,male,FALSE
3rd,35,male,FALSE
3rd,27,male,FALSE
3rd,19,male,FALSE
3rd,30,male,FALSE
3rd,36,female,TRUE
3rd,3,male,TRUE
3rd,9,male,TRUE
3rd,59,male,FALSE
3rd,19,male,FALSE
3rd,44,male,FALSE
3rd,17,female,TRUE
3rd,45,male,TRUE
3rd,22,female,FALSE
3rd,19,male,FALSE
3rd,29,male,TRUE
3rd,30,female,TRUE
3rd,34,male,FALSE
3rd,28,female,FALSE
3rd,0.33,male,FALSE
3rd,27,male,FALSE
3rd,25,male,FALSE
3rd,24,male,FALSE
3rd,22,male,FALSE
3rd,21,male,FALSE
3rd,17,male,FALSE
3rd,26,male,FALSE
3rd,33,female,TRUE
3rd,1,male,TRUE
3rd,0.17,female,TRUE
3rd,25,male,FALSE
3rd,36,male,TRUE
3rd,36,female,TRUE
3rd,30,male,TRUE
3rd,23,male,FALSE
3rd,26,male,FALSE
3rd,19,female,TRUE
3rd,65,male,FALSE
3rd,42,male,FALSE
3rd,43,male,FALSE
3rd,32,male,FALSE
3rd,19,male,TRUE
3rd,30,female,TRUE
3rd,24,female,FALSE
3rd,23,female,TRUE
3rd,24,female,TRUE
3rd,24,male,TRUE
3rd,23,male,FALSE
3rd,22,female,TRUE
3rd,18,male,FALSE
3rd,16,male,FALSE
3rd,45,male,FALSE
3rd,47,male,FALSE
3rd,5,female,TRUE
3rd,21,female,FALSE
3rd,18,male,FALSE
3rd,9,female,FALSE
3rd,48,female,FALSE
3rd,16,male,FALSE
3rd,25,male,FALSE
3rd,38,female,TRUE
3rd,22,male,FALSE
3rd,16,female,TRUE
3rd,33,male,FALSE
3rd,9,male,TRUE
3rd,41,male,FALSE
3rd,38,male,FALSE
3rd,40,male,FALSE
3rd,43,female,FALSE
3rd,14,male,FALSE
3rd,16,female,FALSE
3rd,9,male,FALSE
3rd,10,female,FALSE
3rd,6,male,FALSE
3rd,11,male,FALSE
3rd,40,male,FALSE
3rd,32,male,FALSE
3rd,20,male,FALSE
3rd,37,male,FALSE
3rd,28,male,FALSE
3rd,19,male,FALSE
3rd,24,female,FALSE
3rd,17,female,FALSE
3rd,28,male,FALSE
3rd,24,female,TRUE
3rd,20,male,FALSE
3rd,41,male,FALSE
3rd,45,female,TRUE
3rd,26,male,FALSE
3rd,21,male,FALSE
3rd,27,male,TRUE
3rd,18,female,FALSE
3rd,26,female,TRUE
3rd,23,female,FALSE
3rd,22,female,TRUE
3rd,28,female,FALSE
3rd,22,female,TRUE
3rd,2,female,FALSE
3rd,43,male,FALSE
3rd,27,female,TRUE
3rd,42,male,FALSE
3rd,27,female,FALSE
3rd,25,female,FALSE
3rd,27,male,TRUE
3rd,19,female,TRUE
3rd,20,male,FALSE
3rd,48,male,FALSE
3rd,17,male,FALSE
3rd,34,male,FALSE
3rd,22,male,FALSE
3rd,33,male,FALSE
3rd,32,male,TRUE
3rd,29,male,FALSE
3rd,26,male,TRUE
3rd,49,male,FALSE
3rd,1,female,TRUE
3rd,33,male,FALSE
3rd,4,male,TRUE
3rd,24,female,FALSE
3rd,19,male,FALSE
3rd,32,male,TRUE
3rd,27,male,FALSE
3rd,21,female,FALSE
3rd,32,male,TRUE
3rd,20,female,FALSE
3rd,17,male,FALSE
3rd,21,male,FALSE
3rd,30,male,FALSE
3rd,21,male,TRUE
3rd,23,male,FALSE
3rd,22,male,FALSE
3rd,4,female,TRUE
3rd,39,male,FALSE
3rd,20,male,FALSE
3rd,21,female,TRUE
3rd,44,male,FALSE
3rd,42,male,FALSE
3rd,21,female,TRUE
3rd,24,male,FALSE
3rd,25,male,FALSE
3rd,22,male,FALSE
3rd,22,male,FALSE
3rd,39,male,TRUE
3rd,26,female,FALSE
3rd,4,female,TRUE
3rd,22,female,FALSE
3rd,26,male,FALSE
3rd,1.5,female,FALSE
3rd,36,female,FALSE
3rd,18,male,FALSE
3rd,25,male,TRUE
3rd,37,female,FALSE
3rd,22,female,TRUE
3rd,20,male,FALSE
3rd,26,male,TRUE
3rd,29,male,FALSE
3rd,29,male,FALSE
3rd,22,male,FALSE
3rd,32,male,FALSE
3rd,21,male,FALSE
3rd,21,female,FALSE
3rd,36,male,FALSE
3rd,39,male,FALSE
3rd,25,female,FALSE
3rd,45,female,FALSE
3rd,36,male,FALSE
3rd,30,female,FALSE
3rd,20,male,TRUE
3rd,23,female,FALSE
3rd,21,male,FALSE
3rd,1.5,female,FALSE
3rd,25,male,TRUE
3rd,18,female,TRUE
3rd,63,female,TRUE
3rd,18,female,FALSE
3rd,31,male,FALSE
3rd,31,female,FALSE
3rd,15,male,FALSE
3rd,28,male,FALSE
3rd,36,male,FALSE
3rd,28,male,FALSE
3rd,10,female,FALSE
3rd,36,male,FALSE
3rd,30,female,FALSE
3rd,22,male,TRUE
3rd,29,male,FALSE
3rd,47,male,FALSE
3rd,14,female,FALSE
3rd,22,male,FALSE
3rd,51,male,FALSE
3rd,18,male,FALSE
3rd,45,female,TRUE
3rd,28,male,FALSE
3rd,21,male,FALSE
3rd,27,male,FALSE
3rd,36,male,FALSE
3rd,27,male,FALSE
3rd,15,female,TRUE
3rd,27,male,FALSE
3rd,26,male,FALSE
3rd,22,male,FALSE
3rd,24,male,FALSE
3rd,29,male,FALSE
