pclass,survived,sex,age
1st class,yes,male,35
1st class,no,male,NA
1st class,no,male,42
1st class,yes,female,55
1st class,yes,female,16
1st class,yes,female,51
1st class,no,male,29
1st class,yes,female,21
1st class,no,male,30
1st class,yes,female,58
1st class,yes,female,15
1st class,no,male,30
1st class,yes,female,16
1st class,yes,male,NA
1st class,no,male,19
1st class,yes,female,18
1st class,yes,female,24
1st class,no,male,46
1st class,no,male,54
1st class,yes,male,36
1st class,no,male,28
1st class,yes,female,NA
1st class,no,male,65
1st class,no,male,44
1st class,yes,female,33
1st class,yes,female,37
1st class,yes,male,30
1st class,no,male,55
1st class,no,male,47
1st class,no,male,37
1st class,yes,female,31
1st class,yes,female,23
1st class,no,male,58
1st class,yes,female,19
1st class,no,male,64
1st class,yes,female,39
1st class,yes,male,NA
1st class,yes,female,22
1st class,no,male,65
1st class,no,male,28.5
1st class,no,male,NA
1st class,no,male,45.5
1st class,no,male,23
1st class,no,male,29
1st class,yes,female,22
1st class,no,male,18
1st class,yes,female,17
1st class,yes,female,30
1st class,yes,male,52
1st class,no,male,47
1st class,yes,female,56
1st class,no,male,38
1st class,yes,male,NA
1st class,no,male,22
1st class,no,male,NA
1st class,yes,female,43
1st class,no,male,31
1st class,yes,male,45
1st class,no,male,NA
1st class,yes,female,33
1st class,no,male,46
1st class,no,male,36
1st class,yes,female,33
1st class,no,male,55
1st class,yes,female,54
1st class,no,male,33
1st class,yes,male,13
1st class,yes,female,18
1st class,yes,female,21
1st class,no,male,61
1st class,yes,female,48
1st class,yes,male,NA
1st class,yes,female,24
1st class,yes,male,NA
1st class,yes,female,35
1st class,yes,female,30
1st class,yes,male,34
1st class,yes,female,40
1st class,yes,male,35
1st class,no,male,50
1st class,yes,female,39
1st class,yes,male,56
1st class,yes,male,28
1st class,no,male,56
1st class,no,male,56
1st class,no,male,24
1st class,no,male,NA
1st class,yes,female,18
1st class,yes,male,24
1st class,yes,female,23
1st class,yes,male,6
1st class,yes,male,45
1st class,yes,female,40
1st class,no,male,57
1st class,yes,female,NA
1st class,yes,male,32
1st class,no,male,62
1st class,yes,male,54
1st class,yes,female,43
1st class,yes,female,52
1st class,no,male,NA
1st class,yes,female,62
1st class,no,male,67
1st class,no,female,63
1st class,no,male,61
1st class,yes,female,48
1st class,yes,female,18
1st class,no,male,52
1st class,yes,female,39
1st class,yes,male,48
1st class,yes,female,NA
1st class,no,male,49
1st class,yes,male,17
1st class,yes,female,39
1st class,yes,female,NA
1st class,yes,male,31
1st class,no,male,40
1st class,no,male,61
1st class,no,male,47
1st class,yes,female,35
1st class,no,male,64
1st class,yes,female,60
1st class,no,male,60
1st class,no,male,54
1st class,no,male,21
1st class,yes,female,55
1st class,yes,female,31
1st class,no,male,57
1st class,yes,female,45
1st class,no,male,50
1st class,no,male,27
1st class,yes,female,50
1st class,yes,female,21
1st class,no,male,51
1st class,yes,male,21
1st class,no,male,NA
1st class,yes,female,31
1st class,yes,male,NA
1st class,no,male,62
1st class,yes,female,36
2nd class,no,male,30
2nd class,yes,female,28
2nd class,no,male,30
2nd class,no,male,18
2nd class,no,male,25
2nd class,no,male,34
2nd class,yes,female,36
2nd class,no,male,57
2nd class,no,male,18
2nd class,no,male,23
2nd class,yes,female,36
2nd class,no,male,28
2nd class,no,male,51
2nd class,yes,male,32
2nd class,yes,female,19
2nd class,no,male,28
2nd class,yes,male,1
2nd class,yes,female,4
2nd class,yes,female,12
2nd class,yes,female,36
2nd class,yes,male,34
2nd class,yes,female,19
2nd class,no,male,23
2nd class,no,male,26
2nd class,no,male,42
2nd class,no,male,27
2nd class,yes,female,24
2nd class,yes,female,15
2nd class,no,male,60
2nd class,yes,female,40
2nd class,yes,female,20
2nd class,no,male,25
2nd class,yes,female,36
2nd class,no,male,25
2nd class,no,male,42
2nd class,yes,female,42
2nd class,yes,male,0.8333
2nd class,yes,male,26
2nd class,yes,female,22
2nd class,yes,female,35
2nd class,no,male,NA
2nd class,no,male,19
2nd class,no,female,44
2nd class,no,male,54
2nd class,no,male,52
2nd class,no,male,37
2nd class,no,female,29
2nd class,yes,female,25
2nd class,yes,female,45
2nd class,no,male,29
2nd class,yes,female,28
2nd class,no,male,29
2nd class,no,male,28
2nd class,yes,male,24
2nd class,yes,female,8
2nd class,no,male,31
2nd class,yes,female,31
2nd class,yes,female,22
2nd class,no,female,30
2nd class,no,female,NA
2nd class,no,male,21
2nd class,no,male,NA
2nd class,yes,male,8
2nd class,no,male,18
2nd class,yes,female,48
2nd class,yes,female,28
2nd class,no,male,32
2nd class,no,male,17
2nd class,no,male,29
2nd class,yes,female,24
2nd class,no,male,25
2nd class,no,male,18
2nd class,yes,female,18
2nd class,yes,female,34
2nd class,no,male,54
2nd class,yes,male,8
2nd class,no,male,42
2nd class,yes,female,34
2nd class,yes,female,27
2nd class,yes,female,30
2nd class,no,male,23
2nd class,no,male,21
2nd class,no,male,18
2nd class,no,male,40
2nd class,yes,female,29
2nd class,no,male,18
2nd class,no,male,36
2nd class,no,male,NA
2nd class,no,female,38
2nd class,no,male,35
2nd class,no,male,38
2nd class,no,male,34
2nd class,yes,female,34
2nd class,no,male,16
2nd class,no,male,26
2nd class,no,male,47
2nd class,no,male,21
2nd class,no,male,21
2nd class,no,male,24
2nd class,no,male,24
2nd class,no,male,34
2nd class,no,male,30
2nd class,no,male,52
2nd class,no,male,30
2nd class,yes,male,0.6667
2nd class,yes,female,24
2nd class,no,male,44
2nd class,yes,female,6
2nd class,no,male,28
2nd class,yes,male,62
2nd class,no,male,30
2nd class,yes,female,7
2nd class,no,male,43
2nd class,yes,female,45
2nd class,yes,female,24
2nd class,yes,female,24
2nd class,no,male,49
2nd class,yes,female,48
2nd class,yes,female,55
2nd class,no,male,24
2nd class,no,male,32
2nd class,no,male,21
2nd class,no,female,18
2nd class,yes,female,20
2nd class,no,male,23
2nd class,no,male,36
2nd class,yes,female,54
2nd class,no,male,50
2nd class,no,male,44
2nd class,yes,female,29
2nd class,no,male,21
2nd class,yes,male,42
2nd class,no,male,63
2nd class,no,female,60
2nd class,no,male,33
2nd class,yes,female,17
2nd class,no,male,42
2nd class,yes,female,24
2nd class,no,male,47
2nd class,no,male,24
2nd class,no,male,22
2nd class,no,male,32
2nd class,yes,female,23
2nd class,no,male,34
2nd class,yes,female,24
2nd class,no,female,22
2nd class,yes,female,NA
2nd class,no,male,35
2nd class,yes,female,45
2nd class,no,male,57
2nd class,no,male,NA
2nd class,no,male,31
2nd class,no,female,26
2nd class,no,male,30
2nd class,no,male,NA
2nd class,yes,female,1
2nd class,yes,female,3
2nd class,no,male,25
2nd class,yes,female,22
2nd class,yes,female,17
2nd class,yes,female,NA
2nd class,yes,female,34
2nd class,no,male,36
2nd class,no,male,24
2nd class,no,male,61
2nd class,no,male,50
2nd class,yes,female,42
2nd class,no,female,57
2nd class,no,male,NA
2nd class,yes,male,1
2nd class,no,male,31
2nd class,yes,female,24
2nd class,no,male,NA
2nd class,no,male,30
2nd class,no,male,40
2nd class,no,male,32
2nd class,no,male,30
2nd class,no,male,46
2nd class,yes,female,13
2nd class,yes,female,41
2nd class,yes,male,19
2nd class,no,male,39
2nd class,no,male,48
2nd class,no,male,70
2nd class,no,male,27
2nd class,no,male,54
2nd class,no,male,39
2nd class,no,male,16
2nd class,no,male,62
2nd class,no,male,32.5
2nd class,yes,female,14
2nd class,yes,male,2
2nd class,yes,male,3
2nd class,no,male,36.5
2nd class,no,male,26
2nd class,no,male,19
2nd class,no,male,28
2nd class,yes,male,20
2nd class,yes,female,29
2nd class,no,male,39
2nd class,yes,male,22
2nd class,yes,male,NA
2nd class,no,male,23
2nd class,yes,male,29
2nd class,no,male,28
2nd class,no,male,NA
2nd class,yes,female,50
2nd class,no,male,19
2nd class,no,male,NA
2nd class,no,male,41
2nd class,yes,female,21
2nd class,yes,female,19
2nd class,no,male,43
2nd class,yes,female,32
2nd class,no,male,34
2nd class,yes,male,30
2nd class,no,male,27
2nd class,yes,female,2
2nd class,yes,female,8
2nd class,yes,female,33
2nd class,no,male,36
2nd class,no,male,34
2nd class,yes,female,30
2nd class,yes,female,28
2nd class,no,male,23
2nd class,yes,male,0.8333
2nd class,yes,male,3
2nd class,yes,female,24
2nd class,yes,female,50
2nd class,no,male,19
2nd class,yes,female,21
2nd class,no,male,26
2nd class,no,male,25
2nd class,no,male,27
2nd class,yes,female,25
2nd class,yes,female,18
2nd class,yes,female,20
2nd class,yes,female,30
2nd class,no,male,59
2nd class,yes,female,30
2nd class,no,male,35
2nd class,yes,female,40
2nd class,no,male,25
2nd class,no,male,41
2nd class,no,male,25
2nd class,no,male,18.5
2nd class,no,male,14
2nd class,yes,female,50
2nd class,no,male,23
2nd class,yes,female,28
2nd class,yes,female,27
2nd class,no,male,29
2nd class,no,female,27
2nd class,no,male,40
2nd class,yes,female,31
2nd class,no,male,30
2nd class,no,male,23
2nd class,yes,female,31
2nd class,no,male,NA
2nd class,yes,female,12
2nd class,yes,female,40
2nd class,yes,female,32.5
2nd class,no,male,27
2nd class,yes,female,29
2nd class,yes,male,2
2nd class,yes,female,4
2nd class,yes,female,29
2nd class,yes,female,0.9167
2nd class,yes,female,5
2nd class,no,male,36
2nd class,yes,female,33
2nd class,no,male,66
2nd class,no,male,NA
2nd class,yes,male,31
2nd class,yes,male,NA
2nd class,yes,female,26
2nd class,no,female,24
3rd class,no,male,42
3rd class,no,male,13
3rd class,no,male,16
3rd class,yes,female,35
3rd class,yes,female,16
3rd class,yes,male,25
3rd class,yes,male,20
3rd class,yes,female,18
3rd class,no,male,30
3rd class,no,male,26
3rd class,no,female,40
3rd class,yes,male,0.8333
3rd class,yes,female,18
3rd class,yes,male,26
3rd class,no,male,26
3rd class,no,male,20
3rd class,no,male,24
3rd class,no,male,25
3rd class,no,male,35
3rd class,no,male,18
3rd class,no,male,32
3rd class,yes,female,19
3rd class,no,male,4
3rd class,no,female,6
3rd class,no,female,2
3rd class,yes,female,17
3rd class,no,female,38
3rd class,no,female,9
3rd class,no,female,11
3rd class,no,male,39
3rd class,yes,male,27
3rd class,no,male,26
3rd class,no,female,39
3rd class,no,male,20
3rd class,no,male,26
3rd class,no,male,25
3rd class,no,female,18
3rd class,no,male,24
3rd class,no,male,35
3rd class,no,male,5
3rd class,no,male,9
3rd class,yes,male,3
3rd class,no,male,13
3rd class,yes,female,5
3rd class,no,male,40
3rd class,yes,male,23
3rd class,yes,female,38
3rd class,yes,female,45
3rd class,no,male,21
3rd class,no,male,23
3rd class,no,female,17
3rd class,no,male,30
3rd class,no,male,23
3rd class,yes,female,13
3rd class,no,male,20
3rd class,no,male,32
3rd class,yes,female,33
3rd class,yes,female,0.75
3rd class,yes,female,0.75
3rd class,yes,female,5
3rd class,yes,female,24
3rd class,yes,female,18
3rd class,no,male,40
3rd class,no,male,26
3rd class,yes,male,20
3rd class,no,female,18
3rd class,no,female,45
3rd class,no,female,27
3rd class,no,male,22
3rd class,no,male,19
3rd class,no,male,26
3rd class,no,male,22
3rd class,no,male,NA
3rd class,no,male,20
3rd class,yes,male,32
3rd class,no,male,21
3rd class,no,male,18
3rd class,no,male,26
3rd class,no,male,6
3rd class,no,female,9
3rd class,no,male,NA
3rd class,no,female,NA
3rd class,no,female,NA
3rd class,no,male,40
3rd class,no,female,32
3rd class,no,male,21
3rd class,yes,female,22
3rd class,no,female,20
3rd class,no,male,29
3rd class,no,male,22
3rd class,no,male,22
3rd class,no,male,35
3rd class,no,female,18.5
3rd class,yes,male,21
3rd class,no,male,19
3rd class,no,female,18
3rd class,no,female,21
3rd class,no,female,30
3rd class,no,male,18
3rd class,no,male,38
3rd class,no,male,17
3rd class,no,male,17
3rd class,no,female,21
3rd class,no,male,21
3rd class,no,male,21
3rd class,no,male,NA
3rd class,no,female,NA
3rd class,no,male,28
3rd class,no,male,24
3rd class,yes,female,16
3rd class,no,female,37
3rd class,no,male,28
3rd class,no,male,24
3rd class,no,male,21
3rd class,yes,male,32
3rd class,no,male,29
3rd class,no,male,26
3rd class,no,male,18
3rd class,no,male,20
3rd class,yes,male,18
3rd class,no,male,24
3rd class,no,male,36
3rd class,no,male,24
3rd class,no,male,31
3rd class,no,male,31
3rd class,yes,female,22
3rd class,no,female,30
3rd class,no,male,70.5
3rd class,no,male,43
3rd class,no,male,35
3rd class,no,male,27
3rd class,no,male,19
3rd class,no,male,30
3rd class,yes,male,9
3rd class,yes,male,3
3rd class,yes,female,36
3rd class,no,male,59
3rd class,no,male,19
3rd class,yes,female,17
3rd class,no,male,44
3rd class,no,male,17
3rd class,no,male,22.5
3rd class,yes,male,45
3rd class,no,female,22
3rd class,no,male,19
3rd class,yes,female,30
3rd class,yes,male,29
3rd class,no,male,0.3333
3rd class,no,male,34
3rd class,no,female,28
3rd class,no,male,27
3rd class,no,male,25
3rd class,no,male,24
3rd class,no,male,22
3rd class,no,male,21
3rd class,no,male,17
3rd class,no,male,NA
3rd class,yes,female,NA
3rd class,yes,male,36.5
3rd class,yes,female,36
3rd class,yes,male,30
3rd class,no,male,16
3rd class,yes,male,1
3rd class,yes,female,0.1667
3rd class,no,male,26
3rd class,yes,female,33
3rd class,no,male,25
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,22
3rd class,no,male,36
3rd class,yes,female,19
3rd class,no,male,17
3rd class,no,male,42
3rd class,no,male,43
3rd class,no,male,NA
3rd class,no,male,32
3rd class,yes,male,19
3rd class,yes,female,30
3rd class,no,female,24
3rd class,yes,female,23
3rd class,no,male,33
3rd class,no,male,65
3rd class,yes,male,24
3rd class,no,male,23
3rd class,yes,female,22
3rd class,no,male,18
3rd class,no,male,16
3rd class,no,male,45
3rd class,no,male,NA
3rd class,no,male,39
3rd class,no,male,17
3rd class,no,male,15
3rd class,no,male,47
3rd class,yes,female,5
3rd class,no,male,NA
3rd class,no,male,40.5
3rd class,no,male,40.5
3rd class,yes,male,NA
3rd class,no,male,18
3rd class,no,female,NA
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,26
3rd class,no,male,NA
3rd class,yes,male,NA
3rd class,no,female,21
3rd class,no,female,9
3rd class,no,male,NA
3rd class,no,male,18
3rd class,no,male,16
3rd class,no,female,48
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,25
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,22
3rd class,yes,female,16
3rd class,yes,female,NA
3rd class,yes,male,9
3rd class,no,male,33
3rd class,no,male,41
3rd class,yes,female,31
3rd class,no,male,38
3rd class,no,male,9
3rd class,no,male,1
3rd class,no,male,11
3rd class,no,female,10
3rd class,no,female,16
3rd class,no,male,14
3rd class,no,male,40
3rd class,no,female,43
3rd class,no,male,51
3rd class,no,male,32
3rd class,no,male,NA
3rd class,no,male,20
3rd class,no,male,37
3rd class,no,male,28
3rd class,no,male,19
3rd class,no,female,24
3rd class,no,female,17
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,28
3rd class,yes,female,24
3rd class,no,male,20
3rd class,no,male,23.5
3rd class,no,male,41
3rd class,no,male,26
3rd class,no,male,21
3rd class,yes,female,45
3rd class,no,female,NA
3rd class,no,male,25
3rd class,no,male,NA
3rd class,no,male,11
3rd class,yes,female,NA
3rd class,yes,male,27
3rd class,yes,male,NA
3rd class,no,female,18
3rd class,yes,female,26
3rd class,no,female,23
3rd class,yes,female,22
3rd class,no,male,28
3rd class,no,female,28
3rd class,no,female,NA
3rd class,yes,female,2
3rd class,yes,female,22
3rd class,no,male,43
3rd class,no,male,28
3rd class,yes,female,27
3rd class,no,male,NA
3rd class,yes,female,NA
3rd class,no,male,42
3rd class,yes,male,NA
3rd class,no,male,30
3rd class,no,male,NA
3rd class,no,female,27
3rd class,no,female,25
3rd class,no,male,NA
3rd class,yes,male,29
3rd class,yes,male,21
3rd class,no,male,NA
3rd class,no,male,20
3rd class,no,male,48
3rd class,no,male,17
3rd class,yes,female,NA
3rd class,yes,male,NA
3rd class,no,male,34
3rd class,yes,male,26
3rd class,no,male,22
3rd class,no,male,33
3rd class,no,male,31
3rd class,no,male,29
3rd class,yes,male,4
3rd class,yes,female,1
3rd class,no,male,49
3rd class,no,male,33
3rd class,no,male,19
3rd class,yes,female,27
3rd class,no,male,NA
3rd class,no,female,NA
3rd class,no,male,NA
3rd class,no,female,NA
3rd class,no,male,23
3rd class,yes,male,32
3rd class,no,male,27
3rd class,no,female,20
3rd class,no,female,21
3rd class,yes,male,32
3rd class,no,male,17
3rd class,no,male,21
3rd class,no,male,30
3rd class,yes,male,21
3rd class,no,male,33
3rd class,no,male,22
3rd class,yes,female,4
3rd class,yes,male,39
3rd class,no,male,NA
3rd class,no,male,18.5
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,yes,female,NA
3rd class,yes,female,NA
3rd class,no,male,34.5
3rd class,no,male,44
3rd class,yes,male,NA
3rd class,no,male,NA
3rd class,no,female,NA
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,female,22
3rd class,no,male,26
3rd class,yes,female,4
3rd class,yes,male,29
3rd class,yes,female,26
3rd class,no,female,1
3rd class,no,male,18
3rd class,no,female,36
3rd class,no,male,NA
3rd class,yes,male,25
3rd class,no,male,NA
3rd class,no,female,37
3rd class,no,male,NA
3rd class,yes,male,NA
3rd class,no,male,NA
3rd class,yes,female,22
3rd class,no,male,NA
3rd class,yes,male,26
3rd class,no,male,29
3rd class,no,male,29
3rd class,no,male,22
3rd class,yes,male,22
3rd class,no,male,NA
3rd class,no,female,NA
3rd class,no,female,NA
3rd class,no,female,NA
3rd class,no,female,NA
3rd class,no,male,32
3rd class,no,male,34.5
3rd class,no,female,NA
3rd class,no,male,NA
3rd class,no,male,36
3rd class,no,male,39
3rd class,no,male,24
3rd class,no,female,25
3rd class,no,female,45
3rd class,no,male,36
3rd class,no,female,30
3rd class,yes,male,20
3rd class,no,male,NA
3rd class,no,male,28
3rd class,no,male,NA
3rd class,no,male,30
3rd class,no,female,26
3rd class,no,male,NA
3rd class,no,male,20.5
3rd class,yes,male,27
3rd class,no,male,51
3rd class,yes,female,23
3rd class,yes,male,32
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,yes,female,NA
3rd class,yes,male,24
3rd class,no,male,22
3rd class,no,female,NA
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,29
3rd class,yes,male,NA
3rd class,no,female,30.5
3rd class,yes,female,NA
3rd class,no,male,NA
3rd class,no,male,35
3rd class,no,male,33
3rd class,yes,female,NA
3rd class,no,male,NA
3rd class,yes,female,NA
3rd class,yes,male,NA
3rd class,yes,female,NA
3rd class,yes,female,NA
3rd class,yes,male,NA
3rd class,yes,female,NA
3rd class,no,male,NA
3rd class,yes,female,NA
3rd class,yes,female,15
3rd class,no,female,35
3rd class,no,male,NA
3rd class,no,male,24
3rd class,no,female,19
3rd class,no,female,NA
3rd class,no,female,NA
3rd class,no,female,NA
3rd class,no,male,55.5
3rd class,no,male,NA
3rd class,yes,male,21
3rd class,no,male,NA
3rd class,no,male,24
3rd class,no,male,21
3rd class,no,male,28
3rd class,no,male,NA
3rd class,yes,female,NA
3rd class,no,male,25
3rd class,yes,male,6
3rd class,yes,female,27
3rd class,no,male,NA
3rd class,yes,female,NA
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,34
3rd class,no,male,NA
3rd class,yes,male,NA
3rd class,yes,male,NA
3rd class,yes,male,NA
3rd class,yes,female,NA
3rd class,yes,female,NA
3rd class,no,male,NA
3rd class,yes,female,NA
3rd class,yes,female,24
3rd class,no,male,NA
3rd class,yes,female,NA
3rd class,yes,female,NA
3rd class,yes,female,NA
3rd class,no,male,18
3rd class,no,male,22
3rd class,yes,female,15
3rd class,yes,female,1
3rd class,yes,male,20
3rd class,yes,female,19
3rd class,no,male,33
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,female,NA
3rd class,no,male,NA
3rd class,yes,male,12
3rd class,yes,female,14
3rd class,no,female,29
3rd class,no,male,28
3rd class,yes,female,18
3rd class,yes,female,26
3rd class,no,male,21
3rd class,no,male,41
3rd class,yes,male,39
3rd class,no,male,21
3rd class,no,male,28.5
3rd class,yes,female,22
3rd class,no,male,61
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,yes,female,NA
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,23
3rd class,no,female,NA
3rd class,yes,female,NA
3rd class,yes,female,NA
3rd class,yes,female,22
3rd class,yes,male,NA
3rd class,yes,female,NA
3rd class,yes,male,9
3rd class,no,male,28
3rd class,no,male,42
3rd class,no,male,NA
3rd class,no,female,31
3rd class,no,male,28
3rd class,yes,male,32
3rd class,no,male,20
3rd class,no,female,23
3rd class,no,female,20
3rd class,no,male,20
3rd class,no,male,16
3rd class,yes,female,31
3rd class,no,female,NA
3rd class,no,male,2
3rd class,no,male,6
3rd class,no,female,3
3rd class,no,female,8
3rd class,no,female,29
3rd class,no,male,1
3rd class,no,male,7
3rd class,no,male,2
3rd class,no,male,16
3rd class,no,male,14
3rd class,no,female,41
3rd class,no,male,21
3rd class,no,male,19
3rd class,no,male,NA
3rd class,no,male,32
3rd class,no,male,0.75
3rd class,no,female,3
3rd class,no,female,26
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,21
3rd class,no,male,25
3rd class,no,male,22
3rd class,yes,male,25
3rd class,yes,male,NA
3rd class,yes,female,NA
3rd class,yes,female,NA
3rd class,no,female,NA
3rd class,no,male,24
3rd class,no,female,28
3rd class,no,male,19
3rd class,no,male,NA
3rd class,no,male,25
3rd class,no,female,18
3rd class,yes,male,32
3rd class,no,male,NA
3rd class,no,male,17
3rd class,no,male,24
3rd class,no,male,NA
3rd class,no,female,NA
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,38
3rd class,no,male,21
3rd class,no,male,10
3rd class,no,male,4
3rd class,no,male,7
3rd class,no,male,2
3rd class,no,male,8
3rd class,no,female,39
3rd class,no,female,22
3rd class,no,male,35
3rd class,yes,female,NA
3rd class,no,male,NA
3rd class,no,female,NA
3rd class,no,male,50
3rd class,no,female,47
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,female,2
3rd class,no,male,18
3rd class,no,female,41
3rd class,yes,female,NA
3rd class,no,male,50
3rd class,no,male,16
3rd class,yes,male,NA
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,25
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,38.5
3rd class,no,male,NA
3rd class,no,male,14.5
3rd class,no,female,NA
3rd class,no,female,NA
3rd class,no,female,NA
3rd class,no,female,NA
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,female,NA
3rd class,no,male,24
3rd class,yes,female,21
3rd class,no,male,39
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,yes,female,1
3rd class,yes,female,24
3rd class,yes,female,4
3rd class,yes,male,25
3rd class,no,male,20
3rd class,no,male,24.5
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,yes,male,29
3rd class,no,male,NA
3rd class,yes,female,NA
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,22
3rd class,no,male,NA
3rd class,no,male,40
3rd class,no,male,21
3rd class,yes,female,18
3rd class,no,male,4
3rd class,no,male,10
3rd class,no,female,9
3rd class,no,female,2
3rd class,no,male,40
3rd class,no,female,45
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,no,male,NA
3rd class,yes,female,NA
3rd class,no,male,19
3rd class,no,male,30
3rd class,no,male,NA
3rd class,no,male,32
3rd class,no,male,NA
3rd class,no,male,33
3rd class,yes,female,23
3rd class,no,male,21
3rd class,no,male,60.5
