films,name,species,height,mass,hair_color,skin_color,eye_color,birth_year,sex,gender,homeworld
Revenge of the Sith,Yoda,Yoda's species,66,17,white,green,brown,896,male,masculine,NA
Return of the Jedi,Yoda,Yoda's species,66,17,white,green,brown,896,male,masculine,NA
The Empire Strikes Back,Palpatine,Human,170,75,grey,pale,yellow,82,male,masculine,Naboo
Attack of the Clones,Palpatine,Human,170,75,grey,pale,yellow,82,male,masculine,Naboo
The Phantom Menace,Palpatine,Human,170,75,grey,pale,yellow,82,male,masculine,Naboo
Revenge of the Sith,Palpatine,Human,170,75,grey,pale,yellow,82,male,masculine,Naboo
Return of the Jedi,Palpatine,Human,170,75,grey,pale,yellow,82,male,masculine,Naboo
The Empire Strikes Back,Boba Fett,Human,183,78.2,black,fair,brown,31.5,male,masculine,Kamino
Attack of the Clones,Boba Fett,Human,183,78.2,black,fair,brown,31.5,male,masculine,Kamino
Return of the Jedi,Boba Fett,Human,183,78.2,black,fair,brown,31.5,male,masculine,Kamino
The Empire Strikes Back,IG-88,Droid,200,140,none,metal,red,15,none,masculine,NA
The Empire Strikes Back,Bossk,Trandoshan,190,113,none,green,red,53,male,masculine,Trandosha
The Empire Strikes Back,Lando Calrissian,Human,177,79,black,dark,brown,31,male,masculine,Socorro
Return of the Jedi,Lando Calrissian,Human,177,79,black,dark,brown,31,male,masculine,Socorro
The Empire Strikes Back,Lobot,Human,175,79,none,light,blue,37,male,masculine,Bespin
Return of the Jedi,Ackbar,Mon Calamari,180,83,none,brown mottle,orange,41,male,masculine,Mon Cala
The Force Awakens,Ackbar,Mon Calamari,180,83,none,brown mottle,orange,41,male,masculine,Mon Cala
Return of the Jedi,Mon Mothma,Human,150,NA,auburn,fair,blue,48,female,feminine,Chandrila
Return of the Jedi,Arvel Crynyd,Human,NA,NA,brown,fair,brown,NA,male,masculine,NA
Return of the Jedi,Wicket Systri Warrick,Ewok,88,20,brown,brown,brown,8,male,masculine,Endor
Return of the Jedi,Nien Nunb,Sullustan,160,68,none,grey,black,NA,male,masculine,Sullust
The Phantom Menace,Qui-Gon Jinn,Human,193,89,brown,fair,blue,92,male,masculine,NA
Attack of the Clones,Nute Gunray,Neimodian,191,90,none,mottled green,red,NA,male,masculine,Cato Neimoidia
The Phantom Menace,Nute Gunray,Neimodian,191,90,none,mottled green,red,NA,male,masculine,Cato Neimoidia
Revenge of the Sith,Nute Gunray,Neimodian,191,90,none,mottled green,red,NA,male,masculine,Cato Neimoidia
The Phantom Menace,Finis Valorum,Human,170,NA,blond,fair,blue,91,male,masculine,Coruscant
Attack of the Clones,Jar Jar Binks,Gungan,196,66,none,orange,orange,52,male,masculine,Naboo
The Phantom Menace,Jar Jar Binks,Gungan,196,66,none,orange,orange,52,male,masculine,Naboo
The Phantom Menace,Roos Tarpals,Gungan,224,82,none,grey,orange,NA,male,masculine,Naboo
The Phantom Menace,Rugor Nass,Gungan,206,NA,none,green,orange,NA,male,masculine,Naboo
The Phantom Menace,Ric Olié,NA,183,NA,brown,fair,blue,NA,NA,NA,Naboo
Attack of the Clones,Watto,Toydarian,137,NA,black,"blue, grey",yellow,NA,male,masculine,Toydaria
The Phantom Menace,Watto,Toydarian,137,NA,black,"blue, grey",yellow,NA,male,masculine,Toydaria
The Phantom Menace,Sebulba,Dug,112,40,none,"grey, red",orange,NA,male,masculine,Malastare
The Phantom Menace,Quarsh Panaka,NA,183,NA,black,dark,brown,62,NA,NA,Naboo
Attack of the Clones,Shmi Skywalker,Human,163,NA,black,fair,brown,72,female,feminine,Tatooine
The Phantom Menace,Shmi Skywalker,Human,163,NA,black,fair,brown,72,female,feminine,Tatooine
The Phantom Menace,Darth Maul,Zabrak,175,80,none,red,yellow,54,male,masculine,Dathomir
Return of the Jedi,Bib Fortuna,Twi'lek,180,NA,none,pale,pink,NA,male,masculine,Ryloth
Attack of the Clones,Ayla Secura,Twi'lek,178,55,none,blue,hazel,48,female,feminine,Ryloth
The Phantom Menace,Ayla Secura,Twi'lek,178,55,none,blue,hazel,48,female,feminine,Ryloth
Revenge of the Sith,Ayla Secura,Twi'lek,178,55,none,blue,hazel,48,female,feminine,Ryloth
The Phantom Menace,Dud Bolt,Vulptereen,94,45,none,"blue, grey",yellow,NA,male,masculine,Vulpter
The Phantom Menace,Gasgano,Xexto,122,NA,none,"white, blue",black,NA,male,masculine,Troiken
The Phantom Menace,Ben Quadinaros,Toong,163,65,none,"grey, green, yellow",orange,NA,male,masculine,Tund
Attack of the Clones,Mace Windu,Human,188,84,none,dark,brown,72,male,masculine,Haruun Kal
The Phantom Menace,Mace Windu,Human,188,84,none,dark,brown,72,male,masculine,Haruun Kal
Revenge of the Sith,Mace Windu,Human,188,84,none,dark,brown,72,male,masculine,Haruun Kal
Attack of the Clones,Ki-Adi-Mundi,Cerean,198,82,white,pale,yellow,92,male,masculine,Cerea
The Phantom Menace,Ki-Adi-Mundi,Cerean,198,82,white,pale,yellow,92,male,masculine,Cerea
Revenge of the Sith,Ki-Adi-Mundi,Cerean,198,82,white,pale,yellow,92,male,masculine,Cerea
Attack of the Clones,Kit Fisto,Nautolan,196,87,none,green,black,NA,male,masculine,Glee Anselm
The Phantom Menace,Kit Fisto,Nautolan,196,87,none,green,black,NA,male,masculine,Glee Anselm
Revenge of the Sith,Kit Fisto,Nautolan,196,87,none,green,black,NA,male,masculine,Glee Anselm
The Phantom Menace,Eeth Koth,Zabrak,171,NA,black,brown,brown,NA,male,masculine,Iridonia
Revenge of the Sith,Eeth Koth,Zabrak,171,NA,black,brown,brown,NA,male,masculine,Iridonia
The Phantom Menace,Adi Gallia,Tholothian,184,50,none,dark,blue,NA,female,feminine,Coruscant
Revenge of the Sith,Adi Gallia,Tholothian,184,50,none,dark,blue,NA,female,feminine,Coruscant
The Phantom Menace,Saesee Tiin,Iktotchi,188,NA,none,pale,orange,NA,male,masculine,Iktotch
Revenge of the Sith,Saesee Tiin,Iktotchi,188,NA,none,pale,orange,NA,male,masculine,Iktotch
The Phantom Menace,Yarael Poof,Quermian,264,NA,none,white,yellow,NA,male,masculine,Quermia
Attack of the Clones,Plo Koon,Kel Dor,188,80,none,orange,black,22,male,masculine,Dorin
The Phantom Menace,Plo Koon,Kel Dor,188,80,none,orange,black,22,male,masculine,Dorin
Revenge of the Sith,Plo Koon,Kel Dor,188,80,none,orange,black,22,male,masculine,Dorin
Attack of the Clones,Mas Amedda,Chagrian,196,NA,none,blue,blue,NA,male,masculine,Champala
The Phantom Menace,Mas Amedda,Chagrian,196,NA,none,blue,blue,NA,male,masculine,Champala
Attack of the Clones,Gregar Typho,Human,185,85,black,dark,brown,NA,male,masculine,Naboo
Attack of the Clones,Cordé,Human,157,NA,brown,light,brown,NA,female,feminine,Naboo
Attack of the Clones,Cliegg Lars,Human,183,NA,brown,fair,blue,82,male,masculine,Tatooine
Attack of the Clones,Poggle the Lesser,Geonosian,183,80,none,green,yellow,NA,male,masculine,Geonosis
Revenge of the Sith,Poggle the Lesser,Geonosian,183,80,none,green,yellow,NA,male,masculine,Geonosis
Attack of the Clones,Luminara Unduli,Mirialan,170,56.2,black,yellow,blue,58,female,feminine,Mirial
Revenge of the Sith,Luminara Unduli,Mirialan,170,56.2,black,yellow,blue,58,female,feminine,Mirial
Attack of the Clones,Barriss Offee,Mirialan,166,50,black,yellow,blue,40,female,feminine,Mirial
Attack of the Clones,Dormé,Human,165,NA,brown,light,brown,NA,female,feminine,Naboo
Attack of the Clones,Dooku,Human,193,80,white,fair,brown,102,male,masculine,Serenno
Revenge of the Sith,Dooku,Human,193,80,white,fair,brown,102,male,masculine,Serenno
Attack of the Clones,Bail Prestor Organa,Human,191,NA,black,tan,brown,67,male,masculine,Alderaan
Revenge of the Sith,Bail Prestor Organa,Human,191,NA,black,tan,brown,67,male,masculine,Alderaan
Attack of the Clones,Jango Fett,Human,183,79,black,tan,brown,66,male,masculine,Concord Dawn
Attack of the Clones,Zam Wesell,Clawdite,168,55,blonde,"fair, green, yellow",yellow,NA,female,feminine,Zolan
Attack of the Clones,Dexter Jettster,Besalisk,198,102,none,brown,yellow,NA,male,masculine,Ojom
Attack of the Clones,Lama Su,Kaminoan,229,88,none,grey,black,NA,male,masculine,Kamino
Attack of the Clones,Taun We,Kaminoan,213,NA,none,grey,black,NA,female,feminine,Kamino
Attack of the Clones,Jocasta Nu,Human,167,NA,white,fair,blue,NA,female,feminine,Coruscant
The Phantom Menace,Ratts Tyerell,Aleena,79,15,none,"grey, blue",unknown,NA,male,masculine,Aleen Minor
Attack of the Clones,R4-P17,Droid,96,NA,none,"silver, red","red, blue",NA,none,feminine,NA
Revenge of the Sith,R4-P17,Droid,96,NA,none,"silver, red","red, blue",NA,none,feminine,NA
Attack of the Clones,Wat Tambor,Skakoan,193,48,none,"green, grey",unknown,NA,male,masculine,Skako
Attack of the Clones,San Hill,Muun,191,NA,none,grey,gold,NA,male,masculine,Muunilinst
Attack of the Clones,Shaak Ti,Togruta,178,57,none,"red, blue, white",black,NA,female,feminine,Shili
Revenge of the Sith,Shaak Ti,Togruta,178,57,none,"red, blue, white",black,NA,female,feminine,Shili
Revenge of the Sith,Grievous,Kaleesh,216,159,none,"brown, white","green, yellow",NA,male,masculine,Kalee
Revenge of the Sith,Tarfful,Wookiee,234,136,brown,brown,blue,NA,male,masculine,Kashyyyk
Revenge of the Sith,Raymus Antilles,Human,188,79,brown,light,brown,NA,male,masculine,Alderaan
A New Hope,Raymus Antilles,Human,188,79,brown,light,brown,NA,male,masculine,Alderaan
Attack of the Clones,Sly Moore,NA,178,48,none,pale,white,NA,NA,NA,Umbara
Revenge of the Sith,Sly Moore,NA,178,48,none,pale,white,NA,NA,NA,Umbara
Revenge of the Sith,Tion Medon,Pau'an,206,80,none,grey,black,NA,male,masculine,Utapau
The Force Awakens,Finn,Human,NA,NA,black,dark,dark,NA,male,masculine,NA
The Force Awakens,Rey,Human,NA,NA,brown,light,hazel,NA,female,feminine,NA
The Force Awakens,Poe Dameron,Human,NA,NA,brown,light,brown,NA,male,masculine,NA
The Force Awakens,BB8,Droid,NA,NA,none,none,black,NA,none,masculine,NA
The Force Awakens,Captain Phasma,NA,NA,NA,unknown,unknown,unknown,NA,NA,NA,NA
Attack of the Clones,Padmé Amidala,Human,165,45,brown,light,brown,46,female,feminine,Naboo
The Phantom Menace,Padmé Amidala,Human,165,45,brown,light,brown,46,female,feminine,Naboo
Revenge of the Sith,Padmé Amidala,Human,165,45,brown,light,brown,46,female,feminine,Naboo
