id,name,state,census_region,pop_dens,pct_aa,pop,female,caucasian,african_american,travel_time,land_area,hh_income,fips,votes_dem_2016,votes_gop_2016,total_votes_2016,partywinner12
1041,Crenshaw County,AL,South,"[ 17,   45)","[15.0,25.0)",13977,51.5,71.9,24.1,30.3,608.84,36275,1041,1663,4511,6252,Republican
1043,Cullman County,AL,South,"[ 45,  118)","[ 0.0, 2.0)",81289,50.4,96.2,1.4,26.4,734.84,38847,1043,3730,32734,37278,Republican
1045,Dale County,AL,South,"[ 45,  118)","[15.0,25.0)",49484,50.5,75.3,19.6,20.9,561.15,44889,1045,4408,13798,18617,Republican
1047,Dallas County,AL,South,"[ 17,   45)","[50.0,85.3]",41711,53.5,29,69.6,22,978.7,26519,1047,12826,5784,18730,Democrat
1049,DeKalb County,AL,South,"[ 45,  118)","[ 2.0, 5.0)",71065,50.7,92.4,2,23.3,777.09,37851,1049,3682,21779,26086,Republican
1051,Elmore County,AL,South,"[118,71672]","[15.0,25.0)",80977,51.4,76.2,21.1,28.2,618.49,54766,1051,8436,27619,36905,Republican
1053,Escambia County,AL,South,"[ 17,   45)","[25.0,50.0)",37733,48.5,62.4,32.2,23.5,945.08,30687,1053,4698,10282,15213,Republican
1055,Etowah County,AL,South,"[118,71672]","[15.0,25.0)",103531,51.5,81.3,15.5,23.9,534.99,38013,1055,10350,32132,43474,Republican
1057,Fayette County,AL,South,"[ 17,   45)","[10.0,15.0)",16874,50.4,86.4,11.8,27.5,627.66,33838,1057,1358,6705,8196,Republican
1059,Franklin County,AL,South,"[ 45,  118)","[ 2.0, 5.0)",31601,50.1,92.3,4.3,26.2,633.82,36415,1059,2197,9466,11955,Republican
1061,Geneva County,AL,South,"[ 45,  118)","[ 5.0,10.0)",26712,51,87.2,9.8,25.6,574.41,35625,1061,1522,9967,11659,Republican
1063,Greene County,AL,South,"[  0,   17)","[50.0,85.3]",8553,52.3,18.7,80.2,28,647.11,24226,1063,4006,838,4862,Democrat
1065,Hale County,AL,South,"[ 17,   45)","[50.0,85.3]",15184,52.5,41,57.9,27.1,643.94,30051,1065,4772,3172,8010,Democrat
1067,Henry County,AL,South,"[ 17,   45)","[25.0,50.0)",17190,51.8,70.1,27.5,26,561.75,41650,1067,2286,5623,8017,Republican
1069,Houston County,AL,South,"[118,71672]","[25.0,50.0)",104193,52,70.4,26.4,20.8,579.82,40948,1069,10547,30567,42030,Republican
1071,Jackson County,AL,South,"[ 45,  118)","[ 2.0, 5.0)",52665,50.7,91.8,3.4,26.4,1077.87,37634,1071,3663,16643,20785,Republican
1073,Jefferson County,AL,South,"[118,71672]","[25.0,50.0)",660793,52.7,54.2,42.8,23.4,1111.28,45429,1073,151581,130614,290111,Democrat
1075,Lamar County,AL,South,"[ 17,   45)","[10.0,15.0)",14086,51.2,87,11.4,25.7,604.85,36028,1075,1035,5819,6931,Republican
1077,Lauderdale County,AL,South,"[118,71672]","[10.0,15.0)",93096,52.1,87,10.2,24.5,667.7,42844,1077,9877,27735,38813,Republican
1079,Lawrence County,AL,South,"[ 45,  118)","[10.0,15.0)",33477,51.4,78.1,11.4,27.8,690.68,38551,1079,3611,10732,14623,Republican
1081,Lee County,AL,South,"[118,71672]","[15.0,25.0)",154255,50.5,71.4,23.5,21.4,607.54,43542,1081,20987,34321,57668,Republican
1083,Limestone County,AL,South,"[118,71672]","[10.0,15.0)",90787,49.6,82.4,13.2,26.3,559.94,48619,1083,9340,28824,39400,Republican
1085,Lowndes County,AL,South,"[  0,   17)","[50.0,85.3]",10580,52.4,25.6,73.1,30.4,715.91,26230,1085,4882,1751,6676,Democrat
1087,Macon County,AL,South,"[ 17,   45)","[50.0,85.3]",19425,53.9,16.7,81.5,23.1,608.89,30724,1087,7237,1394,8748,Democrat
1089,Madison County,AL,South,"[118,71672]","[15.0,25.0)",350299,51.1,69.6,24.5,21,801.59,58434,1089,62435,89199,159473,Republican
1091,Marengo County,AL,South,"[ 17,   45)","[50.0,85.3]",20110,52.9,47.4,51.1,22.4,976.88,35079,1091,5607,5224,10948,Democrat
1093,Marion County,AL,South,"[ 17,   45)","[ 2.0, 5.0)",30271,50.4,94,4.2,24,742.29,32888,1093,1432,11273,12912,Republican
1095,Marshall County,AL,South,"[118,71672]","[ 2.0, 5.0)",94636,50.9,94,2.3,23.9,565.84,39526,1095,4913,29217,34965,Republican
1097,Mobile County,AL,South,"[118,71672]","[25.0,50.0)",415123,52.1,60.3,35.3,23.9,1229.44,43028,1097,68429,91087,163387,Republican
1099,Monroe County,AL,South,"[ 17,   45)","[25.0,50.0)",21947,52.3,55.4,41.3,23.3,1025.68,29203,1099,4310,5771,10185,Republican
1101,Montgomery County,AL,South,"[118,71672]","[50.0,85.3]",226189,52.5,39.5,56.3,19.3,784.25,44790,1101,58669,33928,94572,Democrat
1103,Morgan County,AL,South,"[118,71672]","[10.0,15.0)",119607,50.8,83.8,12.4,23.7,579.34,44800,1103,11216,37392,49991,Republican
1105,Perry County,AL,South,"[  0,   17)","[50.0,85.3]",9826,53.2,31.2,67.6,26.8,719.66,28209,1105,3823,1403,5255,Democrat
1107,Pickens County,AL,South,"[ 17,   45)","[25.0,50.0)",20365,52,57.3,40.9,29.3,881.41,28741,1107,3972,5454,9494,Republican
1109,Pike County,AL,South,"[ 45,  118)","[25.0,50.0)",33389,51.9,58.8,36.8,18.7,672.09,33090,1109,5039,7681,13025,Republican
1111,Randolph County,AL,South,"[ 17,   45)","[15.0,25.0)",22539,51.5,77.7,20.1,26.8,580.55,35213,1111,2290,7697,10130,Republican
1113,Russell County,AL,South,"[ 45,  118)","[25.0,50.0)",59608,51,53.8,42.3,23.6,641.14,36143,1113,9577,9210,19136,Democrat
1115,St. Clair County,AL,South,"[118,71672]","[ 5.0,10.0)",86697,50.1,88.1,9.3,30,631.9,50786,1115,5550,31579,37937,Republican
1117,Shelby County,AL,South,"[118,71672]","[10.0,15.0)",206655,51.2,84.4,11.8,29,784.93,68770,1117,22927,72846,99208,Republican
1119,Sumter County,AL,South,"[  0,   17)","[50.0,85.3]",13166,54.7,25.5,73.5,23.4,903.89,22186,1119,4739,1581,6391,Democrat
1121,Talladega County,AL,South,"[ 45,  118)","[25.0,50.0)",81322,51.3,65.5,32.3,23.9,736.78,35439,1121,12108,20596,33218,Republican
1123,Tallapoosa County,AL,South,"[ 45,  118)","[25.0,50.0)",41165,51.5,70.9,27.1,23.9,716.52,39130,1123,5271,12967,18504,Republican
1125,Tuscaloosa County,AL,South,"[118,71672]","[25.0,50.0)",202212,51.6,66.5,30.7,21.8,1321.76,45408,1125,31746,47701,81708,Republican
1127,Walker County,AL,South,"[ 45,  118)","[ 5.0,10.0)",65471,51.4,91.6,6.2,29.3,791.19,37566,1127,4486,24208,29243,Republican
1129,Washington County,AL,South,"[  0,   17)","[15.0,25.0)",16834,51.2,66.3,24.5,31.8,1080.21,42156,1129,2366,6031,8492,Republican
1131,Wilcox County,AL,South,"[  0,   17)","[50.0,85.3]",11098,52.3,27.9,71.2,21.6,888.5,23642,1131,4329,1737,6095,Democrat
1133,Winston County,AL,South,"[ 17,   45)","[ 0.0, 2.0)",24150,51,96.5,0.9,27,612.98,32900,1133,871,9225,10255,Republican
2013,Aleutians East Borough,AK,West,"[  0,   17)","[ 5.0,10.0)",3360,32.6,24.7,7.7,4.8,6981.94,61250,2013,93003,130413,246588,Republican
2016,Aleutians West Census Area,AK,West,"[  0,   17)","[ 5.0,10.0)",5750,32.3,40.5,7.4,6.4,4390.28,81853,2016,93003,130413,246588,Republican
2020,Anchorage Municipality,AK,West,"[118,71672]","[ 5.0,10.0)",301010,48.6,66.6,6.3,19.4,1704.68,77454,2020,93003,130413,246588,Republican
2050,Bethel Census Area,AK,West,"[  0,   17)","[ 0.0, 2.0)",17868,48.3,12.1,0.7,7.4,40570,51689,2050,93003,130413,246588,Republican
2060,Bristol Bay Borough,AK,West,"[  0,   17)","[ 0.0, 2.0)",957,44.6,47.3,0,10.2,503.84,79531,2060,93003,130413,246588,Republican
2068,Denali Borough,AK,West,"[  0,   17)","[ 0.0, 2.0)",1921,45.3,89,1.3,15.2,12751.41,72500,2068,93003,130413,246588,Republican
2070,Dillingham Census Area,AK,West,"[  0,   17)","[ 0.0, 2.0)",4988,48.1,18.4,0.4,8.7,18568.78,54150,2070,93003,130413,246588,Republican
2090,Fairbanks North Star Borough,AK,West,"[  0,   17)","[ 5.0,10.0)",99357,46.2,77.7,5.5,19.2,7338.21,69223,2090,93003,130413,246588,Republican
2100,Haines Borough,AK,West,"[  0,   17)","[ 0.0, 2.0)",2566,49.8,81.3,0.5,11.7,2318.6,52866,2100,93003,130413,246588,Republican
2105,Hoonah-Angoon Census Area,AK,West,"[  0,   17)","[ 0.0, 2.0)",2082,46.9,49.4,0.6,9.7,7524.92,49545,2105,93003,130413,246588,Republican
2110,Juneau City and Borough,AK,West,"[  0,   17)","[ 0.0, 2.0)",32406,48.9,70.3,1.5,15.1,2701.93,81490,2110,93003,130413,246588,Republican
2122,Kenai Peninsula Borough,AK,West,"[  0,   17)","[ 0.0, 2.0)",57477,47.6,84.6,0.9,19.1,16075.33,61793,2122,93003,130413,246588,Republican
2130,Ketchikan Gateway Borough,AK,West,"[  0,   17)","[ 0.0, 2.0)",13787,47.9,68.3,0.9,13.7,4858.41,62519,2130,93003,130413,246588,Republican
2150,Kodiak Island Borough,AK,West,"[  0,   17)","[ 0.0, 2.0)",13986,46.1,57.6,1.3,11.1,6549.58,68718,2150,93003,130413,246588,Republican
2164,Lake and Peninsula Borough,AK,West,"[  0,   17)","[ 0.0, 2.0)",1631,46.8,24.6,0.8,6.4,23652.01,51786,2164,93003,130413,246588,Republican
2170,Matanuska-Susitna Borough,AK,West,"[  0,   17)","[ 0.0, 2.0)",97882,48,84.5,1.3,32.8,24607.9,71037,2170,93003,130413,246588,Republican
2180,Nome Census Area,AK,West,"[  0,   17)","[ 0.0, 2.0)",9817,47.3,17.9,0.7,6.7,22961.76,49974,2180,93003,130413,246588,Republican
2185,North Slope Borough,AK,West,"[  0,   17)","[ 0.0, 2.0)",9703,37.9,34.1,1.1,8.9,88695.41,80761,2185,93003,130413,246588,Republican
2188,Northwest Arctic Borough,AK,West,"[  0,   17)","[ 0.0, 2.0)",7717,46,13.2,0.7,7.6,35572.58,61607,2188,93003,130413,246588,Republican
2195,Petersburg Borough,AK,West,"[  0,   17)","[ 0.0, 2.0)",3160,48.2,71.5,0.7,7.7,3281.98,63934,2195,93003,130413,246588,Republican
2198,Prince of Wales-Hyder Census Area,AK,West,"[  0,   17)","[ 0.0, 2.0)",6396,45.2,49.5,0.4,14.6,3922.87,46071,2198,93003,130413,246588,Republican
2220,Sitka City and Borough,AK,West,"[  0,   17)","[ 0.0, 2.0)",8900,49.3,67,1,12.3,2870.34,69405,2220,93003,130413,246588,Republican
2230,Skagway Municipality,AK,West,"[  0,   17)","[ 0.0, 2.0)",1036,47.2,90.3,0.3,4.4,452.33,71667,2230,93003,130413,246588,Republican
2240,Southeast Fairbanks Census Area,AK,West,"[  0,   17)","[ 0.0, 2.0)",6931,44.3,80.2,1.5,12.2,24768.81,56801,2240,93003,130413,246588,Republican
2261,Valdez-Cordova Census Area,AK,West,"[  0,   17)","[ 0.0, 2.0)",9488,46.9,73.8,0.9,12.2,34239.88,74878,2261,93003,130413,246588,Republican
2270,Wade Hampton Census Area,AK,West,"[  0,   17)","[ 0.0, 2.0)",8010,47.3,4.9,0.2,6,17081.43,40176,2270,93003,130413,246588,Republican
2275,Wrangell City and Borough,AK,West,"[  0,   17)","[ 0.0, 2.0)",2364,48.5,72.4,0.4,9.5,2541.48,45841,2275,93003,130413,246588,Republican
2282,Yakutat City and Borough,AK,West,"[  0,   17)","[ 0.0, 2.0)",635,43.8,39.6,0.9,5.4,7649.46,72500,2282,93003,130413,246588,Republican
2290,Yukon-Koyukuk Census Area,AK,West,"[  0,   17)","[ 0.0, 2.0)",5547,46,22.9,0.4,8.3,145504.79,34710,2290,93003,130413,246588,Republican
4001,Apache County,AZ,West,"[  0,   17)","[ 0.0, 2.0)",71828,50.5,23.6,0.7,30,11197.52,31476,4001,12196,5315,18659,Democrat
4003,Cochise County,AZ,West,"[ 17,   45)","[ 2.0, 5.0)",127448,48.9,87.9,4.7,18.9,6165.69,45755,4003,15291,25036,43147,Republican
4005,Coconino County,AZ,West,"[  0,   17)","[ 0.0, 2.0)",137682,50.6,66.4,1.6,18.7,18618.89,49555,4005,25308,16573,44929,Democrat
4007,Gila County,AZ,West,"[  0,   17)","[ 0.0, 2.0)",53119,50.4,80.6,0.8,20.8,4757.93,39954,4007,6746,13672,21398,Republican
4009,Graham County,AZ,West,"[  0,   17)","[ 2.0, 5.0)",37957,46.8,81.5,2,22.2,4622.6,44943,4009,3301,8025,11939,Republican
4011,Greenlee County,AZ,West,"[  0,   17)","[ 0.0, 2.0)",9346,47.5,91.9,1.5,17.5,1843.13,47992,4011,1092,1892,3243,Republican
4012,La Paz County,AZ,West,"[  0,   17)","[ 0.0, 2.0)",20231,48.9,77.6,1,12.4,4499.63,35776,4012,1318,3381,4931,Republican
4013,Maricopa County,AZ,West,"[118,71672]","[ 5.0,10.0)",4087191,50.5,84.7,5.7,25.4,9200.14,53596,4013,549040,590465,1201934,Republican
4015,Mohave County,AZ,West,"[  0,   17)","[ 0.0, 2.0)",203361,49.7,92.2,1.3,18.9,13311.08,39200,4015,16485,54656,74189,Republican
4017,Navajo County,AZ,West,"[  0,   17)","[ 0.0, 2.0)",108101,49.9,51.3,1.2,22.3,9950.42,36927,4017,15362,18165,35409,Republican
4019,Pima County,AZ,West,"[ 45,  118)","[ 2.0, 5.0)",1004516,50.8,85.8,4,24,9187.04,45841,4019,195649,147019,360762,Democrat
4021,Pinal County,AZ,West,"[ 45,  118)","[ 2.0, 5.0)",401918,47.8,83.3,4.8,31.1,5365.61,50027,4021,35737,53857,93805,Republican
4023,Santa Cruz County,AZ,West,"[ 17,   45)","[ 0.0, 2.0)",46695,51.9,96.3,0.8,19.8,1236.92,37745,4023,10684,3650,14926,Democrat
4025,Yavapai County,AZ,West,"[ 17,   45)","[ 0.0, 2.0)",218844,51.2,93.8,0.8,22.2,8123.5,42987,4025,29705,58862,92780,Republican
4027,Yuma County,AZ,West,"[ 17,   45)","[ 2.0, 5.0)",203247,48.9,91.3,2.7,18.8,5513.99,41595,4027,18336,20586,40759,Republican
5001,Arkansas County,AR,South,"[ 17,   45)","[15.0,25.0)",18594,51.6,72.5,24.8,15.5,988.77,39633,5001,1939,3825,6167,Republican
5003,Ashley County,AR,South,"[ 17,   45)","[25.0,50.0)",20948,51.6,71.9,25.8,18.5,925.35,35683,5003,2408,5338,8027,Republican
5005,Baxter County,AR,South,"[ 45,  118)","[ 0.0, 2.0)",40857,51.9,97,0.3,17.1,554.28,35343,5005,4163,14655,19572,Republican
5007,Benton County,AR,South,"[118,71672]","[ 0.0, 2.0)",242321,50.5,90.2,1.9,20.1,847.36,54515,5007,27894,60751,94262,Republican
5009,Boone County,AR,South,"[ 45,  118)","[ 0.0, 2.0)",37196,50.7,96.5,0.4,19.7,590.23,38506,5009,2925,12225,15912,Republican
5011,Bradley County,AR,South,"[ 17,   45)","[25.0,50.0)",11148,51.2,68.4,27.4,20.1,649.23,30409,5011,1317,2163,3617,Republican
5013,Calhoun County,AR,South,"[  0,   17)","[15.0,25.0)",5202,48.9,76.2,21.5,24.9,628.58,30980,5013,636,1554,2250,Republican
5015,Carroll County,AR,South,"[ 17,   45)","[ 0.0, 2.0)",27744,50.8,94.8,0.7,19.1,630.09,36584,5015,3334,6773,10656,Republican
5017,Chicot County,AR,South,"[ 17,   45)","[50.0,85.3]",11180,50.8,43.5,54.7,21.4,644.3,26201,5017,2350,1716,4149,Democrat
5019,Clark County,AR,South,"[ 17,   45)","[15.0,25.0)",22576,52.3,73.4,23.9,19.9,866.07,32721,5019,3606,4398,8365,Republican
5021,Clay County,AR,South,"[ 17,   45)","[ 0.0, 2.0)",15118,50.9,97.6,0.6,22.8,639.47,31502,5021,1999,3779,5978,Republican
5023,Cleburne County,AR,South,"[ 45,  118)","[ 0.0, 2.0)",25634,50.7,97.1,0.5,24.9,553.69,40246,5023,2101,9454,11968,Republican
5025,Cleveland County,AR,South,"[  0,   17)","[10.0,15.0)",8449,51.2,86.5,11.9,27.4,597.78,39420,5025,723,2460,3299,Republican
5027,Columbia County,AR,South,"[ 17,   45)","[25.0,50.0)",23933,52.2,61.2,36.3,16.6,766.05,35128,5027,3140,5456,8837,Republican
5029,Conway County,AR,South,"[ 17,   45)","[10.0,15.0)",21083,51,85.1,11.4,22.2,552.25,35225,5029,2655,4844,7837,Republican
5031,Craighead County,AR,South,"[118,71672]","[10.0,15.0)",102518,51.2,82.7,14,17.5,707.21,41393,5031,10474,22798,34968,Republican
5033,Crawford County,AR,South,"[ 45,  118)","[ 0.0, 2.0)",61697,50.8,91.6,1.5,22,593.09,39479,5033,4476,16655,22155,Republican
5035,Crittenden County,AR,South,"[ 45,  118)","[50.0,85.3]",49548,52.7,46.3,51.5,20.2,609.76,37751,5035,8368,6953,15798,Democrat
5037,Cross County,AR,South,"[ 17,   45)","[15.0,25.0)",17227,51.6,75.1,22.8,23.8,616.38,38085,5037,1995,4577,6831,Republican
5039,Dallas County,AR,South,"[  0,   17)","[25.0,50.0)",7755,51.5,55.9,42.2,20.2,667.39,28931,5039,1165,1507,2741,Republican
5041,Desha County,AR,South,"[  0,   17)","[25.0,50.0)",12264,53.2,50.1,48.1,21.5,768.15,28680,5041,2227,1915,4226,Democrat
5043,Drew County,AR,South,"[ 17,   45)","[25.0,50.0)",18622,51.3,69.6,28.1,20.8,828.36,31171,5043,2364,3967,6552,Republican
5045,Faulkner County,AR,South,"[118,71672]","[10.0,15.0)",120768,51,85,11.2,24.2,647.88,50314,5045,14525,29170,46364,Republican
5047,Franklin County,AR,South,"[ 17,   45)","[ 0.0, 2.0)",17805,50.7,95.2,0.9,25,608.86,36766,5047,1376,5034,6698,Republican
5049,Fulton County,AR,South,"[ 17,   45)","[ 0.0, 2.0)",12125,50.7,97,0.5,25.5,618.19,35522,5049,1067,3470,4744,Republican
5051,Garland County,AR,South,"[118,71672]","[ 5.0,10.0)",97322,51.7,87.7,8.5,21.7,677.78,39162,5051,12283,26053,40337,Republican
5053,Grant County,AR,South,"[ 17,   45)","[ 2.0, 5.0)",18144,50.4,94.9,2.7,29.9,631.81,49004,5053,1407,5160,6855,Republican
5055,Greene County,AR,South,"[ 45,  118)","[ 0.0, 2.0)",43694,50.8,97.1,0.7,20.4,577.7,38413,5055,3056,10698,14422,Republican
5057,Hempstead County,AR,South,"[ 17,   45)","[25.0,50.0)",22327,51.6,67.2,29.7,19.7,727.52,32056,5057,2371,4391,6984,Republican
5059,Hot Spring County,AR,South,"[ 45,  118)","[10.0,15.0)",33368,48,85.8,11.5,27.7,615.2,41193,5059,3137,8153,11815,Republican
5061,Howard County,AR,South,"[ 17,   45)","[15.0,25.0)",13500,51.1,75.6,21.2,18.7,588.55,35879,5061,1350,3155,4634,Republican
5063,Independence County,AR,South,"[ 45,  118)","[ 2.0, 5.0)",36959,51.2,94.4,2.2,19.7,763.95,35026,5063,2878,9925,13443,Republican
5065,Izard County,AR,South,"[ 17,   45)","[ 0.0, 2.0)",13486,48.4,95.8,1.5,23.4,580.58,30661,5065,1111,4042,5396,Republican
5067,Jackson County,AR,South,"[ 17,   45)","[15.0,25.0)",17534,50.4,79.9,17.4,19.1,633.94,30284,5067,1583,3262,5093,Republican
5069,Jefferson County,AR,South,"[ 45,  118)","[50.0,85.3]",72297,51,41.8,55.6,21.3,870.75,37140,5069,15721,9231,25683,Democrat
5071,Johnson County,AR,South,"[ 17,   45)","[ 2.0, 5.0)",26005,50.4,93.7,2.1,20.5,659.8,31003,5071,2421,6072,8997,Republican
5073,Lafayette County,AR,South,"[  0,   17)","[25.0,50.0)",7111,51.5,61.2,37.1,24.9,528.27,29732,5073,1028,1750,2835,Republican
5075,Lawrence County,AR,South,"[ 17,   45)","[ 0.0, 2.0)",16931,50.9,97.3,0.9,25.1,587.61,32239,5075,1263,4064,5629,Republican
5077,Lee County,AR,South,"[  0,   17)","[50.0,85.3]",9860,44.3,43.1,54.4,20.4,602.62,25034,5077,1735,1229,3004,Democrat
5079,Lincoln County,AR,South,"[ 17,   45)","[25.0,50.0)",13970,39,67.9,30.1,26.2,561.52,32697,5079,1252,2455,3814,Republican
5081,Little River County,AR,South,"[ 17,   45)","[15.0,25.0)",12532,51,76,19.8,23.4,532.25,39673,5081,1397,3604,5192,Republican
5083,Logan County,AR,South,"[ 17,   45)","[ 0.0, 2.0)",21958,50.4,93.7,1.6,26,708.13,34996,5083,1712,5737,7839,Republican
5085,Lonoke County,AR,South,"[ 45,  118)","[ 5.0,10.0)",71557,50.7,90.6,6.1,25.6,770.73,52582,5085,5638,19902,26766,Republican
5087,Madison County,AR,South,"[ 17,   45)","[ 0.0, 2.0)",15740,49.9,95.5,0.4,29.6,834.26,35771,5087,1587,4917,6782,Republican
5089,Marion County,AR,South,"[ 17,   45)","[ 0.0, 2.0)",16367,50.1,96.7,0.4,24.1,597.01,34494,5089,1377,5077,6718,Republican
5091,Miller County,AR,South,"[ 45,  118)","[15.0,25.0)",43428,50.8,72.2,24.6,20.2,625.58,41319,5091,4273,11293,16015,Republican
5093,Mississippi County,AR,South,"[ 45,  118)","[25.0,50.0)",44235,51.3,63.1,34.5,18.2,900.57,36428,5093,5621,6988,12995,Republican
5095,Monroe County,AR,South,"[  0,   17)","[25.0,50.0)",7582,52.5,57.1,40.1,19.5,607.12,27263,5095,1298,1400,2766,Republican
5097,Montgomery County,AR,South,"[  0,   17)","[ 0.0, 2.0)",9082,50,95.3,0.6,25.9,779.88,31345,5097,735,2573,3445,Republican
5099,Nevada County,AR,South,"[  0,   17)","[25.0,50.0)",8723,50.8,67.1,30.7,25.1,617.84,33694,5099,1156,2001,3233,Republican
5101,Newton County,AR,South,"[  0,   17)","[ 0.0, 2.0)",7904,49.6,95.8,0.2,37.7,820.9,30038,5101,699,2875,3731,Republican
5103,Ouachita County,AR,South,"[ 17,   45)","[25.0,50.0)",24828,52.8,57.3,40.1,22.7,732.78,32015,5103,4320,5347,9881,Republican
5105,Perry County,AR,South,"[ 17,   45)","[ 2.0, 5.0)",10245,50.2,94.9,2.3,34.8,551.4,42455,5105,1035,2979,4213,Republican
5107,Phillips County,AR,South,"[ 17,   45)","[50.0,85.3]",19930,53,36.2,62,18.3,695.66,26737,5107,4292,2443,6894,Democrat
5109,Pike County,AR,South,"[ 17,   45)","[ 2.0, 5.0)",11024,50.1,93.5,3.3,24.1,600.62,32206,5109,684,3150,3956,Republican
5111,Poinsett County,AR,South,"[ 17,   45)","[ 5.0,10.0)",24246,51.7,90.1,7.8,23.5,758.39,32089,5111,1878,3149,5283,Republican
5113,Polk County,AR,South,"[ 17,   45)","[ 0.0, 2.0)",20225,50.9,94.7,0.5,20.3,857.68,32835,5113,1210,6606,8121,Republican
5115,Pope County,AR,South,"[ 45,  118)","[ 2.0, 5.0)",63201,50.2,92.5,3.2,19.5,812.55,40453,5115,4818,15694,21545,Republican
5117,Prairie County,AR,South,"[  0,   17)","[10.0,15.0)",8304,50.8,86.2,12.2,24.4,647.96,34855,5117,812,2503,3404,Republican
5119,Pulaski County,AR,South,"[118,71672]","[25.0,50.0)",392702,52,59.5,35.7,19.8,759.76,46013,5119,89377,61182,157728,Democrat
5121,Randolph County,AR,South,"[ 17,   45)","[ 0.0, 2.0)",17571,50.8,96.9,1,29.2,652.19,34418,5121,1425,4508,6313,Republican
5123,St. Francis County,AR,South,"[ 17,   45)","[50.0,85.3]",26899,45.2,44.6,52.6,20.6,634.77,30873,5123,4031,3195,7412,Democrat
5125,Saline County,AR,South,"[118,71672]","[ 5.0,10.0)",115719,50.9,90.9,6.1,25.6,723.6,55348,5125,13247,35852,51971,Republican
5127,Scott County,AR,South,"[  0,   17)","[ 0.0, 2.0)",10693,49.4,90.7,0.8,23,892.32,37448,5127,507,2378,3017,Republican
5129,Searcy County,AR,South,"[  0,   17)","[ 0.0, 2.0)",7929,49.9,95.5,0.3,29.4,666.1,30779,5129,601,2955,3698,Republican
5131,Sebastian County,AR,South,"[118,71672]","[ 5.0,10.0)",126776,51,83,6.7,17.7,531.91,40471,5131,12184,28769,43557,Republican
5133,Sevier County,AR,South,"[ 17,   45)","[ 2.0, 5.0)",17426,50.1,89.2,4.5,21.4,565.13,35153,5133,1075,3281,4517,Republican
