DMA Code,DMA Name
673,COLUMBUS-TUPELO-WEST POINT
675,PEORIA-BLOOMINGTON
676,DULUTH-SUPERIOR
678,WICHITA-HUTCHINSON PLUS
679,DES MOINES-AMES
682,DAVENPORT-R.ISLAND-MOLINE
686,MOBILE-PENSACOLA
687,MINOT-BISMARCK-DICKINSON
691,HUNTSVILLE-DECATUR-FLORENCE
692,BEAUMONT-PORT ARTHUR
693,LITTLE ROCK-PINE BLUFF
698,MONTGOMERY-SELMA
702,LA CROSSE-EAU CLAIRE
705,WAUSAU-RHINELANDER
709,TYLER-LONGVIEW (LUFKIN&NACOGDOCHES)
710,HATTIESBURG-LAUREL
711,MERIDIAN
716,BATON ROUGE
717,QUINCY-HANNIBAL-KEOKUK
718,"JACKSON, MS"
722,LINCOLN & HASTINGS-KEARNY
724,FARGO-VALLEY CITY
725,SIOUX FALLS-MITCHELL
734,JONESBORO
736,BOWLING GREEN
737,MANKATO
740,NORTH PLATTE
743,ANCHORAGE
744,HONOLULU
745,FAIRBANKS
746,BILOXI-GULFPORT
747,JUNEAU
749,LAREDO
751,DENVER
752,COLORADO SPRINGS-PUEBLO
753,PHOENIX-PRESCOTT
754,BUTTE-BOZEMAN
755,GREAT FALLS
756,BILLINGS
757,BOISE
758,IDAHO FALLS-POCATELLO-JACKSON
759,CHEYENNE-SCOTTSBLUFF
760,TWIN FALLS
762,MISSOULA
764,RAPID CITY
765,EL PASO-LAS CRUCES
766,HELENA
767,CASPER-RIVERTON
770,SALT LAKE CITY
771,YUMA-EL CENTRO
773,GRAND JUNCTION-MONTROSE
789,TUCSON-SIERRA VISTA
790,ALBUQUERQUE-SANTA FE
798,GLENDIVE
800,BAKERSFIELD
801,EUGENE
802,EUREKA
803,LOS ANGELES
804,PALM SPRINGS
807,SAN FRANCISCO-OAKLAND-SAN JOSE
810,YAKIMA-PASCO-RICHLAND-KENNWICK
811,RENO
813,MEDFORD-KLAMATH FALLS
819,SEATTLE-TACOMA
820,"PORTLAND, OR"
821,"BEND, OR"
825,SAN DIEGO
828,MONTEREY-SALINAS
839,LAS VEGAS
855,SANTA BARBARA-SANTA MARIA-SAN LUIS OBISPO
862,SACRAMENTO-STOCKTON-MODESTO
866,FRESNO-VISALIA
868,CHICO-REDDING
881,SPOKANE
