"cnt","year","month","date","hr","wkday","holiday","seasons","weather_cond","temp","hum","windspeed"
76,"2011","01","08",16,"saturday",0,"spring","Clear or Few Cloudy",-1.6462066558277,-1.74793515498441,2.10644034836186
69,"2011","01","08",17,"saturday",0,"spring","Clear or Few Cloudy",-1.75007247878984,-1.33327663216667,2.9597982439447
55,"2011","01","08",18,"saturday",0,"spring","Clear or Few Cloudy",-1.85393830175198,-1.22961200146224,0.886073166268775
30,"2011","01","08",19,"saturday",0,"spring","Clear or Few Cloudy",-1.85393830175198,-1.38510894751889,0.519881272378821
28,"2011","01","08",20,"saturday",0,"spring","Clear or Few Cloudy",-1.95780412471412,-1.38510894751889,0.519881272378821
37,"2011","01","08",21,"saturday",0,"spring","Clear or Few Cloudy",-1.95780412471412,-1.22961200146224,1.37405656058195
34,"2011","01","08",22,"saturday",0,"spring","Clear or Few Cloudy",-1.95780412471412,-1.38510894751889,1.61845695404868
22,"2011","01","08",23,"saturday",0,"spring","Clear or Few Cloudy",-2.06166994767626,-1.22961200146224,2.10644034836186
25,"2011","01","09",0,"sunday",0,"spring","Clear or Few Cloudy",-2.06166994767626,-1.07411505540558,1.61845695404868
12,"2011","01","09",1,"sunday",0,"spring","Clear or Few Cloudy",-2.06166994767626,-1.07411505540558,2.22823184878508
11,"2011","01","09",2,"sunday",0,"spring","Clear or Few Cloudy",-2.06166994767626,-0.866785793996715,2.22823184878508
4,"2011","01","09",3,"sunday",0,"spring","Clear or Few Cloudy",-2.06166994767626,-0.866785793996715,1.86203995489513
1,"2011","01","09",4,"sunday",0,"spring","Clear or Few Cloudy",-2.1655357706384,-0.503959586531193,0.0318978780656464
1,"2011","01","09",5,"sunday",0,"spring","Clear or Few Cloudy",-2.1655357706384,-0.503959586531193,0.0318978780656464
1,"2011","01","09",6,"sunday",0,"spring","Clear or Few Cloudy",-2.06166994767626,-0.711288847940063,0.764281665845554
6,"2011","01","09",7,"sunday",0,"spring","Clear or Few Cloudy",-2.1655357706384,-0.503959586531193,0.0318978780656464
10,"2011","01","09",8,"sunday",0,"spring","Clear or Few Cloudy",-2.06166994767626,-0.711288847940063,0.764281665845554
19,"2011","01","09",9,"sunday",0,"spring","Clear or Few Cloudy",-1.95780412471412,-0.866785793996715,2.71621524309825
49,"2011","01","09",10,"sunday",0,"spring","Clear or Few Cloudy",-1.85393830175198,-1.02228274005337,1.61845695404868
49,"2011","01","09",11,"sunday",0,"spring","Clear or Few Cloudy",-1.75007247878984,-1.17777968611002,2.71621524309825
83,"2011","01","09",12,"sunday",0,"spring","Clear or Few Cloudy",-1.6462066558277,-1.33327663216667,2.10644034836186
75,"2011","01","09",13,"sunday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-1.48877357822332,2.10644034836186
72,"2011","01","09",14,"sunday",0,"spring","Clear or Few Cloudy",-1.43847500990342,-1.59243820892776,2.22823184878508
82,"2011","01","09",15,"sunday",0,"spring","Clear or Few Cloudy",-1.43847500990342,-1.43694126287111,1.37405656058195
92,"2011","01","09",16,"sunday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-1.48877357822332,2.10644034836186
62,"2011","01","09",17,"sunday",0,"spring","Clear or Few Cloudy",-1.6462066558277,-1.33327663216667,1.61845695404868
48,"2011","01","09",18,"sunday",0,"spring","Clear or Few Cloudy",-1.75007247878984,-1.17777968611002,1.13047355973551
41,"2011","01","09",19,"sunday",0,"spring","Clear or Few Cloudy",-1.75007247878984,-1.02228274005337,1.13047355973551
38,"2011","01","09",20,"sunday",0,"spring","Clear or Few Cloudy",-1.85393830175198,-0.866785793996715,0.519881272378821
20,"2011","01","09",21,"sunday",0,"spring","Clear or Few Cloudy",-1.85393830175198,-0.866785793996715,1.86203995489513
15,"2011","01","09",22,"sunday",0,"spring","Clear or Few Cloudy",-1.85393830175198,-0.866785793996715,0.886073166268775
6,"2011","01","09",23,"sunday",0,"spring","Clear or Few Cloudy",-1.95780412471412,-0.659456532587845,0.0318978780656464
5,"2011","01","10",0,"monday",0,"spring","Clear or Few Cloudy",-1.95780412471412,-0.659456532587845,0.764281665845554
1,"2011","01","10",1,"monday",0,"spring","Clear or Few Cloudy",-1.95780412471412,-0.659456532587845,0.764281665845554
3,"2011","01","10",2,"monday",0,"spring","Clear or Few Cloudy",-1.95780412471412,-0.659456532587845,0.276298271532379
1,"2011","01","10",3,"monday",0,"spring","Clear or Few Cloudy",-1.95780412471412,-0.659456532587845,0.276298271532379
3,"2011","01","10",4,"monday",0,"spring","Clear or Few Cloudy",-2.06166994767626,-0.452127271178975,-0.456085516247529
3,"2011","01","10",5,"monday",0,"spring","Clear or Few Cloudy",-2.06166994767626,-0.452127271178975,0.519881272378821
31,"2011","01","10",6,"monday",0,"spring","Clear or Few Cloudy",-1.95780412471412,-0.659456532587845,0.764281665845554
77,"2011","01","10",7,"monday",0,"spring","Clear or Few Cloudy",-1.95780412471412,-0.659456532587845,0.276298271532379
188,"2011","01","10",8,"monday",0,"spring","Mist or Cloudy",-1.95780412471412,-0.659456532587845,0.764281665845554
94,"2011","01","10",9,"monday",0,"spring","Mist or Cloudy",-1.85393830175198,-0.659456532587845,0.519881272378821
31,"2011","01","10",10,"monday",0,"spring","Mist or Cloudy",-1.85393830175198,-0.659456532587845,0.886073166268775
30,"2011","01","10",11,"monday",0,"spring","Mist or Cloudy",-1.75007247878984,-0.814953478644498,0.764281665845554
52,"2011","01","10",12,"monday",0,"spring","Mist or Cloudy",-1.54234083286556,-1.17777968611002,0.764281665845554
54,"2011","01","10",13,"monday",0,"spring","Mist or Cloudy",-1.54234083286556,-1.17777968611002,0.764281665845554
47,"2011","01","10",14,"monday",0,"spring","Mist or Cloudy",-1.54234083286556,-1.17777968611002,0.276298271532379
45,"2011","01","10",15,"monday",0,"spring","Mist or Cloudy",-1.54234083286556,-1.17777968611002,0.276298271532379
74,"2011","01","10",16,"monday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-1.17777968611002,-0.456085516247529
178,"2011","01","10",17,"monday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-1.17777968611002,-0.699668517093971
155,"2011","01","10",18,"monday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-1.17777968611002,0.276298271532379
95,"2011","01","10",19,"monday",0,"spring","Clear or Few Cloudy",-1.75007247878984,-0.814953478644498,-0.211685122780796
