Party,Year,Sector,GHG_emissions
Australia,2014,Industrial processes and product use,31158.89
Australia,2015,Industrial processes and product use,32837.43
Australia,2016,Industrial processes and product use,32995.17
Australia,2017,Industrial processes and product use,33686.46
Australia,1990,Agriculture,80247.7
Australia,1991,Agriculture,79515.33
Australia,1992,Agriculture,76892.88
Australia,1993,Agriculture,75046.83
Australia,1994,Agriculture,75201.5
Australia,1995,Agriculture,72018.34
Australia,1996,Agriculture,74118.65
Australia,1997,Agriculture,75312.61
Australia,1998,Agriculture,75244.09
Australia,1999,Agriculture,75393.55
Australia,2000,Agriculture,78382.35
Australia,2001,Agriculture,77241.4
Australia,2002,Agriculture,77167.42
Australia,2003,Agriculture,71972.76
Australia,2004,Agriculture,75287.44
Australia,2005,Agriculture,75903.82
Australia,2006,Agriculture,74343.91
Australia,2007,Agriculture,70608.59
Australia,2008,Agriculture,68169.66
Australia,2009,Agriculture,68502.83
Australia,2010,Agriculture,66279.92
Australia,2011,Agriculture,70754.36
Australia,2012,Agriculture,71987.57
Australia,2013,Agriculture,72114.95
Australia,2014,Agriculture,72622.02
Australia,2015,Agriculture,70084.51
Australia,2016,Agriculture,69273.94
Australia,2017,Agriculture,73003.95
Australia,1990,LULUCF,184588.46
Australia,1991,LULUCF,161588.45
Australia,1992,LULUCF,96261.24
Australia,1993,LULUCF,77689.45
Australia,1994,LULUCF,68743.74
Australia,1995,LULUCF,47681.28
Australia,1996,LULUCF,47090.56
Australia,1997,LULUCF,45883.14
Australia,1998,LULUCF,34140.89
Australia,1999,LULUCF,42530.33
Australia,2000,LULUCF,51135.08
Australia,2001,LULUCF,72350.28
Australia,2002,LULUCF,65720.25
Australia,2003,LULUCF,74374.92
Australia,2004,LULUCF,66030.73
Australia,2005,LULUCF,88786.51
Australia,2006,LULUCF,85050.67
Australia,2007,LULUCF,93889.51
Australia,2008,LULUCF,78650.26
Australia,2009,LULUCF,69706.8
Australia,2010,LULUCF,48680.18
Australia,2011,LULUCF,29379.38
Australia,2012,LULUCF,18110.14
Australia,2013,LULUCF,7303.83
Australia,2014,LULUCF,8099.26
Australia,2015,LULUCF,-3537.84
Australia,2016,LULUCF,-16341.23
Australia,2017,LULUCF,-19431.11
Australia,1990,Waste,20026.01
Australia,1991,Waste,20004.84
Australia,1992,Waste,19754.05
Australia,1993,Waste,19593.47
Australia,1994,Waste,18901.65
Australia,1995,Waste,18854.46
Australia,1996,Waste,17235.56
Australia,1997,Waste,16967.73
Australia,1998,Waste,16145.59
Australia,1999,Waste,16234.44
Australia,2000,Waste,15661.25
Australia,2001,Waste,15872.79
Australia,2002,Waste,15987.23
Australia,2003,Waste,14908.56
Australia,2004,Waste,14517.79
Australia,2005,Waste,14386.99
Australia,2006,Waste,14174.95
Australia,2007,Waste,14514.16
Australia,2008,Waste,14989.67
Australia,2009,Waste,14900.53
Australia,2010,Waste,15212.96
Australia,2011,Waste,14544.22
Australia,2012,Waste,12984.08
Australia,2013,Waste,12364.73
Australia,2014,Waste,12490.12
Australia,2015,Waste,11949.14
Australia,2016,Waste,12407.84
Australia,2017,Waste,11787.52
Australia,1990,Other,NA
Australia,1991,Other,NA
Australia,1992,Other,NA
Australia,1993,Other,NA
Australia,1994,Other,NA
Australia,1995,Other,NA
Australia,1996,Other,NA
Australia,1997,Other,NA
Australia,1998,Other,NA
Australia,1999,Other,NA
Australia,2000,Other,NA
Australia,2001,Other,NA
Australia,2002,Other,NA
Australia,2003,Other,NA
Australia,2004,Other,NA
Australia,2005,Other,NA
Australia,2006,Other,NA
Australia,2007,Other,NA
Australia,2008,Other,NA
Australia,2009,Other,NA
Australia,2010,Other,NA
Australia,2011,Other,NA
Australia,2012,Other,NA
Australia,2013,Other,NA
Australia,2014,Other,NA
Australia,2015,Other,NA
Australia,2016,Other,NA
Australia,2017,Other,NA
Austria,1990,Energy,52946.22
Austria,1991,Energy,56614.54
Austria,1992,Energy,52021.23
Austria,1993,Energy,52292.17
Austria,1994,Energy,51943.13
Austria,1995,Energy,54500.02
Austria,1996,Energy,58636.44
Austria,1997,Energy,57199.2
Austria,1998,Energy,57002.52
Austria,1999,Energy,55848.14
Austria,2000,Energy,55403.32
Austria,2001,Energy,59590.86
Austria,2002,Energy,60849.21
Austria,2003,Energy,66529.08
Austria,2004,Energy,66536.54
Austria,2005,Energy,67138.26
Austria,2006,Energy,64161.76
Austria,2007,Energy,60935.32
Austria,2008,Energy,59930.29
Austria,2009,Energy,56882.25
Austria,2010,Energy,59562.72
Austria,2011,Energy,57282.82
Austria,2012,Energy,55188.17
Austria,2013,Energy,55520.13
Austria,2014,Energy,51695.59
Austria,2015,Energy,53409.47
Austria,2016,Energy,54279.03
Austria,2017,Energy,56272.29
Austria,1990,Industrial processes and product use,13662.34
Austria,1991,Industrial processes and product use,13695.98
Austria,1992,Industrial processes and product use,12053.42
Austria,1993,Industrial processes and product use,12004
Austria,1994,Industrial processes and product use,12738.74
Austria,1995,Industrial processes and product use,13604.92
Austria,1996,Industrial processes and product use,13057.12
Austria,1997,Industrial processes and product use,14219.02
Austria,1998,Industrial processes and product use,13864.92
Austria,1999,Industrial processes and product use,13647.4
Austria,2000,Industrial processes and product use,14610.41
Austria,2001,Industrial processes and product use,14487.87
Austria,2002,Industrial processes and product use,15129.49
Austria,2003,Industrial processes and product use,15271.16
Austria,2004,Industrial processes and product use,14810.67
Austria,2005,Industrial processes and product use,15599.74
Austria,2006,Industrial processes and product use,16257.46
Austria,2007,Industrial processes and product use,16911.95
Austria,2008,Industrial processes and product use,17249.03
Austria,2009,Industrial processes and product use,13921.66
Austria,2010,Industrial processes and product use,15929.64
Austria,2011,Industrial processes and product use,15970.26
Austria,2012,Industrial processes and product use,15570.66
Austria,2013,Industrial processes and product use,15902.23
Austria,2014,Industrial processes and product use,16017.36
Austria,2015,Industrial processes and product use,16601.6
Austria,2016,Industrial processes and product use,16394.62
Austria,2017,Industrial processes and product use,17197.29
Austria,1990,Agriculture,8136.76
Austria,1991,Agriculture,8044.49
Austria,1992,Agriculture,7729.38
Austria,1993,Agriculture,7715.14
Austria,1994,Agriculture,7701.69
Austria,1995,Agriculture,7827.93
Austria,1996,Agriculture,7718.42
Austria,1997,Agriculture,7672.02
Austria,1998,Agriculture,7639.83
Austria,1999,Agriculture,7534.36
Austria,2000,Agriculture,7438.15
Austria,2001,Agriculture,7380.12
Austria,2002,Agriculture,7268.94
Austria,2003,Agriculture,7121.57
Austria,2004,Agriculture,7105.68
Austria,2005,Agriculture,7037.56
Austria,2006,Agriculture,7026.88
Austria,2007,Agriculture,7082.14
Austria,2008,Agriculture,7205.76
Austria,2009,Agriculture,7239.87
Austria,2010,Agriculture,7102.94
Austria,2011,Agriculture,7164.58
Austria,2012,Agriculture,7110.19
Austria,2013,Agriculture,7106.41
Austria,2014,Agriculture,7246.06
Austria,2015,Agriculture,7248.54
Austria,2016,Agriculture,7365.18
Austria,2017,Agriculture,7307.58
Austria,1990,LULUCF,-11988.44
Austria,1991,LULUCF,-16690.02
Austria,1992,LULUCF,-11662.54
Austria,1993,LULUCF,-11957.08
Austria,1994,LULUCF,-11830.15
Austria,1995,LULUCF,-13143.16
Austria,1996,LULUCF,-10558.82
Austria,1997,LULUCF,-19075.08
Austria,1998,LULUCF,-17207.41
Austria,1999,LULUCF,-19516.32
Austria,2000,LULUCF,-16418.74
Austria,2001,LULUCF,-19265.35
Austria,2002,LULUCF,-14262.08
Austria,2003,LULUCF,-4869.08
Austria,2004,LULUCF,-9188.24
Austria,2005,LULUCF,-10659.31
Austria,2006,LULUCF,-5169.15
Austria,2007,LULUCF,-5496.55
Austria,2008,LULUCF,-4261.83
Austria,2009,LULUCF,-4532.07
Austria,2010,LULUCF,-5863.74
Austria,2011,LULUCF,-6090.93
Austria,2012,LULUCF,-5466.88
Austria,2013,LULUCF,-4517.08
Austria,2014,LULUCF,-4723.96
Austria,2015,LULUCF,-4551.09
Austria,2016,LULUCF,-4378.83
Austria,2017,LULUCF,-4906.05
Austria,1990,Waste,3925.02
Austria,1991,Waste,3994.31
Austria,1992,Waste,3946.41
Austria,1993,Waste,3920.98
Austria,1994,Waste,3823.16
Austria,1995,Waste,3651.16
Austria,1996,Waste,3462.69
Austria,1997,Waste,3314.84
Austria,1998,Waste,3194.88
Austria,1999,Waste,3075.28
Austria,2000,Waste,2963.11
Austria,2001,Waste,2865.49
Austria,2002,Waste,2863.1
Austria,2003,Waste,2866.58
Austria,2004,Waste,2929.96
Austria,2005,Waste,2790.99
Austria,2006,Waste,2671.21
Austria,2007,Waste,2543.33
Austria,2008,Waste,2431.1
Austria,2009,Waste,2284.73
Austria,2010,Waste,2157.95
Austria,2011,Waste,2042.63
Austria,2012,Waste,1942.3
Austria,2013,Waste,1823.76
Austria,2014,Waste,1720.76
Austria,2015,Waste,1637.64
Austria,2016,Waste,1557.28
Austria,2017,Waste,1484.31
Austria,1990,Other,NA
Austria,1991,Other,NA
Austria,1992,Other,NA
Austria,1993,Other,NA
Austria,1994,Other,NA
Austria,1995,Other,NA
Austria,1996,Other,NA
Austria,1997,Other,NA
Austria,1998,Other,NA
Austria,1999,Other,NA
Austria,2000,Other,NA
Austria,2001,Other,NA
Austria,2002,Other,NA
Austria,2003,Other,NA
Austria,2004,Other,NA
Austria,2005,Other,NA
Austria,2006,Other,NA
Austria,2007,Other,NA
Austria,2008,Other,NA
Austria,2009,Other,NA
Austria,2010,Other,NA
Austria,2011,Other,NA
Austria,2012,Other,NA
Austria,2013,Other,NA
Austria,2014,Other,NA
Austria,2015,Other,NA
Austria,2016,Other,NA
Austria,2017,Other,NA
Belarus,1990,Energy,98104.42
Belarus,1991,Energy,91410.95
Belarus,1992,Energy,85020.11
Belarus,1993,Energy,73869.92
Belarus,1994,Energy,61807.01
Belarus,1995,Energy,55091.38
Belarus,1996,Energy,56412.05
Belarus,1997,Energy,59467.57
Belarus,1998,Energy,55962.23
Belarus,1999,Energy,53583.35
Belarus,2000,Energy,52403.83
Belarus,2001,Energy,53066.2
Belarus,2002,Energy,52093.86
Belarus,2003,Energy,52949.5
Belarus,2004,Energy,56465.74
Belarus,2005,Energy,57254.09
Belarus,2006,Energy,59921.05
Belarus,2007,Energy,59347.71
Belarus,2008,Energy,61325.26
Belarus,2009,Energy,56851.43
Belarus,2010,Energy,58591.5
Belarus,2011,Energy,57496.9
Belarus,2012,Energy,58251.04
Belarus,2013,Energy,59220.32
Belarus,2014,Energy,57998.09
Belarus,2015,Energy,54042.18
Belarus,2016,Energy,56029.56
Belarus,2017,Energy,57708.68
Belarus,1990,Industrial processes and product use,6034.39
Belarus,1991,Industrial processes and product use,5812.84
Belarus,1992,Industrial processes and product use,5331.95
Belarus,1993,Industrial processes and product use,4234.99
Belarus,1994,Industrial processes and product use,3504.85
Belarus,1995,Industrial processes and product use,3745.79
Belarus,1996,Industrial processes and product use,3761
Belarus,1997,Industrial processes and product use,3902.2
Belarus,1998,Industrial processes and product use,4340.88
Belarus,1999,Industrial processes and product use,4562.18
Belarus,2000,Industrial processes and product use,4422.8
Belarus,2001,Industrial processes and product use,4389.18
Belarus,2002,Industrial processes and product use,4652.49
Belarus,2003,Industrial processes and product use,4949.87
Belarus,2004,Industrial processes and product use,5126.66
Belarus,2005,Industrial processes and product use,5393.41
Belarus,2006,Industrial processes and product use,5754.67
Belarus,2007,Industrial processes and product use,5968.44
Belarus,2008,Industrial processes and product use,6071.43
Belarus,2009,Industrial processes and product use,6030.47
Belarus,2010,Industrial processes and product use,6266.63
Belarus,2011,Industrial processes and product use,6304.3
Belarus,2012,Industrial processes and product use,6346.14
Belarus,2013,Industrial processes and product use,6546.95
Belarus,2014,Industrial processes and product use,6895.46
Belarus,2015,Industrial processes and product use,6448.46
Belarus,2016,Industrial processes and product use,6042.67
Belarus,2017,Industrial processes and product use,6077.71
Belarus,1990,Agriculture,31971.24
Belarus,1991,Agriculture,30576.31
Belarus,1992,Agriculture,27870.82
Belarus,1993,Agriculture,26629.96
Belarus,1994,Agriculture,23869.18
Belarus,1995,Agriculture,22319.09
Belarus,1996,Agriculture,22641.84
Belarus,1997,Agriculture,23072.45
Belarus,1998,Agriculture,22802.21
Belarus,1999,Agriculture,21411.7
Belarus,2000,Agriculture,21024.18
Belarus,2001,Agriculture,20374.74
Belarus,2002,Agriculture,19696.71
Belarus,2003,Agriculture,20475.58
Belarus,2004,Agriculture,20992.16
Belarus,2005,Agriculture,21790.67
Belarus,2006,Agriculture,22460.22
Belarus,2007,Agriculture,22277.59
Belarus,2008,Agriculture,23149.98
Belarus,2009,Agriculture,23546.84
Belarus,2010,Agriculture,23482.33
Belarus,2011,Agriculture,24229.04
Belarus,2012,Agriculture,24259.75
Belarus,2013,Agriculture,23698.11
Belarus,2014,Agriculture,23612.74
Belarus,2015,Agriculture,23280.88
Belarus,2016,Agriculture,23450.71
Belarus,2017,Agriculture,24042.6
Belarus,1990,LULUCF,-21104.96
Belarus,1991,LULUCF,-24417.3
Belarus,1992,LULUCF,-22423.39
Belarus,1993,LULUCF,-18062.12
Belarus,1994,LULUCF,-27841.25
Belarus,1995,LULUCF,-28909.51
Belarus,1996,LULUCF,-27996.51
Belarus,1997,LULUCF,-26185.53
Belarus,1998,LULUCF,-25139.31
Belarus,1999,LULUCF,-32083.57
Belarus,2000,LULUCF,-33242.76
Belarus,2001,LULUCF,-32079.89
Belarus,2002,LULUCF,-28908.96
Belarus,2003,LULUCF,-25166.87
Belarus,2004,LULUCF,-26833.49
Belarus,2005,LULUCF,-29144.17
Belarus,2006,LULUCF,-32396.88
Belarus,2007,LULUCF,-33067.82
Belarus,2008,LULUCF,-32718.28
Belarus,2009,LULUCF,-38440.04
Belarus,2010,LULUCF,-40126.39
Belarus,2011,LULUCF,-37577.3
Belarus,2012,LULUCF,-32028.06
Belarus,2013,LULUCF,-35121.61
Belarus,2014,LULUCF,-30107.98
Belarus,2015,LULUCF,-27409.57
Belarus,2016,LULUCF,-21902.91
Belarus,2017,LULUCF,-13300.71
Belarus,1990,Waste,3164.24
Belarus,1991,Waste,3077.51
Belarus,1992,Waste,2777.24
Belarus,1993,Waste,2596.36
Belarus,1994,Waste,2524.28
Belarus,1995,Waste,2524.73
Belarus,1996,Waste,2852.8
Belarus,1997,Waste,2954.15
Belarus,1998,Waste,3091.13
Belarus,1999,Waste,3253.72
Belarus,2000,Waste,3390.05
Belarus,2001,Waste,3412.53
Belarus,2002,Waste,3492.9
Belarus,2003,Waste,3728.61
Belarus,2004,Waste,4331.38
Belarus,2005,Waste,3844.85
Belarus,2006,Waste,4080.13
Belarus,2007,Waste,4148.64
Belarus,2008,Waste,5021.58
Belarus,2009,Waste,5029.63
Belarus,2010,Waste,5425.41
Belarus,2011,Waste,5348.03
Belarus,2012,Waste,5414.23
Belarus,2013,Waste,5898.22
Belarus,2014,Waste,6081.61
Belarus,2015,Waste,6187.64
Belarus,2016,Waste,6059.94
Belarus,2017,Waste,6130.66
Belarus,1990,Other,NA
Belarus,1991,Other,NA
Belarus,1992,Other,NA
Belarus,1993,Other,NA
Belarus,1994,Other,NA
Belarus,1995,Other,NA
Belarus,1996,Other,NA
Belarus,1997,Other,NA
Belarus,1998,Other,NA
Belarus,1999,Other,NA
Belarus,2000,Other,NA
Belarus,2001,Other,NA
Belarus,2002,Other,NA
Belarus,2003,Other,NA
Belarus,2004,Other,NA
Belarus,2005,Other,NA
Belarus,2006,Other,NA
Belarus,2007,Other,NA
Belarus,2008,Other,NA
Belarus,2009,Other,NA
Belarus,2010,Other,NA
Belarus,2011,Other,NA
Belarus,2012,Other,NA
Belarus,2013,Other,NA
Belarus,2014,Other,NA
Belarus,2015,Other,NA
Belarus,2016,Other,NA
Belarus,2017,Other,NA
Belgium,1990,Energy,103742.48
Belgium,1991,Energy,107425.73
Belgium,1992,Energy,105822.89
Belgium,1993,Energy,105692.61
Belgium,1994,Energy,107391.46
Belgium,1995,Energy,107704.56
Belgium,1996,Energy,112018.91
Belgium,1997,Energy,106178.57
Belgium,1998,Energy,110548.46
Belgium,1999,Energy,105154.16
Belgium,2000,Energy,106039.84
Belgium,2001,Energy,106491.94
Belgium,2002,Energy,106240.45
Belgium,2003,Energy,107458.07
Belgium,2004,Energy,107788.47
Belgium,2005,Energy,105504.65
Belgium,2006,Energy,103819.23
Belgium,2007,Energy,101724.19
Belgium,2008,Energy,101562
Belgium,2009,Energy,94800.08
Belgium,2010,Energy,98755.55
Belgium,2011,Energy,89187.16
Belgium,2012,Energy,88228.52
Belgium,2013,Energy,87752.22
Belgium,2014,Energy,81944.54
Belgium,2015,Energy,85722.53
Belgium,2016,Energy,84035.59
Belgium,2017,Energy,83262.2
Belgium,1990,Industrial processes and product use,26291.75
Belgium,1991,Industrial processes and product use,25316.3
Belgium,1992,Industrial processes and product use,26410.02
Belgium,1993,Industrial processes and product use,25555.11
Belgium,1994,Industrial processes and product use,28535.66
Belgium,1995,Industrial processes and product use,30170.72
Belgium,1996,Industrial processes and product use,29677.49
Belgium,1997,Industrial processes and product use,26944.38
Belgium,1998,Industrial processes and product use,28098.63
Belgium,1999,Industrial processes and product use,27229.09
Belgium,2000,Industrial processes and product use,28417.18
Belgium,2001,Industrial processes and product use,27028.29
Belgium,2002,Industrial processes and product use,26828
Belgium,2003,Industrial processes and product use,26684.32
Belgium,2004,Industrial processes and product use,27703.99
Belgium,2005,Industrial processes and product use,26440.47
Belgium,2006,Industrial processes and product use,25721.89
Belgium,2007,Industrial processes and product use,23979.72
Belgium,2008,Industrial processes and product use,24348.11
Belgium,2009,Industrial processes and product use,18603.72
Belgium,2010,Industrial processes and product use,21466.08
Belgium,2011,Industrial processes and product use,20627.77
Belgium,2012,Industrial processes and product use,19054.57
Belgium,2013,Industrial processes and product use,19796.83
Belgium,2014,Industrial processes and product use,19786.47
Belgium,2015,Industrial processes and product use,19753.43
Belgium,2016,Industrial processes and product use,20369.48
Belgium,2017,Industrial processes and product use,19694.45
Belgium,1990,Agriculture,12217.31
Belgium,1991,Agriculture,12095.43
Belgium,1992,Agriculture,12080.19
Belgium,1993,Agriculture,12205.19
Belgium,1994,Agriculture,12073.77
Belgium,1995,Agriculture,12288.5
Belgium,1996,Agriculture,12196.55
Belgium,1997,Agriculture,12194
Belgium,1998,Agriculture,11989.06
Belgium,1999,Agriculture,12198.52
Belgium,2000,Agriculture,11323.43
Belgium,2001,Agriculture,11094.67
Belgium,2002,Agriculture,10967.22
Belgium,2003,Agriculture,10593.15
Belgium,2004,Agriculture,10503.5
Belgium,2005,Agriculture,10283.59
Belgium,2006,Agriculture,10082.84
Belgium,2007,Agriculture,10267.49
Belgium,2008,Agriculture,10137.53
Belgium,2009,Agriculture,10256.55
Belgium,2010,Agriculture,10200.63
Belgium,2011,Agriculture,10093.98
Belgium,2012,Agriculture,9883.37
Belgium,2013,Agriculture,9923.14
Belgium,2014,Agriculture,10120.54
Belgium,2015,Agriculture,10049.53
Belgium,2016,Agriculture,9893.92
Belgium,2017,Agriculture,10106.44
Belgium,1990,LULUCF,-3313.5
Belgium,1991,LULUCF,-2840.9
Belgium,1992,LULUCF,-2654.37
Belgium,1993,LULUCF,-2661.71
Belgium,1994,LULUCF,-2403.99
Belgium,1995,LULUCF,-2629.92
Belgium,1996,LULUCF,-2578.79
Belgium,1997,LULUCF,-2358.35
Belgium,1998,LULUCF,-2906.23
Belgium,1999,LULUCF,-2145.63
Belgium,2000,LULUCF,-1774.75
Belgium,2001,LULUCF,-1641.8
Belgium,2002,LULUCF,-1695.47
Belgium,2003,LULUCF,-1647.76
Belgium,2004,LULUCF,-1554.53
Belgium,2005,LULUCF,-1536.58
Belgium,2006,LULUCF,-1520.17
Belgium,2007,LULUCF,-1310.5
Belgium,2008,LULUCF,-1054.72
Belgium,2009,LULUCF,-1069.87
Belgium,2010,LULUCF,-331
Belgium,2011,LULUCF,-159.39
Belgium,2012,LULUCF,-250.73
Belgium,2013,LULUCF,-322.11
Belgium,2014,LULUCF,-284.27
Belgium,2015,LULUCF,-295.71
Belgium,2016,LULUCF,-285.51
Belgium,2017,LULUCF,-259.42
Belgium,1990,Waste,4335.07
Belgium,1991,Waste,4486.08
Belgium,1992,Waste,4607.3
Belgium,1993,Waste,4437.49
Belgium,1994,Waste,4521.93
Belgium,1995,Waste,4501.44
Belgium,1996,Waste,4410.46
Belgium,1997,Waste,4464.72
Belgium,1998,Waste,4320.75
Belgium,1999,Waste,4062.82
Belgium,2000,Waste,3949.47
Belgium,2001,Waste,3516.99
Belgium,2002,Waste,3531.62
Belgium,2003,Waste,3196.73
Belgium,2004,Waste,3234.67
Belgium,2005,Waste,3055.13
Belgium,2006,Waste,3036.45
Belgium,2007,Waste,2989.53
Belgium,2008,Waste,2780.14
Belgium,2009,Waste,2602.33
Belgium,2010,Waste,2499.73
Belgium,2011,Waste,2289.44
Belgium,2012,Waste,2206.21
Belgium,2013,Waste,1832.19
Belgium,2014,Waste,1654.42
Belgium,2015,Waste,1596.59
Belgium,2016,Waste,1484.19
Belgium,2017,Waste,1476.82
Belgium,1990,Other,NA
Belgium,1991,Other,NA
Belgium,1992,Other,NA
Belgium,1993,Other,NA
Belgium,1994,Other,NA
Belgium,1995,Other,NA
Belgium,1996,Other,NA
Belgium,1997,Other,NA
Belgium,1998,Other,NA
Belgium,1999,Other,NA
Belgium,2000,Other,NA
Belgium,2001,Other,NA
Belgium,2002,Other,NA
Belgium,2003,Other,NA
Belgium,2004,Other,NA
Belgium,2005,Other,NA
Belgium,2006,Other,NA
Belgium,2007,Other,NA
Belgium,2008,Other,NA
Belgium,2009,Other,NA
Belgium,2010,Other,NA
Belgium,2011,Other,NA
Belgium,2012,Other,NA
Belgium,2013,Other,NA
Belgium,2014,Other,NA
Belgium,2015,Other,NA
Belgium,2016,Other,NA
Belgium,2017,Other,NA
Bulgaria,1990,Energy,71362.94
Bulgaria,1991,Energy,57091.82
Bulgaria,1992,Energy,54128.66
Bulgaria,1993,Energy,54368.61
Bulgaria,1994,Energy,51111.88
Bulgaria,1995,Energy,51218.97
Bulgaria,1996,Energy,51788.27
Bulgaria,1997,Energy,49583.78
Bulgaria,1998,Energy,48926.98
Bulgaria,1999,Energy,42450.46
Bulgaria,2000,Energy,40769.78
Bulgaria,2001,Energy,44472.34
Bulgaria,2002,Energy,42370.77
Bulgaria,2003,Energy,46139.1
Bulgaria,2004,Energy,44847.02
Bulgaria,2005,Energy,45672.91
Bulgaria,2006,Energy,46742.82
Bulgaria,2007,Energy,50391.05
Bulgaria,2008,Energy,49734.13
Bulgaria,2009,Energy,44071.52
Bulgaria,2010,Energy,46045.26
Bulgaria,2011,Energy,51152.35
Bulgaria,2012,Energy,46336.02
Bulgaria,2013,Energy,40564.81
Bulgaria,2014,Energy,42903.56
Bulgaria,2015,Energy,45481.03
Bulgaria,2016,Energy,42355.01
Bulgaria,2017,Energy,44610.45
Bulgaria,1990,Industrial processes and product use,10047.56
Bulgaria,1991,Industrial processes and product use,7856.09
Bulgaria,1992,Industrial processes and product use,6613.27
Bulgaria,1993,Industrial processes and product use,6904.33
Bulgaria,1994,Industrial processes and product use,8420.17
Bulgaria,1995,Industrial processes and product use,10454.38
Bulgaria,1996,Industrial processes and product use,10314.9
Bulgaria,1997,Industrial processes and product use,9536.05
Bulgaria,1998,Industrial processes and product use,7141.99
Bulgaria,1999,Industrial processes and product use,6265.3
Bulgaria,2000,Industrial processes and product use,7210.78
Bulgaria,2001,Industrial processes and product use,7165.94
Bulgaria,2002,Industrial processes and product use,6443.01
Bulgaria,2003,Industrial processes and product use,7109.23
Bulgaria,2004,Industrial processes and product use,7214.52
Bulgaria,2005,Industrial processes and product use,7683.61
Bulgaria,2006,Industrial processes and product use,7477.03
Bulgaria,2007,Industrial processes and product use,7982.51
Bulgaria,2008,Industrial processes and product use,7157.72
Bulgaria,2009,Industrial processes and product use,4163.11
Bulgaria,2010,Industrial processes and product use,4445.32
Bulgaria,2011,Industrial processes and product use,5020.54
Bulgaria,2012,Industrial processes and product use,4783.99
Bulgaria,2013,Industrial processes and product use,4759.34
Bulgaria,2014,Industrial processes and product use,5120.17
Bulgaria,2015,Industrial processes and product use,5769.56
Bulgaria,2016,Industrial processes and product use,6062.71
Bulgaria,2017,Industrial processes and product use,6412.5
Bulgaria,1990,Agriculture,12461.57
Bulgaria,1991,Agriculture,10801.3
Bulgaria,1992,Agriculture,9397.81
Bulgaria,1993,Agriculture,8048.87
Bulgaria,1994,Agriculture,7011.98
Bulgaria,1995,Agriculture,5933.28
Bulgaria,1996,Agriculture,5642.25
Bulgaria,1997,Agriculture,5685.18
Bulgaria,1998,Agriculture,5139.25
Bulgaria,1999,Agriculture,5479.39
Bulgaria,2000,Agriculture,5205.33
Bulgaria,2001,Agriculture,5004.38
Bulgaria,2002,Agriculture,5148.55
Bulgaria,2003,Agriculture,5044.13
Bulgaria,2004,Agriculture,5493.06
Bulgaria,2005,Agriculture,5170.04
Bulgaria,2006,Agriculture,5053.6
Bulgaria,2007,Agriculture,4904.91
Bulgaria,2008,Agriculture,5149.06
Bulgaria,2009,Agriculture,4978.85
Bulgaria,2010,Agriculture,5454.64
Bulgaria,2011,Agriculture,5105.53
Bulgaria,2012,Agriculture,5236.18
Bulgaria,2013,Agriculture,5717.59
Bulgaria,2014,Agriculture,6187.48
Bulgaria,2015,Agriculture,6236.25
Bulgaria,2016,Agriculture,6585.68
Bulgaria,2017,Agriculture,6560.44
Bulgaria,1990,LULUCF,-12217.06
Bulgaria,1991,LULUCF,-11693.65
Bulgaria,1992,LULUCF,-11440.79
Bulgaria,1993,LULUCF,-10594.18
Bulgaria,1994,LULUCF,-10454.12
Bulgaria,1995,LULUCF,-10496.5
Bulgaria,1996,LULUCF,-12841.85
Bulgaria,1997,LULUCF,-12805.63
Bulgaria,1998,LULUCF,-12807.63
