key_ID,village,no_membrs,years_liv,respondent_wall_type,rooms,memb_assoc,affect_conflicts,liv_count,no_meals,items_owned,months_lack_food
73,Ruaca,5,14,burntbricks,1,no,more_once,2,3,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone,Jan;Sept;Oct;Nov;Dec
74,Ruaca,3,14,muddaub,1,no,never,4,3,bicycle;cow_plough;solar_panel;mobile_phone,none
75,God,15,22,burntbricks,2,no,never,4,3,cow_cart;bicycle;radio;cow_plough;solar_panel;table;mobile_phone,Aug;Sept;Oct;Nov
76,Ruaca,7,5,burntbricks,4,no,frequently,4,2,cow_cart;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,none
77,Ruaca,10,24,burntbricks,2,no,frequently,3,3,cow_cart;motorcyle;television;radio;cow_plough;solar_torch;table;mobile_phone,Jan;Dec
78,Ruaca,7,8,muddaub,1,no,never,1,3,mobile_phone,Sept;Oct;Nov
79,God,4,24,sunbricks,1,no,never,1,3,radio;solar_panel;solar_torch,Sept;Oct;Nov
80,God,7,13,burntbricks,2,yes,frequently,2,2,cow_cart;cow_plough;solar_torch;mobile_phone,Nov
81,Ruaca,9,14,burntbricks,1,no,never,3,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_torch;electricity;table;sofa_set;mobile_phone;fridge,none
82,Ruaca,11,16,muddaub,1,no,never,1,2,bicycle;solar_torch;mobile_phone,Feb;Mar
83,Ruaca,8,24,muddaub,1,no,never,3,2,motorcyle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,Jan;Nov;Dec
84,Ruaca,12,25,burntbricks,2,no,never,3,3,car;lorry;motorcyle;radio;sterio;cow_plough;solar_panel;solar_torch;table;sofa_set;mobile_phone;fridge,Jan;Feb;Dec
85,Ruaca,7,36,burntbricks,1,no,never,4,2,motorcyle;bicycle;radio;sterio;cow_plough;solar_panel;table;mobile_phone,Jan;Oct;Nov;Dec
86,Ruaca,15,16,sunbricks,1,no,never,3,3,motorcyle;radio;sterio;cow_plough;solar_panel;table;mobile_phone,Nov
87,Ruaca,10,5,burntbricks,4,no,never,1,2,radio;cow_plough;solar_panel;solar_torch;mobile_phone,Oct;Nov;Dec
88,Chirodzo,9,20,burntbricks,1,no,once,1,3,bicycle;television;radio;sterio;solar_panel;solar_torch;table;mobile_phone,Jan;Nov;Dec
89,Ruaca,3,7,burntbricks,1,no,more_once,3,3,motorcyle;radio;solar_panel,Oct;Nov;Dec
90,Ruaca,7,10,cement,3,no,more_once,3,3,car;lorry;television;radio;sterio;cow_plough;solar_torch;electricity;table;sofa_set;mobile_phone;fridge,none
91,Ruaca,4,5,muddaub,1,no,more_once,1,3,radio;solar_panel;solar_torch;mobile_phone,Sept;Oct;Nov
92,Chirodzo,7,17,burntbricks,2,yes,more_once,2,3,cow_cart;lorry;motorcyle;computer;television;radio;sterio;cow_plough;solar_panel;solar_torch;electricity;mobile_phone,Nov;Dec
