day,month,year,bib6,bib8
31,July,1930,135,165
1,August,1930,135,165
2,August,1930,135,165
3,August,1930,135,165
4,August,1930,135,165
5,August,1930,135,165
6,August,1930,135,165
7,August,1930,135,165
8,August,1930,135,165
9,August,1930,135,165
10,August,1930,135,166
11,August,1930,135,166
12,August,1930,135,166
13,August,1930,135,166
14,August,1930,135,166
15,August,1930,135,166
16,August,1930,135,166
17,August,1930,135,166
18,August,1930,135,166
19,August,1930,135,166
20,August,1930,135,166
21,August,1930,135,166
22,August,1930,135,166
23,August,1930,135,166
24,August,1930,135,166
25,August,1930,133,166
26,August,1930,133,166
27,August,1930,133,166
28,August,1930,133,166
29,August,1930,133,166
30,August,1930,133,166
31,August,1930,133,166
1,September,1930,133,166
2,September,1930,133,166
3,September,1930,133,166
4,September,1930,133,166
5,September,1930,133,166
6,September,1930,133,166
7,September,1930,133,166
8,September,1930,133,166
9,September,1930,133,166
10,September,1930,133,166
11,September,1930,133,166
12,September,1930,133,166
13,September,1930,133,166
14,September,1930,133,166
15,September,1930,133,166
16,September,1930,134,166
17,September,1930,134,166
18,September,1930,134,166
19,September,1930,134,166
20,September,1930,134,166
21,September,1930,134,166
22,September,1930,134,166
23,September,1930,134,166
24,September,1930,134,166
25,September,1930,134,166
26,September,1930,134,166
27,September,1930,134,166
28,September,1930,134,166
29,September,1930,134,166
30,September,1930,134,166
1,October,1930,134,166
2,October,1930,134,166
3,October,1930,134,166
4,October,1930,134,166
5,October,1930,134,166
6,October,1930,134,166
7,October,1930,134,166
8,October,1930,134,166
9,October,1930,134,166
10,October,1930,133,166
11,October,1930,133,166
12,October,1930,133,166
13,October,1930,133,166
14,October,1930,133,166
15,October,1930,133,165
16,October,1930,133,165
17,October,1930,133,165
18,October,1930,133,164
19,October,1930,133,163
20,October,1930,133,163
21,October,1930,133,163
22,October,1930,133,163
23,October,1930,133,163
24,October,1930,133,163
25,October,1930,133,163
26,October,1930,133,163
27,October,1930,133,163
28,October,1930,132,163
29,October,1930,132,163
30,October,1930,132,163
31,October,1930,132,163
1,November,1930,132,163
2,November,1930,131,163
3,November,1930,131,163
4,November,1930,131,163
5,November,1930,131,163
6,November,1930,131,163
7,November,1930,131,163
8,November,1930,131,163
9,November,1930,131,163
10,November,1930,131,163
11,November,1930,131,163
12,November,1930,131,163
13,November,1930,131,163
14,November,1930,131,163
15,November,1930,131,163
16,November,1930,131,163
17,November,1930,131,163
18,November,1930,131,163
19,November,1930,131,163
20,November,1930,131,162
21,November,1930,130,161
22,November,1930,130,161
23,November,1930,130,161
24,November,1930,130,161
25,November,1930,130,161
26,November,1930,130,161
27,November,1930,130,161
28,November,1930,130,161
29,November,1930,130,160
30,November,1930,130,160
1,December,1930,130,160
2,December,1930,130,160
3,December,1930,130,160
4,December,1930,130,160
5,December,1930,130,160
6,December,1930,130,160
7,December,1930,130,159
8,December,1930,129,159
9,December,1930,129,159
10,December,1930,129,159
11,December,1930,129,159
12,December,1930,129,159
13,December,1930,129,159
14,December,1930,129,159
15,December,1930,129,159
16,December,1930,129,159
17,December,1930,129,158
18,December,1930,129,158
19,December,1930,129,156
20,December,1930,129,153
21,December,1930,129,151
22,December,1930,129,151
23,December,1930,128,151
24,December,1930,128,150
25,December,1930,128,144
26,December,1930,128,144
27,December,1930,128,143
28,December,1930,128,143
29,December,1930,128,143
30,December,1930,128,143
31,December,1930,128,140
1,January,1931,128,140
2,January,1931,128,140
3,January,1931,128,138
4,January,1931,128,138
5,January,1931,128,138
6,January,1931,127,137
7,January,1931,126,135
8,January,1931,126,135
9,January,1931,126,134
10,January,1931,126,134
11,January,1931,126,133
12,January,1931,125,133
13,January,1931,125,133
14,January,1931,124,133
15,January,1931,123,133
16,January,1931,123,133
17,January,1931,123,133
18,January,1931,123,133
19,January,1931,123,133
20,January,1931,123,133
21,January,1931,122,133
22,January,1931,122,133
23,January,1931,122,133
24,January,1931,122,133
25,January,1931,122,133
26,January,1931,122,133
27,January,1931,121,133
28,January,1931,121,133
29,January,1931,121,133
30,January,1931,121,133
31,January,1931,121,133
1,February,1931,121,133
2,February,1931,121,133
3,February,1931,121,133
4,February,1931,121,133
5,February,1931,121,133
6,February,1931,121,133
7,February,1931,121,133
8,February,1931,121,133
9,February,1931,121,133
10,February,1931,121,133
11,February,1931,121,133
12,February,1931,121,133
13,February,1931,121,133
14,February,1931,121,133
15,February,1931,121,133
16,February,1931,121,133
17,February,1931,121,133
18,February,1931,121,133
19,February,1931,121,133
20,February,1931,121,133
21,February,1931,121,133
22,February,1931,121,133
23,February,1931,121,133
24,February,1931,121,133
25,February,1931,121,133
26,February,1931,121,133
27,February,1931,121,133
28,February,1931,121,133
1,March,1931,121,132
2,March,1931,121,132
3,March,1931,121,131
4,March,1931,121,131
5,March,1931,121,131
6,March,1931,121,131
7,March,1931,121,131
8,March,1931,121,131
9,March,1931,121,131
10,March,1931,121,131
11,March,1931,121,132
12,March,1931,121,132
13,March,1931,121,132
14,March,1931,121,132
15,March,1931,121,132
16,March,1931,121,132
17,March,1931,121,132
18,March,1931,121,132
19,March,1931,121,132
20,March,1931,121,132
21,March,1931,121,132
22,March,1931,121,132
23,March,1931,121,132
24,March,1931,121,132
25,March,1931,121,132
26,March,1931,121,132
27,March,1931,121,132
28,March,1931,121,132
29,March,1931,121,132
30,March,1931,121,132
31,March,1931,121,132
1,April,1931,121,132
2,April,1931,121,132
3,April,1931,121,132
4,April,1931,121,132
5,April,1931,121,132
6,April,1931,121,132
7,April,1931,121,132
8,April,1931,121,132
9,April,1931,121,132
10,April,1931,121,132
11,April,1931,121,132
12,April,1931,121,132
13,April,1931,121,132
14,April,1931,121,132
15,April,1931,121,132
16,April,1931,121,132
17,April,1931,121,132
18,April,1931,121,132
19,April,1931,121,132
20,April,1931,121,132
21,April,1931,121,132
22,April,1931,121,132
23,April,1931,121,132
24,April,1931,121,132
25,April,1931,121,132
26,April,1931,121,132
27,April,1931,121,132
28,April,1931,121,132
29,April,1931,121,132
30,April,1931,121,132
1,May,1931,121,132
2,May,1931,121,132
3,May,1931,121,132
4,May,1931,121,132
5,May,1931,121,132
6,May,1931,121,132
7,May,1931,121,132
8,May,1931,121,132
9,May,1931,121,132
10,May,1931,121,132
11,May,1931,121,132
12,May,1931,121,132
13,May,1931,121,132
14,May,1931,121,132
15,May,1931,121,132
16,May,1931,121,132
17,May,1931,121,132
18,May,1931,121,132
19,May,1931,121,132
20,May,1931,121,132
21,May,1931,121,132
22,May,1931,121,132
23,May,1931,121,132
24,May,1931,121,132
25,May,1931,121,132
26,May,1931,121,132
27,May,1931,121,132
28,May,1931,121,132
29,May,1931,121,132
30,May,1931,121,132
31,May,1931,121,132
1,June,1931,121,132
2,June,1931,121,132
3,June,1931,121,132
4,June,1931,121,132
5,June,1931,121,132
6,June,1931,121,132
7,June,1931,121,132
8,June,1931,121,132
9,June,1931,121,132
10,June,1931,121,132
11,June,1931,121,132
12,June,1931,121,132
13,June,1931,121,132
14,June,1931,121,132
15,June,1931,121,132
16,June,1931,121,132
17,June,1931,121,132
18,June,1931,121,132
19,June,1931,121,132
20,June,1931,121,132
21,June,1931,121,132
22,June,1931,121,132
23,June,1931,121,132
24,June,1931,121,132
25,June,1931,121,132
26,June,1931,121,132
27,June,1931,121,132
28,June,1931,121,132
29,June,1931,121,132
30,June,1931,121,132
1,July,1931,121,132
2,July,1931,121,132
3,July,1931,121,132
4,July,1931,121,132
5,July,1931,121,132
6,July,1931,121,132
7,July,1931,121,132
8,July,1931,121,132
9,July,1931,121,132
10,July,1931,121,132
11,July,1931,121,132
12,July,1931,121,132
13,July,1931,121,132
14,July,1931,121,132
15,July,1931,121,132
16,July,1931,121,132
17,July,1931,121,132
18,July,1931,121,132
19,July,1931,121,132
20,July,1931,121,132
21,July,1931,121,132
22,July,1931,121,132
23,July,1931,121,132
24,July,1931,121,132
25,July,1931,121,132
26,July,1931,121,132
27,July,1931,121,132
28,July,1931,121,132
29,July,1931,121,132
30,July,1931,121,132
31,July,1931,121,132
1,August,1931,121,132
2,August,1931,121,132
3,August,1931,121,132
4,August,1931,121,132
5,August,1931,121,132
6,August,1931,121,132
7,August,1931,121,132
8,August,1931,121,132
9,August,1931,121,132
10,August,1931,121,132
11,August,1931,121,132
12,August,1931,121,132
13,August,1931,121,132
14,August,1931,121,132
15,August,1931,121,132
16,August,1931,121,132
17,August,1931,121,132
18,August,1931,121,132
19,August,1931,121,132
20,August,1931,121,132
21,August,1931,121,132
22,August,1931,121,132
23,August,1931,121,132
24,August,1931,121,132
25,August,1931,121,132
26,August,1931,121,132
27,August,1931,121,132
28,August,1931,121,132
29,August,1931,121,132
30,August,1931,121,132
31,August,1931,121,132
1,September,1931,121,132
2,September,1931,121,132
3,September,1931,121,132
4,September,1931,121,132
5,September,1931,121,132
6,September,1931,121,132
7,September,1931,121,132
8,September,1931,121,132
9,September,1931,121,132
10,September,1931,121,132
11,September,1931,121,132
12,September,1931,121,132
13,September,1931,121,132
14,September,1931,121,132
15,September,1931,121,132
16,September,1931,121,132
17,September,1931,121,132
18,September,1931,120,132
19,September,1931,120,132
20,September,1931,120,132
21,September,1931,120,132
22,September,1931,119,132
23,September,1931,119,132
24,September,1931,119,132
25,September,1931,119,132
26,September,1931,119,132
27,September,1931,119,132
28,September,1931,119,132
29,September,1931,119,132
30,September,1931,119,132
1,October,1931,119,132
2,October,1931,119,132
3,October,1931,119,132
4,October,1931,119,132
5,October,1931,119,131
6,October,1931,119,131
7,October,1931,119,131
8,October,1931,119,131
9,October,1931,119,131
10,October,1931,119,131
11,October,1931,119,131
12,October,1931,119,131
13,October,1931,118,131
14,October,1931,118,131
15,October,1931,118,131
16,October,1931,118,131
17,October,1931,118,131
18,October,1931,118,131
19,October,1931,118,131
20,October,1931,118,131
21,October,1931,118,131
22,October,1931,118,131
23,October,1931,118,131
24,October,1931,118,131
25,October,1931,118,131
26,October,1931,118,131
27,October,1931,118,131
28,October,1931,118,131
29,October,1931,118,131
30,October,1931,118,131
31,October,1931,118,131
1,November,1931,118,131
2,November,1931,118,131
3,November,1931,118,131
4,November,1931,118,131
5,November,1931,118,131
6,November,1931,118,131
7,November,1931,118,131
8,November,1931,118,131
9,November,1931,118,131
10,November,1931,118,131
11,November,1931,118,131
12,November,1931,118,131
13,November,1931,118,131
14,November,1931,118,131
15,November,1931,117,131
16,November,1931,117,131
17,November,1931,117,130
18,November,1931,117,130
19,November,1931,117,130
20,November,1931,117,130
21,November,1931,117,129
22,November,1931,117,129
23,November,1931,117,129
24,November,1931,117,129
25,November,1931,117,129
26,November,1931,117,128
27,November,1931,117,128
28,November,1931,116,128
29,November,1931,116,128
30,November,1931,116,128
1,December,1931,116,128
2,December,1931,116,128
3,December,1931,116,128
4,December,1931,116,128
5,December,1931,116,128
6,December,1931,116,128
7,December,1931,116,128
8,December,1931,116,128
9,December,1931,116,128
10,December,1931,116,128
11,December,1931,116,128
12,December,1931,116,128
13,December,1931,116,128
14,December,1931,116,128
15,December,1931,116,128
16,December,1931,116,128
17,December,1931,116,127
18,December,1931,116,127
19,December,1931,116,127
20,December,1931,116,126
21,December,1931,116,126
22,December,1931,116,126
23,December,1931,116,124
24,December,1931,116,124
25,December,1931,116,123
26,December,1931,116,123
27,December,1931,116,122
28,December,1931,116,122
29,December,1931,116,122
30,December,1931,116,120
31,December,1931,116,120
1,January,1932,116,120
2,January,1932,116,120
3,January,1932,116,121
4,January,1932,116,121
5,January,1932,116,120
6,January,1932,116,120
7,January,1932,115,120
8,January,1932,115,120
9,January,1932,115,120
10,January,1932,115,120
11,January,1932,115,120
12,January,1932,114,120
13,January,1932,114,120
14,January,1932,114,120
15,January,1932,114,120
16,January,1932,114,120
17,January,1932,114,120
18,January,1932,114,120
19,January,1932,114,120
20,January,1932,114,120
21,January,1932,114,120
22,January,1932,114,120
23,January,1932,114,120
24,January,1932,114,120
25,January,1932,114,120
26,January,1932,114,120
27,January,1932,114,120
28,January,1932,114,120
29,January,1932,114,120
30,January,1932,114,120
31,January,1932,114,120
1,February,1932,114,120
2,February,1932,114,120
3,February,1932,114,120
4,February,1932,114,120
5,February,1932,114,120
6,February,1932,114,120
7,February,1932,114,120
8,February,1932,114,120
9,February,1932,114,120
10,February,1932,114,120
11,February,1932,114,120
12,February,1932,114,120
13,February,1932,114,120
14,February,1932,114,120
15,February,1932,114,120
16,February,1932,114,120
17,February,1932,114,120
18,February,1932,114,120
19,February,1932,114,120
20,February,1932,114,120
21,February,1932,114,120
22,February,1932,114,120
23,February,1932,114,120
24,February,1932,114,120
25,February,1932,114,120
26,February,1932,114,120
27,February,1932,114,120
28,February,1932,114,120
29,February,1932,114,120
1,March,1932,114,120
2,March,1932,114,120
3,March,1932,114,120
4,March,1932,114,120
5,March,1932,114,120
6,March,1932,114,120
7,March,1932,114,120
8,March,1932,114,120
9,March,1932,114,120
10,March,1932,114,120
11,March,1932,114,120
12,March,1932,114,120
13,March,1932,114,120
14,March,1932,114,120
15,March,1932,114,120
16,March,1932,114,120
17,March,1932,114,120
18,March,1932,114,120
19,March,1932,114,120
20,March,1932,114,120
21,March,1932,114,120
22,March,1932,114,120
23,March,1932,114,120
24,March,1932,114,120
25,March,1932,114,120
26,March,1932,114,120
27,March,1932,114,120
28,March,1932,114,120
29,March,1932,114,120
30,March,1932,114,120
31,March,1932,114,120
1,April,1932,114,120
2,April,1932,114,120
3,April,1932,114,120
4,April,1932,114,120
5,April,1932,114,120
6,April,1932,114,120
7,April,1932,114,120
8,April,1932,114,120
9,April,1932,114,120
10,April,1932,114,120
11,April,1932,114,120
12,April,1932,114,120
13,April,1932,114,120
14,April,1932,114,120
15,April,1932,114,120
16,April,1932,114,120
17,April,1932,114,120
18,April,1932,114,120
19,April,1932,114,120
20,April,1932,114,120
21,April,1932,114,120
22,April,1932,114,120
23,April,1932,114,120
24,April,1932,114,120
25,April,1932,114,120
26,April,1932,114,120
27,April,1932,114,120
28,April,1932,114,120
29,April,1932,114,120
30,April,1932,114,120
1,May,1932,114,120
2,May,1932,114,120
3,May,1932,114,120
4,May,1932,114,120
5,May,1932,114,120
6,May,1932,114,120
7,May,1932,114,120
8,May,1932,114,120
9,May,1932,114,120
10,May,1932,114,120
11,May,1932,114,120
12,May,1932,114,120
13,May,1932,114,120
14,May,1932,114,120
15,May,1932,114,120
16,May,1932,114,120
17,May,1932,114,120
18,May,1932,114,120
19,May,1932,114,120
20,May,1932,114,120
21,May,1932,114,120
22,May,1932,115,120
23,May,1932,115,120
24,May,1932,115,120
25,May,1932,115,120
26,May,1932,115,120
27,May,1932,115,120
28,May,1932,115,120
29,May,1932,115,120
30,May,1932,115,120
31,May,1932,115,120
1,June,1932,115,120
2,June,1932,115,120
3,June,1932,114,120
4,June,1932,114,120
5,June,1932,114,120
6,June,1932,114,120
7,June,1932,113,120
8,June,1932,113,120
9,June,1932,113,120
10,June,1932,113,120
11,June,1932,113,120
12,June,1932,113,120
13,June,1932,113,120
14,June,1932,113,120
15,June,1932,113,120
16,June,1932,113,120
17,June,1932,113,120
18,June,1932,113,120
19,June,1932,113,120
20,June,1932,113,120
21,June,1932,113,120
22,June,1932,113,120
23,June,1932,113,120
24,June,1932,113,120
25,June,1932,113,120
26,June,1932,113,120
27,June,1932,113,120
28,June,1932,113,120
29,June,1932,113,120
30,June,1932,113,120
1,July,1932,113,120
2,July,1932,113,121
3,July,1932,113,121
4,July,1932,113,121
5,July,1932,113,121
6,July,1932,112,121
7,July,1932,112,121
8,July,1932,112,121
9,July,1932,112,121
10,July,1932,112,121
11,July,1932,112,121
12,July,1932,112,121
13,July,1932,112,121
14,July,1932,112,121
15,July,1932,112,121
16,July,1932,112,121
17,July,1932,112,121
18,July,1932,112,121
19,July,1932,112,121
20,July,1932,112,121
21,July,1932,112,121
22,July,1932,112,121
23,July,1932,112,121
24,July,1932,112,121
25,July,1932,112,121
26,July,1932,112,121
27,July,1932,112,121
28,July,1932,112,121
29,July,1932,112,121
30,July,1932,112,121
31,July,1932,112,121
1,August,1932,112,121
2,August,1932,112,121
3,August,1932,112,121
4,August,1932,112,121
5,August,1932,112,121
6,August,1932,112,121
7,August,1932,112,121
8,August,1932,112,121
9,August,1932,112,121
10,August,1932,112,121
11,August,1932,112,121
12,August,1932,112,121
13,August,1932,112,121
14,August,1932,112,121
15,August,1932,112,121
16,August,1932,112,121
17,August,1932,112,121
18,August,1932,112,121
19,August,1932,112,121
20,August,1932,112,121
21,August,1932,112,121
22,August,1932,112,121
23,August,1932,112,121
24,August,1932,112,121
25,August,1932,112,121
26,August,1932,112,121
27,August,1932,112,121
28,August,1932,112,121
29,August,1932,112,121
30,August,1932,112,121
31,August,1932,112,121
1,September,1932,112,121
2,September,1932,112,121
3,September,1932,112,121
4,September,1932,112,121
5,September,1932,112,121
6,September,1932,112,121
7,September,1932,112,121
8,September,1932,112,121
9,September,1932,112,121
10,September,1932,112,121
11,September,1932,112,121
12,September,1932,112,121
13,September,1932,112,121
14,September,1932,112,121
15,September,1932,112,121
16,September,1932,112,121
17,September,1932,112,121
18,September,1932,112,121
19,September,1932,112,121
20,September,1932,112,121
21,September,1932,112,121
22,September,1932,112,121
23,September,1932,112,121
24,September,1932,112,121
25,September,1932,112,121
26,September,1932,112,121
27,September,1932,112,121
28,September,1932,112,121
29,September,1932,112,121
30,September,1932,112,121
1,October,1932,112,121
2,October,1932,112,121
3,October,1932,112,121
4,October,1932,112,121
5,October,1932,112,121
6,October,1932,112,121
7,October,1932,112,121
8,October,1932,112,121
9,October,1932,112,121
10,October,1932,112,121
11,October,1932,112,121
12,October,1932,112,121
13,October,1932,112,121
14,October,1932,112,121
15,October,1932,112,121
16,October,1932,112,121
17,October,1932,112,121
18,October,1932,112,121
19,October,1932,112,121
20,October,1932,112,121
21,October,1932,112,121
22,October,1932,112,121
23,October,1932,112,121
24,October,1932,112,121
25,October,1932,112,121
26,October,1932,112,121
27,October,1932,112,121
28,October,1932,112,121
29,October,1932,112,121
30,October,1932,112,121
31,October,1932,112,121
1,November,1932,112,120
2,November,1932,112,120
3,November,1932,112,120
4,November,1932,112,120
5,November,1932,112,120
6,November,1932,112,120
7,November,1932,112,120
8,November,1932,112,120
9,November,1932,112,120
10,November,1932,112,120
11,November,1932,112,120
12,November,1932,112,120
13,November,1932,112,120
14,November,1932,112,120
15,November,1932,112,120
16,November,1932,112,120
17,November,1932,112,120
18,November,1932,112,120
19,November,1932,112,120
20,November,1932,112,120
21,November,1932,112,120
22,November,1932,112,120
23,November,1932,112,121
24,November,1932,112,121
25,November,1932,112,121
26,November,1932,112,121
27,November,1932,112,121
28,November,1932,112,121
29,November,1932,112,121
30,November,1932,112,121
1,December,1932,112,121
2,December,1932,112,121
3,December,1932,112,121
4,December,1932,112,121
5,December,1932,112,121
6,December,1932,112,121
7,December,1932,112,121
8,December,1932,112,121
9,December,1932,112,121
10,December,1932,112,121
11,December,1932,112,121
12,December,1932,112,121
13,December,1932,112,121
14,December,1932,112,121
15,December,1932,112,121
16,December,1932,112,121
17,December,1932,112,121
18,December,1932,112,121
19,December,1932,112,121
20,December,1932,112,121
21,December,1932,112,121
