Symbol,Company Name,Sector,Industry,Country,Market Cap
WYNN,"Wynn Resorts, Limited",Consumer Discretionary,Resorts & Casinos,United States,10746063856.0
X,United States Steel Corporation,Industrials,Steel,United States,8371993214.0
XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,United States,29956205349.0
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,United States,468046914454.0
XRAY,DENTSPLY SIRONA Inc.,Health Care,Medical Instruments & Supplies,United States,6339095347.0
XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery,United States,32010402681.0
YUM,"Yum! Brands, Inc.",Consumer Discretionary,Restaurants,United States,39885044416.0
Z,"Zillow Group, Inc.",Consumer Discretionary,Internet Content & Information,United States,10195469129.0
ZBH,"Zimmer Biomet Holdings, Inc.",Health Care,Medical Devices,United States,24476778026.0
ZTS,Zoetis Inc.,Health Care,Drug Manufacturers - Specialty & Generic,United States,72535308358.0
