geotype,geoid,geoname,count,discuss,discussOppose,reducetax,reducetaxOppose,prioritycleanenergy,prioritycleanenergyOppose,localofficials,localofficialsOppose,governor,governorOppose,congress,congressOppose,president,presidentOppose,corporations,corporationsOppose,citizens,citizensOppose,regulate,regulateOppose,drilloffshore,drilloffshoreOppose,drillanwr,drillanwrOppose,fundrenewables,fundrenewablesOppose,rebates,rebatesOppose,mediaweekly,mediaweeklyOppose,gwvoteimp,gwvoteimpOppose,generaterenewable,generaterenewableOppose,exp,expOppose,teachgw,teachgwOppose,priority,priorityOppose,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,worried,worriedOppose,personal,personalOppose,harmus,harmusOppose,devharm,devharmOppose,futuregen,futuregenOppose,harmplants,harmplantsOppose,timing,timingOppose,affectweather,affectweatherOppose
state,13,Georgia,8209779,32.95,67.05,66.48,33.52,63.89,11.90,57.37,17.49,56.14,18.65,60.45,22.76,52.96,26.51,67.44,14.37,60.71,15.44,72.64,27.36,57.81,42.19,32.80,67.20,78.57,21.43,72.19,27.81,28.77,71.24,57.43,32.60,77.60,22.40,43.74,56.26,74.13,25.87,54.51,25.94,70.59,15.25,54.42,32.26,51.60,23.67,61.86,38.14,46.27,43.20,59.30,29.52,61.26,23.18,64.15,21.68,65.20,21.82,58.46,41.54,60.57,7.71
state,15,Hawaii,1145269,42.20,57.80,72.19,27.81,70.82,9.76,60.68,18.79,56.58,19.56,67.03,22.41,57.23,25.01,71.17,14.44,63.09,14.72,76.13,23.87,53.11,46.89,27.02,72.98,82.38,17.62,76.83,23.17,32.80,67.21,61.04,29.01,82.89,17.12,53.04,46.96,78.45,21.55,62.72,19.02,77.15,12.97,62.75,25.64,61.64,21.37,69.90,30.10,53.07,39.71,67.62,24.89,73.66,18.22,75.79,16.34,75.60,17.58,63.57,36.43,67.49,6.37
state,16,Idaho,1399331,32.80,67.20,60.83,39.17,60.79,15.15,51.27,21.76,50.69,20.75,56.41,29.13,47.85,33.64,63.49,16.62,55.44,17.37,70.58,29.42,59.50,40.50,34.49,65.51,76.60,23.40,70.63,29.37,30.54,69.46,52.84,37.16,78.54,21.46,39.84,60.16,71.86,28.14,47.38,33.67,67.11,21.04,52.36,34.15,49.14,29.87,57.74,42.26,41.11,50.11,55.30,35.13,60.64,27.64,62.28,26.21,63.43,26.22,51.90,48.10,56.44,9.39
state,17,Illinois,9937158,37.06,62.94,71.01,28.99,66.95,10.07,56.89,16.69,57.60,17.74,63.69,20.03,55.25,23.56,71.75,12.09,63.65,12.13,77.63,22.37,55.84,44.16,28.47,71.53,82.77,17.23,76.46,23.54,32.09,67.91,56.70,33.20,78.18,21.82,43.61,56.39,75.96,24.05,56.90,21.02,74.39,14.06,59.80,29.51,56.78,22.39,65.81,34.19,45.18,46.07,63.52,27.68,68.31,20.35,72.19,17.23,73.08,18.04,59.26,40.74,66.31,6.92
state,18,Indiana,5206940,29.60,70.40,60.85,39.16,58.43,15.37,49.93,20.33,50.82,20.40,53.42,27.53,46.23,32.21,63.55,15.31,54.71,16.60,70.26,29.74,62.11,37.89,34.99,65.01,76.02,23.98,70.88,29.12,27.72,72.29,49.74,39.88,73.63,26.37,35.30,64.70,68.04,31.96,45.52,30.43,64.83,21.43,49.85,36.93,47.04,29.06,54.03,45.97,37.51,51.64,53.48,36.03,59.36,28.07,62.35,25.64,62.37,27.89,50.25,49.75,54.12,10.04
state,19,Iowa,2458517,32.92,67.08,63.45,36.55,60.49,12.90,49.31,20.26,46.75,21.24,56.06,26.33,47.06,30.44,66.91,13.65,57.83,14.80,69.77,30.23,56.39,43.61,32.96,67.04,77.16,22.84,71.39,28.61,30.60,69.41,47.41,42.16,74.62,25.38,36.93,63.07,71.45,28.55,46.28,26.79,67.20,19.73,53.06,34.03,53.06,27.53,58.08,41.92,36.74,54.99,55.72,35.56,63.38,26.26,68.80,22.56,67.52,25.17,50.44,49.56,57.54,9.17
state,20,Kansas,2234509,32.15,67.85,62.57,37.43,60.20,14.44,51.15,20.44,50.18,20.74,55.26,25.79,47.77,30.36,64.66,14.96,56.68,16.43,69.56,30.44,60.20,39.80,35.28,64.72,76.78,23.22,71.02,28.99,30.24,69.76,51.25,38.60,76.12,23.88,39.18,60.82,70.80,29.20,47.75,29.67,68.17,19.94,52.82,34.46,49.42,27.95,58.21,41.79,39.87,51.65,56.18,35.40,62.03,27.30,66.43,24.25,65.86,26.08,52.18,47.82,57.45,9.55
state,21,Kentucky,3491456,28.42,71.58,57.48,42.52,55.49,16.18,48.57,21.64,47.34,22.49,52.67,30.81,44.57,34.96,61.73,15.99,53.47,17.96,67.59,32.41,64.37,35.63,36.96,63.04,73.47,26.53,68.80,31.20,28.38,71.62,49.14,40.45,72.66,27.34,34.64,65.37,67.36,32.64,42.50,33.30,61.57,22.70,47.76,37.78,45.15,30.16,52.25,47.75,36.69,53.58,51.80,37.62,57.41,30.74,60.05,29.07,59.49,30.56,48.38,51.62,48.80,10.42
state,22,Louisiana,3557968,29.38,70.62,64.64,35.36,60.60,13.88,53.44,18.99,51.73,20.03,55.25,26.55,48.65,29.85,63.29,15.39,56.19,16.72,69.07,30.93,68.02,31.98,35.75,64.25,73.26,26.74,69.24,30.76,24.79,75.21,51.66,38.00,75.97,24.03,41.07,58.93,72.49,27.51,50.84,27.31,66.50,17.95,51.29,35.48,45.91,25.90,58.42,41.58,42.24,45.49,56.21,31.55,59.76,24.90,62.94,23.39,63.28,23.94,54.53,45.47,55.60,8.90
state,23,Maine,1116135,37.08,62.92,64.24,35.76,63.67,13.03,53.94,19.88,52.69,19.61,60.00,22.80,52.36,25.96,68.44,14.24,60.42,14.98,74.00,26.00,54.38,45.62,28.41,71.59,78.50,21.50,73.45,26.55,38.38,61.63,56.62,33.50,77.41,22.59,44.10,55.90,72.64,27.37,53.34,24.15,71.88,16.63,56.04,31.35,57.10,24.72,62.30,37.71,42.78,51.64,60.97,32.76,67.17,24.96,70.56,22.19,69.30,24.81,57.98,42.02,64.48,8.94
state,24,Maryland,4801414,40.01,59.99,74.59,25.41,72.99,8.01,61.96,14.87,59.70,15.93,69.39,18.01,59.79,20.99,74.72,10.93,67.66,11.45,78.39,21.61,49.65,50.35,23.48,76.52,83.81,16.19,77.81,22.19,32.15,67.85,58.93,31.22,81.51,18.49,49.27,50.74,81.94,18.06,62.92,16.32,77.69,10.37,63.02,25.77,63.44,19.40,70.24,29.76,49.71,40.63,66.27,23.36,72.47,15.95,75.37,13.62,75.58,14.96,63.49,36.51,69.56,5.71
state,25,Massachusetts,5617189,42.76,57.24,73.18,26.83,71.54,9.03,59.35,16.50,58.44,16.33,68.11,17.53,59.59,20.33,74.41,11.93,66.78,11.31,79.50,20.50,49.41,50.59,23.69,76.31,84.34,15.66,78.58,21.42,39.11,60.89,61.05,29.39,80.89,19.11,50.24,49.77,78.80,21.20,62.22,17.28,78.11,11.90,63.88,25.97,65.58,19.85,71.31,28.69,48.75,44.76,68.19,25.52,72.74,18.33,76.81,15.32,77.41,16.33,64.05,35.95,72.35,6.31
state,26,Michigan,7908455,34.50,65.50,68.85,31.15,65.76,11.66,55.24,17.55,55.73,18.69,62.05,21.48,53.04,25.29,69.52,13.02,60.72,13.99,76.15,23.85,56.58,43.42,29.24,70.76,79.95,20.05,74.48,25.52,30.39,69.61,52.41,37.45,79.76,20.24,41.71,58.29,76.55,23.45,53.39,23.81,70.98,15.77,57.93,30.23,53.65,24.59,62.21,37.80,42.68,48.50,60.44,30.42,65.33,22.54,70.19,19.21,69.59,20.70,56.74,43.26,63.14,8.11
state,27,Minnesota,4388205,37.90,62.10,67.56,32.44,64.35,10.69,53.57,18.72,50.37,19.73,61.07,22.36,51.99,25.47,70.85,11.76,62.65,12.88,73.39,26.61,52.59,47.41,28.63,71.38,80.55,19.45,73.75,26.25,35.64,64.36,53.25,36.51,76.87,23.13,42.94,57.07,74.21,25.79,52.21,24.52,72.96,15.64,57.96,30.29,60.09,23.85,64.07,35.93,41.45,52.41,61.40,31.86,68.74,22.56,73.66,19.05,72.81,21.16,56.48,43.52,64.96,7.82
state,28,Mississippi,2267771,27.81,72.19,64.59,35.41,61.64,13.26,53.61,17.67,52.27,18.59,57.19,25.02,49.29,28.64,63.68,14.84,56.33,16.29,70.50,29.50,69.53,30.47,36.59,63.41,74.53,25.47,70.19,29.81,22.90,77.10,48.59,41.03,77.09,22.91,38.11,61.89,73.82,26.18,48.40,27.77,63.52,17.60,51.28,34.99,44.71,26.22,56.79,43.21,41.09,44.60,55.44,30.71,56.10,24.18,59.93,22.74,61.40,23.28,52.59,47.41,51.97,8.70
state,29,Missouri,4779948,31.49,68.51,63.21,36.79,60.98,14.27,51.65,20.09,50.30,19.52,56.04,25.25,48.28,29.76,64.74,15.69,56.49,16.47,69.96,30.04,61.57,38.43,34.15,65.85,76.60,23.40,70.93,29.08,29.27,70.73,50.95,38.83,76.26,23.74,38.98,61.02,71.13,28.87,48.23,26.90,67.46,19.42,52.34,34.60,49.12,27.57,57.87,42.13,39.79,50.04,55.95,34.37,61.00,26.80,65.76,23.48,65.23,25.64,52.55,47.45,57.33,9.39
state,30,Montana,860496,35.43,64.57,60.63,39.37,59.13,12.54,48.51,21.51,44.07,23.97,54.55,30.77,45.33,33.85,66.67,13.34,58.09,14.16,69.29,30.71,56.66,43.35,32.60,67.40,77.74,22.26,71.23,28.77,33.05,66.95,49.27,40.25,73.97,26.03,36.76,63.24,70.28,29.72,44.85,32.45,66.76,20.77,52.04,34.51,52.51,28.45,57.80,42.20,36.84,55.08,55.30,35.90,61.79,26.67,64.94,24.13,65.65,25.66,50.03,49.97,57.53,8.75
state,31,Nebraska,1478502,31.92,68.09,62.73,37.27,58.40,13.87,49.33,20.42,47.50,20.63,53.46,26.72,46.42,31.48,64.43,15.08,56.53,15.72,69.01,30.99,61.27,38.73,34.71,65.30,76.93,23.07,70.59,29.42,29.26,70.74,48.23,41.50,75.30,24.70,36.91,63.09,70.34,29.66,45.68,31.03,66.68,20.47,52.44,34.93,49.15,28.35,57.53,42.47,37.47,54.00,55.10,36.22,61.22,27.18,65.36,24.39,65.65,25.72,50.15,49.85,56.28,9.45
state,32,Nevada,2415125,35.27,64.73,64.35,35.65,64.73,12.62,56.22,19.82,53.57,20.33,60.74,25.21,51.39,28.30,66.96,14.69,60.01,15.33,72.33,27.67,57.52,42.48,31.99,68.01,77.40,22.60,71.81,28.19,31.05,68.95,57.26,32.69,77.57,22.44,44.33,55.67,74.20,25.80,53.80,26.26,71.13,16.46,55.98,31.08,53.53,25.28,63.12,36.88,47.07,43.73,60.90,29.21,65.61,22.80,67.76,21.14,67.66,22.57,57.35,42.65,61.34,8.09
state,33,New Hampshire,1123423,37.59,62.41,67.70,32.30,66.12,11.56,53.52,18.57,52.55,18.49,62.02,22.12,53.09,25.76,69.75,13.59,61.37,13.62,75.01,24.99,55.04,44.97,29.28,70.72,79.89,20.11,74.73,25.27,35.18,64.82,52.17,37.79,79.65,20.35,43.11,56.89,75.02,24.99,53.81,23.17,71.71,16.14,58.67,29.46,57.26,24.29,64.03,35.97,41.42,51.67,61.38,31.77,67.11,23.14,72.21,19.83,71.16,21.53,56.62,43.38,64.77,8.26
state,34,New Jersey,7233503,38.11,61.89,74.68,25.32,70.51,8.89,60.42,16.47,60.37,16.27,68.63,18.51,59.27,21.23,74.23,11.51,66.14,11.67,79.88,20.12,51.60,48.40,26.84,73.16,82.07,17.94,77.83,22.18,31.70,68.30,59.79,30.49,81.61,18.39,46.93,53.07,80.63,19.37,60.69,16.62,77.10,11.42,63.70,26.28,62.82,20.85,70.55,29.45,49.46,42.38,66.68,24.40,73.88,16.30,76.15,14.36,76.16,15.81,61.11,38.89,69.00,5.99
state,35,New Mexico,1638984,36.38,63.62,62.93,37.07,64.07,12.64,56.10,19.92,52.48,22.05,59.62,25.99,50.46,28.99,67.56,14.20,61.19,14.75,70.59,29.41,52.53,47.47,31.28,68.72,76.16,23.85,71.00,29.00,31.58,68.43,56.68,33.20,75.71,24.29,43.40,56.60,72.66,27.34,53.42,26.28,70.97,16.76,56.36,30.66,54.92,25.35,63.66,36.34,47.13,44.79,61.40,29.50,67.25,22.67,67.75,21.79,67.97,23.26,56.68,43.32,60.84,8.34
state,36,New York,15865936,38.84,61.16,75.02,24.98,71.16,8.84,61.76,16.63,61.21,17.88,68.29,17.58,60.39,20.37,73.71,11.79,66.30,11.76,80.65,19.35,54.63,45.37,25.90,74.10,83.88,16.12,78.21,21.79,33.95,66.05,65.56,25.26,80.71,19.29,48.53,51.47,80.61,19.39,62.63,18.40,77.89,11.32,62.98,27.29,62.67,20.08,71.58,28.42,51.89,40.38,67.74,24.01,71.89,17.40,75.05,14.62,76.10,15.20,63.58,36.42,70.45,5.52
state,37,North Carolina,8186325,34.76,65.24,67.82,32.18,66.23,11.22,56.79,17.55,55.16,20.01,61.51,23.01,53.60,27.21,68.49,14.31,61.41,14.76,73.52,26.48,58.51,41.49,31.52,68.48,79.45,20.55,73.13,26.87,29.69,70.31,54.32,35.57,79.21,20.79,43.35,56.65,76.50,23.50,54.90,23.55,71.71,15.16,56.48,30.51,53.90,24.11,62.74,37.26,44.39,45.54,59.45,29.68,65.17,21.98,67.12,20.20,68.30,20.90,57.12,42.88,61.27,7.63
state,38,North Dakota,594141,28.70,71.30,54.02,45.99,50.47,16.97,43.51,23.45,40.66,24.11,44.42,33.89,38.83,38.62,60.16,15.26,51.77,17.37,62.40,37.60,68.38,31.62,39.99,60.01,72.99,27.01,67.18,32.82,28.45,71.55,44.56,44.99,67.53,32.47,30.59,69.41,62.59,37.41,37.23,36.97,60.19,27.16,44.51,41.61,43.49,32.61,49.35,50.65,31.58,60.19,48.48,43.26,53.21,35.15,59.37,31.67,59.08,34.06,43.61,56.39,48.42,11.56
state,39,Ohio,9181361,31.89,68.12,65.48,34.53,61.69,13.48,53.43,18.72,55.10,18.05,59.32,23.96,50.36,28.34,67.04,14.04,57.68,15.33,73.07,26.93,60.85,39.15,33.95,66.05,78.21,21.79,72.12,27.88,28.78,71.22,51.22,38.58,77.76,22.24,38.97,61.03,72.34,27.66,49.83,27.63,68.55,17.87,54.25,33.25,52.43,26.76,58.32,41.68,40.34,50.40,57.09,33.04,62.60,24.94,66.41,22.36,66.14,23.79,53.85,46.15,58.92,8.99
state,40,Oklahoma,3020054,28.72,71.28,59.97,40.04,57.67,16.81,50.28,22.02,50.18,20.50,53.33,31.47,45.24,35.90,60.95,16.91,52.60,18.91,66.86,33.14,63.55,36.45,39.86,60.14,72.29,27.71,68.36,31.64,25.84,74.16,50.25,39.40,74.85,25.15,37.74,62.26,67.47,32.53,46.25,30.80,64.23,23.07,48.98,37.35,43.78,30.14,54.72,45.28,39.32,50.33,52.78,37.01,57.01,29.98,60.31,28.15,60.61,29.30,49.96,50.05,51.35,10.42
state,41,Oregon,3373397,42.82,57.18,67.02,32.98,68.11,11.09,57.47,20.46,51.77,25.17,64.59,23.98,55.75,25.64,70.91,13.77,63.70,14.29,74.88,25.12,46.18,53.82,25.81,74.19,79.89,20.11,74.16,25.84,41.27,58.73,60.98,29.47,79.44,20.56,49.97,50.03,75.50,24.50,58.76,23.66,75.31,14.80,59.50,28.48,61.25,22.67,66.58,33.43,47.98,46.59,64.63,29.16,71.41,21.04,73.20,19.22,73.30,20.61,62.27,37.73,66.84,7.48
state,42,Pennsylvania,10324645,33.73,66.27,68.75,31.25,64.17,11.18,55.10,18.81,53.60,20.43,60.75,23.04,52.68,26.14,69.24,13.07,61.23,13.81,75.03,24.97,58.78,41.22,29.99,70.01,77.92,22.08,74.08,25.92,30.68,69.32,54.58,35.25,78.29,21.71,39.93,60.07,74.53,25.47,52.48,25.26,70.42,16.34,57.33,30.73,55.47,24.49,63.36,36.64,42.99,48.81,60.33,31.17,65.22,23.33,68.37,20.94,68.74,21.25,55.31,44.70,62.25,7.58
state,44,Rhode Island,885926,36.27,63.74,67.51,32.49,66.11,12.49,56.00,18.37,55.66,17.72,62.41,21.08,54.39,24.81,68.40,14.58,60.90,14.78,74.95,25.06,54.02,45.98,29.37,70.63,78.97,21.03,74.36,25.64,33.45,66.55,55.78,34.38,80.08,19.92,45.30,54.71,75.46,24.54,56.03,21.88,72.46,15.56,58.53,29.50,56.46,23.90,64.67,35.33,45.36,46.67,62.40,29.89,67.65,22.59,71.48,19.97,70.47,21.72,58.79,41.21,64.54,8.36
state,45,South Carolina,4038826,31.15,68.85,64.19,35.81,62.84,13.16,54.87,18.49,54.49,19.18,58.19,25.36,50.33,29.85,65.30,14.93,57.94,16.50,70.45,29.55,60.12,39.88,33.62,66.39,76.65,23.35,70.89,29.11,26.99,73.01,52.27,37.56,77.65,22.36,40.31,59.69,73.39,26.61,50.77,27.13,68.13,17.24,52.18,33.61,49.54,26.28,58.31,41.69,42.18,46.67,55.69,31.97,61.85,23.93,63.91,22.43,63.77,24.14,54.23,45.77,56.32,8.65
state,46,South Dakota,673731,30.62,69.38,62.33,37.67,58.20,14.78,48.94,20.92,48.42,20.16,54.32,27.28,46.31,32.60,63.40,16.00,54.70,16.91,68.86,31.15,65.00,35.00,36.76,63.25,76.57,23.43,70.46,29.54,28.21,71.79,47.63,42.09,76.30,23.70,36.53,63.47,70.13,29.87,45.22,30.42,65.45,21.57,51.64,35.37,47.21,29.46,56.17,43.83,37.05,53.09,53.85,36.90,58.76,28.59,64.53,25.33,64.54,26.70,49.26,50.74,54.81,9.78
state,47,Tennessee,5397291,29.09,70.91,62.10,37.91,59.33,15.09,52.73,19.77,52.52,19.43,56.21,26.95,48.72,31.45,62.64,16.88,55.05,18.00,70.35,29.65,64.20,35.80,36.72,63.28,75.52,24.48,70.65,29.35,27.18,72.82,51.70,38.18,77.53,22.48,38.75,61.25,70.44,29.56,46.90,31.13,63.97,19.97,51.34,35.05,46.45,28.29,56.09,43.91,40.87,47.69,54.92,33.77,57.96,26.88,61.07,25.12,61.56,26.28,52.12,47.88,52.32,9.43
state,48,Texas,21847213,33.05,66.95,66.15,33.85,63.44,13.55,57.23,19.22,56.38,18.84,59.13,24.92,52.03,28.77,66.26,15.75,59.30,16.26,71.19,28.81,60.65,39.35,31.56,68.44,75.67,24.33,70.49,29.51,28.55,71.45,57.81,32.32,77.19,22.81,45.16,54.84,73.46,26.54,55.46,24.98,71.69,16.29,56.07,32.04,51.94,24.77,63.67,36.33,47.69,42.44,60.87,29.43,65.50,22.75,68.33,20.80,68.14,22.31,57.93,42.08,59.93,8.37
state,49,Utah,2347812,35.07,64.93,60.11,39.89,59.62,13.73,50.79,21.80,48.21,21.89,55.13,29.87,46.71,33.47,65.82,14.46,57.60,15.26,69.76,30.24,55.97,44.03,34.36,65.65,77.86,22.14,71.49,28.51,33.39,66.61,53.79,36.04,75.08,24.92,39.00,61.00,70.41,29.59,47.03,32.88,68.41,20.25,51.90,34.89,52.70,28.69,58.52,41.48,40.18,51.39,56.18,35.27,61.10,27.54,63.72,25.66,64.95,26.04,52.00,48.00,57.90,8.90
state,50,Vermont,526996,40.92,59.08,69.22,30.78,68.46,10.25,55.20,18.02,52.68,19.07,64.29,20.22,55.52,22.90,72.49,12.11,64.54,12.39,76.62,23.38,48.63,51.37,25.67,74.33,81.33,18.67,75.91,24.09,40.02,59.98,55.83,34.23,79.39,20.61,46.30,53.70,76.19,23.81,56.75,20.07,74.52,14.26,60.97,27.66,62.06,22.07,66.98,33.02,43.66,51.13,64.54,29.81,70.85,21.44,75.21,18.09,74.21,20.01,60.18,39.83,69.06,7.59
state,51,Virginia,6747684,37.89,62.11,70.71,29.29,69.10,9.84,58.50,16.70,57.11,18.76,64.58,21.15,56.03,25.17,71.36,13.39,64.00,13.48,75.61,24.39,54.10,45.90,28.68,71.32,81.96,18.04,75.44,24.56,31.93,68.07,56.66,33.41,80.65,19.35,46.15,53.85,77.77,22.23,57.68,22.32,74.34,13.47,59.78,28.08,59.69,22.33,66.28,33.72,46.55,44.11,62.52,27.80,68.79,20.02,71.53,17.60,72.31,18.38,59.70,40.30,65.31,6.78
state,53,Washington,6025552,43.59,56.41,69.92,30.08,69.18,9.86,58.01,19.33,51.53,23.97,65.10,22.87,56.73,24.69,72.37,12.93,64.80,13.12,75.87,24.13,45.53,54.47,25.29,74.71,81.53,18.47,75.83,24.17,39.46,60.54,59.88,30.40,80.59,19.41,50.18,49.82,77.34,22.66,59.80,21.44,76.39,13.56,61.53,27.05,63.01,21.70,68.49,31.51,48.28,46.46,65.89,27.58,72.24,20.12,75.96,17.45,75.66,18.18,62.58,37.42,68.10,6.77
state,54,West Virginia,1433182,26.22,73.78,53.06,46.94,51.44,17.83,44.00,23.49,42.72,23.21,45.57,36.42,39.23,42.34,58.54,16.31,49.97,19.02,62.84,37.16,64.12,35.88,39.66,60.34,71.66,28.34,66.17,33.83,25.48,74.52,44.31,45.09,68.17,31.83,29.01,70.99,63.42,36.59,37.83,36.40,57.98,27.61,42.29,42.10,41.00,33.71,46.57,53.44,31.39,57.39,45.07,42.88,51.97,34.21,54.85,32.59,54.53,35.43,42.52,57.48,43.81,11.50
